cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Plymouth,Italy,Portsmouth,Truth,&c.,,,,,
1,Crarton,LiBRARY,"itself,—Morton",Seaton,T—.,Torrington,Barbary,Ashburton,Earth,
2,Providence,Prove-,Sweden,Benevolence,deceit,"promise,—if",Denmark,,,
3,Lakewood Park,Lakewood,,,,,,,,
4,Faroe,the Faroe Islands,the Shetland Isles,,,,,,,
5,Milford,Oxford,fort,Nurse Langford,myrtle,North,comfort,,,
6,aberdeen,verde,Elizabethan,,,,,,,
7,INDIA,asia,India,Edinburgh,,,,,,
8,Lina,Caroline,Euphrosyne,Caithness,Seneca,,,,,
9,Yorkshire,New York,Devonshire,MS,,,,,,
10,Percy,Algiers,Perey,Percy?—let,,,,,,
11,Easter,Hasty,Exeter,,,,,,,
12,STORY.—A CONFESSION,Seldon Grange,Tus,LONDON,Delmont,London,,,,
13,Swansea,the Sea Queen,"the Sea
Queen","birds,—(several sea",,,,,,
14,Leander,n’t,Esq,Andes,andes,,,,,
15,Thou,Hawthorne,Sabbath,thou,,,,,,
16,Mr,MR,,,,,,,,
17,Atlantic,Highland,Glamorgan,Ireland,Scotland,Llangwillan,England,Lady,Old England,Moorlands
18,Germany,Greville Manor,Nota,Dearest Eleanor,Manor,Madeira,,,,
19,Kamchatka,Pembroke,Warsaw,Psalm,Sambre,Samboe,,,,
20,Cheltenham,Ellen,Wales,Helen,moment”—she,,,,,
21,merced,me?—oh,Meroe,Berry Pomeroy,,,,,,
22,"South
America",Grahame,JT,Bricuriy,British America,,,,,
23,Gehazi,Halifax,Haywood,Harding,Lockwood,Dogwood,Norwood,Harcourt,Harwood,
