cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0.0,Berry Pomeroy,merced,Meroe,moment”—she,,,
1.0,INDIA,India,,,,,
2.0,Caroline,Lina,Faroe,,,,
3.0,andes,Leander,Andes,,,,
4.0,LiBRARY,Earth,Barbary,,,,
5.0,Providence,Prove-,"promise,—if",,,,
6.0,Percy?—let,Perey,Percy,,,,
7.0,Sambre,Pembroke,Samboe,,,,
8.0,North,comfort,fort,,,,
9.0,LONDON,London,,,,,
10.0,the Shetland Isles,the Faroe Islands,Atlantic,Wales,,,
11.0,STORY.—A CONFESSION,Caithness,Torrington,,,,
12.0,Bricuriy,British America,"South
America",,,,
13.0,Portsmouth,Truth,Plymouth,,,,
14.0,Germany,Greville Manor,Dearest Eleanor,Manor,,,
15.0,Hasty,Easter,Exeter,,,,
16.0,"the Sea
Queen",the Sea Queen,,,,,
17.0,Norwood,Lakewood Park,Lockwood,Harwood,Dogwood,Lakewood,Haywood
18.0,Seaton,"birds,—(several sea",Swansea,,,,
19.0,Sweden,Denmark,,,,,
20.0,Llangwillan,Old England,Ireland,Scotland,Highland,England,Moorlands
21.0,Milford,Oxford,Nurse Langford,,,,
22.0,Seneca,Ellen,Benevolence,,,,
23.0,Grahame,Helen,Cheltenham,,,,
24.0,Harcourt,Harding,Edinburgh,,,,
25.0,Elizabethan,verde,aberdeen,,,,
26.0,Thou,thou,Hawthorne,,,,
27.0,Devonshire,New York,Yorkshire,,,,
28.0,Crarton,Glamorgan,Seldon Grange,Ashburton,"itself,—Morton",,
