cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
-1,Italy,Gehazi,Glamorgan,Seldon Grange,Halifax,n’t,merced,Tus,&c.,Grahame,Nota,myrtle,JT,Delmont,Llangwillan,Warsaw,me?—oh,Lady,Sabbath,asia,North,"birds,—(several sea",T—.,Seneca,"promise,—if",MS,Earth,moment”—she,Elizabethan
0,Milford,Oxford,Nurse Langford,,,,,,,,,,,,,,,,,,,,,,,,,,
1,fort,comfort,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Atlantic,Highland,Ireland,Scotland,Moorlands,,,,,,,,,,,,,,,,,,,,,,,,
3,England,Old England,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Faroe,the Faroe Islands,the Shetland Isles,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Plymouth,Portsmouth,Truth,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"South
America",Bricuriy,British America,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Germany,Greville Manor,Manor,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Leander,Andes,andes,Dearest Eleanor,,,,,,,,,,,,,,,,,,,,,,,,,
9,Crarton,"itself,—Morton",Ashburton,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Swansea,STORY.—A CONFESSION,Seaton,Torrington,,,,,,,,,,,,,,,,,,,,,,,,,
11,LiBRARY,Barbary,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Meroe,Berry Pomeroy,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Percy,Perey,Percy?—let,,,,,,,,,,,,,,,,,,,,,,,,,,
14,the Sea Queen,"the Sea
Queen",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Lina,Caroline,Euphrosyne,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Esq,Caithness,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Haywood,Lockwood,Dogwood,Norwood,Harwood,,,,,,,,,,,,,,,,,,,,,,,,
18,Lakewood Park,Lakewood,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,aberdeen,verde,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Cheltenham,Ellen,Kamchatka,Helen,,,,,,,,,,,,,,,,,,,,,,,,,
21,Providence,Prove-,Benevolence,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Easter,Hasty,Exeter,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sweden,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Madeira,deceit,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Harding,Harcourt,Edinburgh,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pembroke,Sambre,Samboe,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Psalm,Algiers,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Thou,Hawthorne,thou,,,,,,,,,,,,,,,,,,,,,,,,,,
29,LONDON,London,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Yorkshire,New York,Devonshire,,,,,,,,,,,,,,,,,,,,,,,,,,
31,INDIA,India,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Mr,MR,,,,,,,,,,,,,,,,,,,,,,,,,,,
