cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
-1,Gehazi,Glamorgan,Halifax,n’t,Tus,&c.,Grahame,Nota,myrtle,JT,Delmont,Llangwillan,Warsaw,me?—oh,Lady,Sabbath,asia,North,"birds,—(several sea",T—.,Seneca,"promise,—if",MS,Earth,moment”—she,Elizabethan
0,Mr,MR,,,,,,,,,,,,,,,,,,,,,,,,
1,INDIA,India,,,,,,,,,,,,,,,,,,,,,,,,
2,Yorkshire,New York,Devonshire,,,,,,,,,,,,,,,,,,,,,,,
3,Seldon Grange,LONDON,London,,,,,,,,,,,,,,,,,,,,,,,
4,Thou,Hawthorne,thou,,,,,,,,,,,,,,,,,,,,,,,
5,Harding,Harcourt,Edinburgh,,,,,,,,,,,,,,,,,,,,,,,
6,Pembroke,Sambre,Samboe,,,,,,,,,,,,,,,,,,,,,,,
7,Italy,Psalm,Algiers,,,,,,,,,,,,,,,,,,,,,,,
8,Madeira,deceit,,,,,,,,,,,,,,,,,,,,,,,,
9,aberdeen,verde,,,,,,,,,,,,,,,,,,,,,,,,
10,Sweden,Denmark,,,,,,,,,,,,,,,,,,,,,,,,
11,Haywood,Lockwood,Dogwood,Norwood,Harwood,,,,,,,,,,,,,,,,,,,,,
12,Lakewood Park,Lakewood,,,,,,,,,,,,,,,,,,,,,,,,
13,Lina,Caroline,Euphrosyne,,,,,,,,,,,,,,,,,,,,,,,
14,Esq,Caithness,Wales,,,,,,,,,,,,,,,,,,,,,,,
15,Easter,Hasty,Exeter,,,,,,,,,,,,,,,,,,,,,,,
16,the Sea Queen,"the Sea
Queen",,,,,,,,,,,,,,,,,,,,,,,,
17,LiBRARY,Barbary,,,,,,,,,,,,,,,,,,,,,,,,
18,merced,Meroe,Berry Pomeroy,,,,,,,,,,,,,,,,,,,,,,,
19,Percy,Perey,Percy?—let,,,,,,,,,,,,,,,,,,,,,,,
20,Cheltenham,Ellen,Kamchatka,Helen,,,,,,,,,,,,,,,,,,,,,,
21,Providence,Prove-,Benevolence,,,,,,,,,,,,,,,,,,,,,,,
22,Crarton,"itself,—Morton",Ashburton,,,,,,,,,,,,,,,,,,,,,,,
23,Swansea,STORY.—A CONFESSION,Seaton,Torrington,,,,,,,,,,,,,,,,,,,,,,
24,Germany,Greville Manor,Manor,,,,,,,,,,,,,,,,,,,,,,,
25,Leander,Andes,andes,Dearest Eleanor,,,,,,,,,,,,,,,,,,,,,,
26,Plymouth,Portsmouth,Truth,,,,,,,,,,,,,,,,,,,,,,,
27,"South
America",Bricuriy,British America,,,,,,,,,,,,,,,,,,,,,,,
28,Faroe,the Faroe Islands,the Shetland Isles,,,,,,,,,,,,,,,,,,,,,,,
29,Atlantic,Highland,Ireland,Scotland,Moorlands,,,,,,,,,,,,,,,,,,,,,
30,England,Old England,,,,,,,,,,,,,,,,,,,,,,,,
31,Milford,Oxford,Nurse Langford,,,,,,,,,,,,,,,,,,,,,,,
32,fort,comfort,,,,,,,,,,,,,,,,,,,,,,,,
