cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,Vois,voﬂà,Sois,Unisœet,"13

Parfois",Vol,buis,Voilà,,,,,,,,,,,,,,,,
1,Quelque,É,Quelquefois,Quelquæ-unænæe,Quelquesîs,ques—,,,,,,,,,,,,,,,,,,
2,Ismé-,Ismérie,Ismétie,,,,,,,,,,,,,,,,,,,,,
3,44 MARIE—CLAIRE,Marie—Claire,24 MARIE—CLAIRE,MARIE—CLAIRE 89,120 MARIE—CLAIRE,30 MARIE—CLAIRE,IL MARIE—CLAIRE,"MARIE—CLAIRE

Maintenant",28 MARIE—CLAIRE,36 MARIE—CLAIRE,54 MARIE—CLAIRE,20 MARIE—CLAIRE,106 MARIE—CLAIRE,48 MARIE—CLAIRE,Marie—Clair,MARIE-CLAIRE,MARIE—CLAIRE,notre Marie-Claire,100 MARIE—CLAIRE,8 MARIE—CLAIRE,40 MARIE—CLAIRE,102 MARIE—CLAIRE,rir,"MARIE—CLAIRE 99

Pâques"
4,Titre,m’,s’,ﬁnit,trem—,,,,,,,,,,,,,,,,,,,
5,ækvmoùi',I',,,,,,,,,,,,,,,,,,,,,,
6,dﬁrentra,intra—,traînéæ transparents,entralna,,,,,,,,,,,,,,,,,,,,
7,porte n’,n’,J’,,,,,,,,,,,,,,,,,,,,,
8,com,Rome,Co—,Combien,commu—,Communs,,,,,,,,,,,,,,,,,,
9,Vierge,lingerie,Hier,bergüe€,inﬂiger,,,,,,,,,,,,,,,,,,,
10,Orgueﬁleuse,leuse,meﬁla,,,,,,,,,,,,,,,,,,,,,
11,L’,l’,,,,,,,,,,,,,,,,,,,,,,
12,Es-tu folle,Es-tu malade,,,,,,,,,,,,,,,,,,,,,,
13,brindülæ,fc,j’,indiffé—,,,,,,,,,,,,,,,,,,,,
14,reprend—,Prends,Pauvre,Elkreùtvæsmä,regard—,J,,,,,,,,,,,,,,,,,,
15,Désirée-des-Anges,Désirée—des-Anges,Désirée,Désirée—des—Anges,dési—,mägréungﬂnd,Desirée—des-Anges,avüest‘,des-Anges,Anges,,,,,,,,,,,,,,
16,recon—,annon—,répon—,renon—,long—,,,,,,,,,,,,,,,,,,,
17,Saint-Jean,Saint—Jean,La Saint-Jean,Psadzxyt,‘“-,,,,,,,,,,,,,,,,,,,
18,a—,créa—,üyadægædæmæpoæra—,"Mﬂh=,mua—,—-",sépa—,,,,,,,,,,,,,,,,,,,
19,conﬁance,ﬂcon,conﬁer,Chicon,puriﬁer,funﬁer,,,,,,,,,,,,,,,,,,
20,i’,A,I’,,,,,,,,,,,,,,,,,,,,,
21,bobo,traî—,Brabant,"traî—
nant",,,,,,,,,,,,,,,,,,,,
22,l.lal\n.vîl‘l,È:.l,l‘a,.,,,,,,,,,,,,,,,,,,,,
23,qu‘au,jusqu’,qu’,E,,,,,,,,,,,,,,,,,,,,
24,genouülai,tour—,nour—,I,nourri—,,,,,,,,,,,,,,,,,,,
25,—:-‘,M7d—:A,,,,,,,,,,,,,,,,,,,,,,
26,Iesecouai,bæcoup,secou—,labou—,,,,,,,,,,,,,,,,,,,,
27,Mélanie,La grosse,grosse Mélanie,La grosse Mélanie,Méanie,,,,,,,,,,,,,,,,,,,
28,Laisse,marchais,éa',lors—,restais,lais—,aimais,iävais,huis—,évisaitœr,connais—,,,,,,,,,,,,,
29,.-—v,.-J.‘u,m”.-$‘.wæw-&,,,,,,,,,,,,,,,,,,,,,
30,æuva,vachœ,chœœ,,,,,,,,,,,,,,,,,,,,,
31,engage—,gagea,,,,,,,,,,,,,,,,,,,,,,
32,tournai,ourhis,Jour,Douze,Journée,Jours,,,,,,,,,,,,,,,,,,
33,Merci,aper—,ﬁfer,ser—,cher—,,,,,,,,,,,,,,,,,,,
34,quan—,ﬂanœ,champ de lé,gran—,plan—,chan—,chauﬁer,teintes chan—,,,,,,,,,,,,,,,,
35,Tiens,bien—,sensei—,Ie',Ien',—- Voyons,Iens,miens,,,,,,,,,,,,,,,,
36,._,._.kn__.,,,,,,,,,,,,,,,,,,,,,,
37,trou—,vous—,trous—,repous—,Rouge,retrouv—,,,,,,,,,,,,,,,,,,
38,château du Gué Perdu,Gué Perdu,"Gué-
Perdu",,,,,,,,,,,,,,,,,,,,,
39,ri Deslois,Deslois,auddetfm‘lesﬁgædeæù,,,,,,,,,,,,,,,,,,,,,
40,"Marie—
Annee",Marie—,SO MARIE—,Marie.—Aimée,Sœur Marie-Aimée,Aimée,Marie—Aimée,unée,,,,,,,,,,,,,,,,
41,Ma1tine,cestàpeine,nart(1,Martine,mars—,Augustine,,,,,,,,,,,,,,,,,,
42,Castille,grémiller,Vülevieille,Geneviève,Viﬂvieüle,Villevieille,Ville-,,,,,,,,,,,,,,,,,
43,"Gué
Per u.

La petite rivière",la terre,"Gué
Per u.",,,,,,,,,,,,,,,,,,,,,
44,aœut,beau—,"Iesouﬁvaisseau—
œupduﬁde",,,,,,,,,,,,,,,,,,,,,
45,Châtaigniers,Villiersﬂle,Villiersüle,,,,,,,,,,,,,,,,,,,,,
46,Bichkek,Acheminer,Brioche,Cache,Bitche,,,,,,,,,,,,,,,,,,,
47,manche,la Blanche,la manche,manière;Sæ manoirs,,,,,,,,,,,,,,,,,,,,
48,num-am,cambrai,nam,mam,alluma,,,,,,,,,,,,,,,,,,,
49,.:;‘J,.—œ_—=-o—,.—.—.___‘4-4,"…-

w.—.—u—-",—-ü,,,,,,,,,,,,,,,,,,,
50,Céleœ,le soleil,Eh,soleil,,,,,,,,,,,,,,,,,,,,
51,Sainte—Montagne,Saintes Huiles,saInte Table,mnt,Sainte-Montagne,,,,,,,,,,,,,,,,,,,
52,de France,grand your,d’,Tirande,gandæ,,,,,,,,,,,,,,,,,,,
53,mademoiselle,hurle—,Bel-Œil,Elk www,poche;elle,".""1",dentelle,—elle,elle—,,,,,,,,,,,,,,,
54,"«,-_-",é101gna,cognac,Sologne,Sologne.ll,,,,,,,,,,,,,,,,,,,
55,voyais,æsaya,croyais,décro—,,,,,,,,,,,,,,,,,,,,
56,arrê—,Paris,par-,largœ,,,,,,,,,,,,,,,,,,,,
57,reve—,heur—,heure—,,,,,,,,,,,,,,,,,,,,,
58,A demain,Vin,main—,,,,,,,,,,,,,,,,,,,,,
59,aüus‘,Aussitôt,aussi—,,,,,,,,,,,,,,,,,,,,,
60,Maintenant,Ahñnﬁpæditpadenœesseœde‘eæaendiæﬂ,Am&ntiem’enaﬂaﬁœﬂelelægdæpæésentantsœbois,atten—,douœment—,Enﬁn,enten—,,,,,,,,,,,,,,,,,
61,rappelez—,appré—,expri—,appar—,appr—,,,,,,,,,,,,,,,,,,,
62,dix—neuf,Eugène,ﬁnesse,Jaune,onne,.ne,,,,,,,,,,,,,,,,,,
