cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0.0,Vois,Sois,Am&ntiem’enaﬂaﬁœﬂelelægdæpæésentantsœbois,Voilà,,,,,,,,,,,,,,,,,,,
1.0,Ismé-,Ismérie,Ismétie,,,,,,,,,,,,,,,,,,,,
2.0,quan—,gran—,plan—,chan—,,,,,,,,,,,,,,,,,,,
3.0,voyais,—- Voyons,croyais,,,,,,,,,,,,,,,,,,,,
4.0,Castille,grémiller,Vülevieille,mägréungﬂnd,Villevieille,Ville-,décro—,,,,,,,,,,,,,,,,
5.0,Vierge,Hier,Viﬂvieüle,bergüe€,,,,,,,,,,,,,,,,,,,
6.0,"Marie—
Annee",Marie—,SO MARIE—,,,,,,,,,,,,,,,,,,,,
7.0,annon—,répon—,renon—,,,,,,,,,,,,,,,,,,,,
8.0,ri Deslois,Deslois,,,,,,,,,,,,,,,,,,,,,
9.0,Orgueﬁleuse,leuse,meﬁla,,,,,,,,,,,,,,,,,,,,
10.0,lingerie,inﬂiger,,,,,,,,,,,,,,,,,,,,,
11.0,traînéæ transparents,traî—,"traî—
nant",,,,,,,,,,,,,,,,,,,,
12.0,Es-tu folle,Es-tu malade,,,,,,,,,,,,,,,,,,,,,
13.0,brindülæ,Brioche,indiffé—,,,,,,,,,,,,,,,,,,,,
14.0,44 MARIE—CLAIRE,Marie—Claire,24 MARIE—CLAIRE,MARIE—CLAIRE 89,120 MARIE—CLAIRE,30 MARIE—CLAIRE,IL MARIE—CLAIRE,"MARIE—CLAIRE

Maintenant",28 MARIE—CLAIRE,36 MARIE—CLAIRE,54 MARIE—CLAIRE,20 MARIE—CLAIRE,106 MARIE—CLAIRE,48 MARIE—CLAIRE,Marie—Clair,MARIE-CLAIRE,MARIE—CLAIRE,notre Marie-Claire,100 MARIE—CLAIRE,8 MARIE—CLAIRE,40 MARIE—CLAIRE,102 MARIE—CLAIRE,"MARIE—CLAIRE 99

Pâques"
15.0,reprend—,Prends,,,,,,,,,,,,,,,,,,,,,
16.0,Désirée-des-Anges,Désirée—des-Anges,Désirée,Désirée—des—Anges,dési—,Desirée—des-Anges,des-Anges,Anges,,,,,,,,,,,,,,,
17.0,jusqu’,qu’,,,,,,,,,,,,,,,,,,,,,
18.0,conﬁance,recon—,ﬂcon,conﬁer,Chicon,,,,,,,,,,,,,,,,,,
19.0,Brabant,cambrai,,,,,,,,,,,,,,,,,,,,,
20.0,Saint-Jean,Saint—Jean,La Saint-Jean,,,,,,,,,,,,,,,,,,,,
21.0,Châtaigniers,Villiersﬂle,Villiersüle,,,,,,,,,,,,,,,,,,,,
22.0,ﬁnesse,Ahñnﬁpæditpadenœesseœde‘eæaendiæﬂ,,,,,,,,,,,,,,,,,,,,,
23.0,Sainte—Montagne,porte n’,Saintes Huiles,Maintenant,saInte Table,teintes chan—,évisaitœr,Sainte-Montagne,,,,,,,,,,,,,,,
24.0,Iesecouai,bæcoup,secou—,labou—,,,,,,,,,,,,,,,,,,,
25.0,.—.—.___‘4-4,"…-

w.—.—u—-",,,,,,,,,,,,,,,,,,,,,
