cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,Vois,.:;‘J,Sois,ri Deslois,ﬂcon,"13

Parfois",Am&ntiem’enaﬂaﬁœﬂelelægdæpæésentantsœbois,Deslois,,,,,,,,,,,,,,,,
1,Ismé-,É,leuse,Ismérie,buis,Ismétie,,,,,,,,,,,,,,,,,,
2,A demain,champ de lé,—:-‘,Ie',Voilà,main—,,,,,,,,,,,,,,,,,,
3,voﬂà,quan—,l.lal\n.vîl‘l,gran—,créa—,plan—,chan—,d’,,,,,,,,,,,,,,,,
4,marchais,voyais,lors—,aimais,æsaya,iävais,.-J.‘u,croyais,,,,,,,,,,,,,,,,
5,éa',Vierge,fc,Hier,J’,Viﬂvieüle,,,,,,,,,,,,,,,,,,
6,"Marie—
Annee",Marie—,lingerie,SO MARIE—,,,,,,,,,,,,,,,,,,,,
7,recon—,annon—,répon—,renon—,nam,unée,,,,,,,,,,,,,,,,,,
8,Sainte—Montagne,Saintes Huiles,Maintenant,Saint-Jean,Bichkek,saInte Table,Saint—Jean,La Saint-Jean,Pauvre,teintes chan—,évisaitœr,Sainte-Montagne,,,,,,,,,,,,
9,44 MARIE—CLAIRE,Marie—Claire,24 MARIE—CLAIRE,MARIE—CLAIRE 89,120 MARIE—CLAIRE,30 MARIE—CLAIRE,IL MARIE—CLAIRE,I',"MARIE—CLAIRE

Maintenant",28 MARIE—CLAIRE,36 MARIE—CLAIRE,54 MARIE—CLAIRE,20 MARIE—CLAIRE,106 MARIE—CLAIRE,48 MARIE—CLAIRE,Marie—Clair,MARIE-CLAIRE,MARIE—CLAIRE,notre Marie-Claire,100 MARIE—CLAIRE,8 MARIE—CLAIRE,40 MARIE—CLAIRE,102 MARIE—CLAIRE,"MARIE—CLAIRE 99

Pâques"
10,Désirée-des-Anges,num-am,Orgueﬁleuse,aüus‘,Désirée—des-Anges,Désirée,Désirée—des—Anges,dési—,Desirée—des-Anges,des-Anges,Anges,Enﬁn,,,,,,,,,,,,
11,Bel-Œil,qu’,Jaune,Céleœ,,,,,,,,,,,,,,,,,,,,
12,reprend—,Prends,Ahñnﬁpæditpadenœesseœde‘eæaendiæﬂ,mam,,,,,,,,,,,,,,,,,,,,
13,Châtaigniers,Villiersﬂle,Co—,é101gna,Villiersüle,.ne,,,,,,,,,,,,,,,,,,
14,traînéæ transparents,traî—,jusqu’,Brabant,"traî—
nant",,,,,,,,,,,,,,,,,,,
15,tournai,m’,L’,heur—,ourhis,tour—,nour—,nourri—,,,,,,,,,,,,,,,,
16,hurle—,reve—,meﬁla,.—.—.___‘4-4,,,,,,,,,,,,,,,,,,,,
17,Iesecouai,bæcoup,secou—,labou—,Elkreùtvæsmä,m”.-$‘.wæw-&,,,,,,,,,,,,,,,,,,
18,Mélanie,La grosse,Rome,grosse Mélanie,La grosse Mélanie,Méanie,gagea,,,,,,,,,,,,,,,,,
19,Eugène,E,bergüe€,,,,,,,,,,,,,,,,,,,,,
20,genouülai,".""1",mägréungﬂnd,lais—,huis—,connais—,indiffé—,,,,,,,,,,,,,,,,,
21,brindülæ,rappelez—,appré—,appr—,,,,,,,,,,,,,,,,,,,,
22,Marie.—Aimée,Sœur Marie-Aimée,Aimée,Marie—Aimée,,,,,,,,,,,,,,,,,,,,
23,Elk www,engage—,—-ü,,,,,,,,,,,,,,,,,,,,,
24,Jour,onne,Journée,Jours,largœ,J,,,,,,,,,,,,,,,,,,
25,dix—neuf,È:.l,ﬁfer,,,,,,,,,,,,,,,,,,,,,
26,aper—,ser—,cher—,,,,,,,,,,,,,,,,,,,,,
27,I,Eh,,,,,,,,,,,,,,,,,,,,,,
28,com,aœut,Combien,commu—,Communs,rir,,,,,,,,,,,,,,,,,,
29,arrê—,qu‘au,Psadzxyt,,,,,,,,,,,,,,,,,,,,,
30,château du Gué Perdu,Gué Perdu,"Gué-
Perdu",,,,,,,,,,,,,,,,,,,,,
31,Unisœet,Chicon,—- Voyons,Vin,ﬁnit,sépa—,aussi—,,,,,,,,,,,,,,,,,
32,"«,-_-",chœœ,üyadægædæmæpoæra—,Douze,expri—,,,,,,,,,,,,,,,,,,,
33,Ma1tine,Martine,mars—,Augustine,heure—,,,,,,,,,,,,,,,,,,,
34,Castille,grémiller,Vülevieille,Geneviève,Villevieille,Ville-,,,,,,,,,,,,,,,,,,
35,Tiens,sensei—,Ien',Iens,mnt,miens,,,,,,,,,,,,,,,,,,
36,porte n’,n’,cambrai,Merci,"Gué
Per u.

La petite rivière",la terre,"Gué
Per u.",,,,,,,,,,,,,,,,,
37,Laisse,ækvmoùi',beau—,ﬁnesse,"Iesouﬁvaisseau—
œupduﬁde",._.kn__.,,,,,,,,,,,,,,,,,,
38,ﬂanœ,bien—,.,atten—,enten—,décro—,,,,,,,,,,,,,,,,,,
39,vachœ,Acheminer,Brioche,Cache,Bitche,,,,,,,,,,,,,,,,,,,
40,dﬁrentra,intra—,entralna,douœment—,,,,,,,,,,,,,,,,,,,,
41,conﬁance,manche,Es-tu malade,la Blanche,.—œ_—=-o—,la manche,manière;Sæ manoirs,,,,,,,,,,,,,,,,,
42,._,le soleil,soleil,,,,,,,,,,,,,,,,,,,,,
43,cestàpeine,restais,avüest‘,,,,,,,,,,,,,,,,,,,,,
44,Vol,de France,grand your,Tirande,gandæ,,,,,,,,,,,,,,,,,,,
45,mademoiselle,Es-tu folle,poche;elle,dentelle,—elle,elle—,,,,,,,,,,,,,,,,,,
46,long—,.-—v,nart(1,A,,,,,,,,,,,,,,,,,,,,
47,vous—,inﬂiger,trous—,repous—,alluma,,,,,,,,,,,,,,,,,,,
48,i’,cognac,Sologne,Sologne.ll,,,,,,,,,,,,,,,,,,,,
49,æuva,Aussitôt,Paris,appar—,"…-

w.—.—u—-",par-,,,,,,,,,,,,,,,,,,
50,I’,,,,,,,,,,,,,,,,,,,,,,,
51,Quelque,Quelquefois,Quelquæ-unænæe,l’,regard—,Quelquesîs,ques—,,,,,,,,,,,,,,,,,
52,s’,j’,"Mﬂh=,mua—,—-",M7d—:A,,,,,,,,,,,,,,,,,,,,
53,conﬁer,l‘a,puriﬁer,chauﬁer,funﬁer,,,,,,,,,,,,,,,,,,,
54,trou—,Rouge,retrouv—,,,,,,,,,,,,,,,,,,,,,
55,Titre,bobo,a—,trem—,,,,,,,,,,,,,,,,,,,,
56,‘“-,auddetfm‘lesﬁgædeæù,,,,,,,,,,,,,,,,,,,,,,
