cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
0,vachœ,fc,.,chœœ,Cache,æuva,,,,,,,,,,,,,,,,,,,
1,n’,porte n’,,,,,,,,,,,,,,,,,,,,,,,
2,J’,j’,bobo,,,,,,,,,,,,,,,,,,,,,,
3,elle—,"«,-_-",Bel-Œil,—elle,Céleœ,Elk www,rappelez—,Es-tu folle,poche;elle,hurle—,mademoiselle,,,,,,,,,,,,,,
4,M7d—:A,.:;‘J,—:-‘,,,,,,,,,,,,,,,,,,,,,,
5,i’,I’,,,,,,,,,,,,,,,,,,,,,,,
6,Saint-Jean,æsaya,Saint—Jean,La Saint-Jean,Psadzxyt,,,,,,,,,,,,,,,,,,,,
7,Am&ntiem’enaﬂaﬁœﬂelelægdæpæésentantsœbois,Maintenant,enten—,Enﬁn,Ahñnﬁpæditpadenœesseœde‘eæaendiæﬂ,dentelle,d’,douœment—,dﬁrentra,teintes chan—,atten—,,,,,,,,,,,,,,
8,La grosse Mélanie,grosse Mélanie,la terre,La grosse,,,,,,,,,,,,,,,,,,,,,
9,Sainte—Montagne,Saintes Huiles,saInte Table,mnt,Sainte-Montagne,,,,,,,,,,,,,,,,,,,,
10,aussi—,aüus‘,Aussitôt,dési—,,,,,,,,,,,,,,,,,,,,,
11,Combien,Communs,com,Co—,Rome,commu—,J,,,,,,,,,,,,,,,,,,
12,Méanie,Mélanie,éa',ﬁnit,,,,,,,,,,,,,,,,,,,,,
13,bien—,sensei—,Ie',Tiens,Iens,‘“-,Ien',miens,,,,,,,,,,,,,,,,,
14,Villiersüle,Villevieille,Vin,le soleil,Vülevieille,Ville-,soleil,Villiersﬂle,Castille,grémiller,Viﬂvieüle,,,,,,,,,,,,,,
15,iävais,main—,A demain,restais,évisaitœr,aimais,cambrai,marchais,croyais,,,,,,,,,,,,,,,,
16,Ismé-,Ismérie,Ismétie,,,,,,,,,,,,,,,,,,,,,,
17,champ de lé,num-am,nam,mam,alluma,,,,,,,,,,,,,,,,,,,,
18,tournai,Douze,ourhis,Jour,Jours,nourri—,tour—,nour—,Journée,,,,,,,,,,,,,,,,
19,—- Voyons,—-ü,,,,,,,,,,,,,,,,,,,,,,,
20,recon—,répon—,renon—,long—,annon—,,,,,,,,,,,,,,,,,,,,
21,"Iesouﬁvaisseau—
œupduﬁde",bæcoup,secou—,E,labou—,Iesecouai,,,,,,,,,,,,,,,,,,,
22,Marie—,unée,Marie—Aimée,Sœur Marie-Aimée,Aimée,Marie.—Aimée,"Marie—
Annee",SO MARIE—,,,,,,,,,,,,,,,,,
23,ækvmoùi',I',,,,,,,,,,,,,,,,,,,,,,,
