cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,Anatolie,Jolie,Mélancolie,Tolède,,,,,,,,,,,,,
1,Es,Gravures,.:+,fes,Gênes,Messine,gesie,y.,Indes,aVetses-,Îes,Suresnes,colombes,Sèvres,ES,mouvanies,Cest
2,Quelque,Dominique,Quelqu,Quelquefois,Jean-Jacques,,,,,,,,,,,,
3,Voyez,E,voyäge,,,,,,,,,,,,,,
4,Laisse,Suisse,Dépuis,Jouissait,V’,,,,,,,,,,,,
5,hôtel de Ferney,Ferney,Ferney qu’,Fe,Noagrnr,,,,,,,,,,,,
6,du Louvre,Louvre,oo L,,,,,,,,,,,,,,
7,joiie,Joie,II,Eiie,,,,,,,,,,,,,
8,Nancy,Penché,manche,Manuscrits,Ans,la manche,,,,,,,,,,,
9,térieux,Veux-,ladieu,Märie,26À,Fa,Cpélérinage,Dété,,,,,,,,,
10,curinie,Curieuse,Fäbieñ Mauri,CU,point voluptueuse,,,,,,,,,,,,
11,Seine,"la
Seine bleue",la Seine,veines,Säbine,,,,,,,,,,,,
12,Florence,Lo,sälon,Pologne,t’,Loire,Salon,È,,,,,,,,,
13,"rue Jean-
Bart",rue de,Ee,He la D.,ensembie de,"togue

È",rue de Tournon,rue n’,massif de myosotis,rue de l'Ancienne-Comédié,,,,,,,
14,Î,A1,,,,,,,,,,,,,,,
15,AT,Atlas,État,Latin,,,,,,,,,,,,,
16,demandaitelle,suelle,Hérelle,b4,Appelle,Ellé,,,,,,,,,,,
17,EF,ef,Œ,Peffort,,,,,,,,,,,,,
18,sca,SC,Ca,,,,,,,,,,,,,,
19,mer d’Azow,Ê,d’,,,,,,,,,,,,,,
20,Au-,Auf,LC,Lausanne,au-,au’,,,,,,,,,,,
21,wagon,Fon,Fonvent,conñu,sion,Ü,,,,,,,,,,,
22,Grèce,Cetie,cetle,,,,,,,,,,,,,,
23,Philippeun,Philippé,Phi-,Philivpe,,,,,,,,,,,,,
24,gènés,Buiné,Dauphiné,Jui,Obstinée,Sabiné,,,,,,,,,,,
25,bruni,BR,embre,Br,,,,,,,,,,,,,
26,Mont-Valérien,Chantez,Remontée,Montez,Quittez,Ponte,Égypte,Pomone,,,,,,,,,
27,Où,"Ï
L",æ Où,,,,,,,,,,,,,,
28,perse,Marsan,Los Rs,Jorsqu,Rs,rs,Âlors,tersps,e,,,,,,,,
29,Qu’'y,jusqu’,qu’,,,,,,,,,,,,,,
30,Collège de Frar,la France,de France,de Saxe,,,,,,,,,,,,,
31,Vienne,VI,ravie,vigne,,,,,,,,,,,,,
32,abandoñnér,Hollande,ñn’,,,,,,,,,,,,,,
33,barcarolle,‘aiguille,Élle,Ælle,F,Séville,élle,fl+,,,,,,,,,
34,Ë,m’,fêchait,aimais,Anglais,voudrais,m'’aimais,jais,Jemais,,,,,,,,
35,Forbier,"rue madame
Forbier",,,,,,,,,,,,,,,
36,Naf,CR,mMéna-,Menacée,nacre,lüi,,,,,,,,,,,
37,feuillage du Luxembourg,Wurtemberg,Luxembourg,Bourgogne,,,,,,,,,,,,,
38,fit-eile,IL,mul oreiller,Eile,Ileest,Lucile,ceiffé,,,,,,,,,,
39,É,j’,J’,,,,,,,,,,,,,,
40,"NOUVELLE ESPÉRANCE

li",Kouvelle,A NOUVELLE,LA NOUVELLE ESPÉRANCE,"inten« F

 

LA NOUVELLE ESPÉRANCE",,,,,,,,,,,,
41,Touraine,crainie,Tourainé,Tournon,,,,,,,,,,,,,
42,talle,lez,Allez,Pallée,Allemagne,alluma,,,,,,,,,,,
43,Partez,Parme,Paris,Paris végétal,Paris TC,,,,,,,,,,,,
44,jalousie,Cousin,Rous-,,,,,,,,,,,,,,
45,Ïl,Ÿ zor,corime,Madäime,coinpacte corime,Corinthe,,,,,,,,,,,
46,gs A,Di,jardin des Vosges,A,Vosges,,,,,,,,,,,,
47,l'Espagne,Espagne,,,,,,,,,,,,,,,
48,L’,Ï,l’,,,,,,,,,,,,,,
49,maine,Anzin,main,Saint-Cloud,mar-,affirmait}.,,,,,,,,,,,
50,Fheauté,Vautl,amout,UT,,,,,,,,,,,,,
51,niérée,la pierre,Piérre,,,,,,,,,,,,,,
52,Pour-,Journées,Leurs,kB,Îles jours,Courbée,Jours,,,,,,,,,,
53,Trocadéro,Rome,rOSOIr,Rose,Tyrol,,,,,,,,,,,,
54,château des Bruyères,Bruyères,,,,,,,,,,,,,,,
55,"vent

Î",Agrigente,Régent,Genève,Rentrée,,,,,,,,,,,,
56,Mossoul,s’,I,|eoup,s’assoupir,Soupirs,,,,,,,,,,,
57,ia,Re Îles,LE,Versailles,mule,Île,Naples,boules-de-neige,après-midi-molles,Îles,Les,lesoir,,,,,
58,Clichy,moüstache,He,E Henri,| cher,Michelet,fächerie,chamt,cher,,,,,,,,
59,Italien,TA,l'Italie,d'Italie,,,,,,,,,,,,,
60,Rorée,Rozée,Roïée,froïd,,,,,,,,,,,,,
61,D,|,J',J'ai,,,,,,,,,,,,,
62,Bengale,Berlin,Be,,,,,,,,,,,,,,
63,Tsolée,le soleil,soleil,,,,,,,,,,,,,,
64,Pas,Passy,,,,,,,,,,,,,,,
65,Sois,Assise,l'Oise,Voix,"-

— Vois-tu","vinigt-trois

2",Autrefois,Is,Madémoisèlle,Bois,iäis,toisie,Oise,,,,
66,Docteur,candidsture,Asie Mineure,Eh,Pheure,®,,,,,,,,,,,
67,deFontenay,"VII

  
 
 
 
 
 
    

Henri de Fontenay",Fontenaÿ,Fonteray,tenay,Grenade,tenaÿy,Fontenay,Eten,,,,,,,,
68,Rouen,Bois de Boulogne,Bohême,Cordoue,boue,bouscula,,,,,,,,,,,
69,théètre,"—-
Elle promit de prendre ses repas",lapre,RER,Dre,pre=.,,,,,,,,,,,
70,lu,Pun,jéune,NE,lune,,,,,,,,,,,,
71,Elseneur,Alsace,LS,,,,,,,,,,,,,,
72,Mèke,mettant,Mème,,,,,,,,,,,,,,
