cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,Quelque,Dominique,Quelqu,Quelquefois,Jean-Jacques,kB,b4,,,,,,,,,,,
1,hôtel de Ferney,Ferney,Ferney qu’,Fe,Noagrnr,,,,,,,,,,,,,
2,du Louvre,m’,Louvre,oo L,,,,,,,,,,,,,,
3,.:+,joiie,Cetie,Joie,Jolie,II,e,Eiie,,,,,,,,,,
4,gs A,Nancy,Penché,manche,Manuscrits,Ans,la manche,,,,,,,,,,,
5,Di,ladieu,candidsture,,,,,,,,,,,,,,,
6,térieux,Veux-,Märie,t’,Cpélérinage,Dété,,,,,,,,,,,,
7,curinie,Curieuse,Docteur,Elseneur,Fäbieñ Mauri,F,CU,Pheure,È,,,,,,,,,
8,Seine,"la
Seine bleue",la Seine,Messine,veines,Säbine,,,,,,,,,,,,
9,Florence,Lo,jalousie,sälon,Pologne,Âlors,colombes,Loire,Salon,,,,,,,,,
10,l'Espagne,Espagne,,,,,,,,,,,,,,,,
11,"rue Jean-
Bart",Collège de Frar,rue de,Ï,He la D.,ensembie de,"togue

È","—-
Elle promit de prendre ses repas",rue de Tournon,de Saxe,"rue madame
Forbier",rue n’,massif de myosotis,rue de l'Ancienne-Comédié,,,,
12,EF,ef,Peffort,26À,,,,,,,,,,,,,,
13,Anatolie,AT,É,Atlas,I,État,Latin,ñn’,,,,,,,,,,
14,ia,sca,SC,Ca,,,,,,,,,,,,,,
15,L’,l’,,,,,,,,,,,,,,,,
16,mer d’Azow,d’,,,,,,,,,,,,,,,,
17,Touraine,crainie,Asie Mineure,Tourainé,Tournon,Cousin,Saint-Cloud,,,,,,,,,,,
18,Philippeun,Ïl,Philippé,Phi-,Philivpe,®,,,,,,,,,,,,
19,Au-,Auf,Ê,au-,,,,,,,,,,,,,,
20,gènés,Buiné,Dauphiné,Jui,Anzin,Obstinée,Sabiné,,,,,,,,,,,
21,bruni,BR,lüi,Bruyères,embre,Br,,,,,,,,,,,,
22,wagon,Mont-Valérien,Chantez,Remontée,Ee,Montez,Quittez,Ponte,J',sion,Égypte,Pomone,,,,,,
23,Où,æ Où,E,V’,,,,,,,,,,,,,,
24,j’,J’,,,,,,,,,,,,,,,,
25,Ë,Qu’'y,jusqu’,qu’,au’,,,,,,,,,,,,,
26,Vienne,VI,ravie,vigne,,,,,,,,,,,,,,
27,barcarolle,suelle,Hérelle,LC,‘aiguille,Madémoisèlle,Élle,Ælle,Appelle,Séville,Ellé,élle,,,,,,
28,perse,Marsan,Los Rs,A1,Jorsqu,Leurs,Rs,D,rs,tersps,,,,,,,,
29,demandaitelle,Lausanne,abandoñnér,Hollande,Mélancolie,Tolède,,,,,,,,,,,,
30,maine,y.,Jouissait,fêchait,aimais,Anglais,main,voudrais,J'ai,m'’aimais,jais,Jemais,affirmait}.,,,,,
31,Naf,CR,mMéna-,Menacée,nacre,Grenade,,,,,,,,,,,,
32,feuillage du Luxembourg,Wurtemberg,Luxembourg,Ü,Bourgogne,,,,,,,,,,,,,
33,fit-eile,IL,mul oreiller,Eile,Lucile,le soleil,soleil,ceiffé,,,,,,,,,,
34,"NOUVELLE ESPÉRANCE

li",Kouvelle,A NOUVELLE,la France,de France,LA NOUVELLE ESPÉRANCE,"inten« F

 

LA NOUVELLE ESPÉRANCE",Fa,,,,,,,,,,
35,Grèce,Alsace,LS,fl+,,,,,,,,,,,,,,
36,Voyez,Bengale,talle,lez,Allez,Pallée,Allemagne,alluma,,,,,,,,,,
37,Pas,Partez,|,Parme,Paris,Paris végétal,Paris TC,mar-,,,,,,,,,,
38,théètre,la pierre,Œ,Forbier,lapre,RER,Piérre,Dre,pre=.,,,,,,,,,
39,Ÿ zor,conñu,corime,Madäime,coinpacte corime,Corinthe,,,,,,,,,,,,
40,Berlin,A,Be,,,,,,,,,,,,,,,
41,Italien,TA,l'Italie,d'Italie,Eh,,,,,,,,,,,,,
42,Fheauté,Vautl,amout,UT,,,,,,,,,,,,,,
43,Pour-,Journées,Îles jours,Courbée,Jours,,,,,,,,,,,,,
44,"vent

Î","Ï
L",Agrigente,Régent,voyäge,Genève,Rentrée,,,,,,,,,,,
45,Mossoul,s’,|eoup,rOSOIr,s’assoupir,Soupirs,Passy,,,,,,,,,,,
46,Re Îles,LE,Versailles,mule,cetle,Île,Naples,boules-de-neige,après-midi-molles,Ileest,Îles,Les,lesoir,,,,,
47,Clichy,moüstache,He,E Henri,| cher,Michelet,fächerie,chamt,cher,,,,,,,,,
48,niérée,Trocadéro,Rorée,Tsolée,Rozée,Roïée,Tyrol,froïd,,,,,,,,,,
49,Es,Gravures,fes,Gênes,gesie,Indes,jardin des Vosges,aVetses-,Îes,château des Bruyères,Suresnes,Sèvres,ES,mouvanies,Cest,Vosges,,
50,Laisse,Suisse,Sois,Assise,l'Oise,Voix,Î,"-

— Vois-tu","vinigt-trois

2",Autrefois,Is,Dépuis,Bois,iäis,toisie,Rose,Oise,point voluptueuse
51,deFontenay,"VII

  
 
 
 
 
 
    

Henri de Fontenay",Fon,Fonvent,Fontenaÿ,Fonteray,tenay,tenaÿy,Fontenay,Eten,,,,,,,,
52,Rouen,Bois de Boulogne,Bohême,Rous-,Cordoue,boue,bouscula,,,,,,,,,,,
53,lu,Pun,jéune,NE,lune,,,,,,,,,,,,,
54,Mèke,Rome,mettant,Mème,,,,,,,,,,,,,,
