cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,Cetie,cetle,,,,,,,
1.0,LA NOUVELLE ESPÉRANCE,"inten« F

 

LA NOUVELLE ESPÉRANCE","NOUVELLE ESPÉRANCE

li",A NOUVELLE,,,,,
2.0,tersps,perse,,,,,,,
3.0,Suisse,Dépuis,Laisse,Jouissait,,,,,
4.0,manche,Manuscrits,la manche,Nancy,Penché,,,,
5.0,Âlors,Jorsqu,Florence,,,,,,
6.0,Agrigente,Régent,Genève,Noagrnr,,,,,
7.0,mettant,Chantez,Quittez,,,,,,
8.0,Clichy,Michelet,moüstache,,,,,,
9.0,mar-,Marsan,Lausanne,,,,,,
10.0,Louvre,du Louvre,,,,,,,
11.0,pre=.,lapre,,,,,,,
12.0,Los Rs,de Saxe,"—-
Elle promit de prendre ses repas",Dre,Rome,,,,
13.0,joiie,Eiie,Joie,,,,,,
14.0,Jemais,m'’aimais,aimais,théètre,,,,,
15.0,corime,coinpacte corime,Corinthe,,,,,,
16.0,l'Espagne,Espagne,,,,,,,
17.0,Tyrol,après-midi-molles,barcarolle,,,,,,
18.0,ravie,Vienne,,,,,,,
19.0,bouscula,Cousin,Messine,jalousie,,,,,
20.0,vigne,Pologne,Bois de Boulogne,,,,,,
21.0,E Henri,Anglais,jais,voudrais,,,,,
22.0,Bruyères,bruni,château des Bruyères,,,,,,
23.0,Phi-,Buiné,Dauphiné,Sabiné,,,,,
24.0,Tolède,Anatolie,Mélancolie,Jolie,,,,,
25.0,Elseneur,Docteur,Leurs,Pheure,Asie Mineure,,,,
26.0,Peffort,"rue madame
Forbier",Fäbieñ Mauri,Forbier,,,,,
27.0,Sèvres,Gravures,Suresnes,Gênes,,,,,
28.0,Vosges,jardin des Vosges,Indes,,,,,,
29.0,Obstinée,Latin,,,,,,,
30.0,Hollande,abandoñnér,candidsture,,,,,,
31.0,l'Italie,d'Italie,Italien,,,,,,
32.0,au-,Au-,,,,,,,
33.0,sälon,Salon,,,,,,,
34.0,cher,| cher,fächerie,,,,,,
35.0,Ferney,Ferney qu’,hôtel de Ferney,,,,,,
36.0,Rous-,Cordoue,Rouen,boue,,,,,
37.0,He la D.,la pierre,Piérre,,,,,,
38.0,tenay,"VII

  
 
 
 
 
 
    

Henri de Fontenay",tenaÿy,Fonteray,deFontenay,Ponte,Eten,Fontenay,Fontenaÿ
39.0,Montez,Pomone,Remontée,Mont-Valérien,,,,,
40.0,feuillage du Luxembourg,Luxembourg,Bourgogne,,,,,,
41.0,l'Oise,Bois,"vinigt-trois

2",toisie,Oise,gesie,Sois,,
42.0,"togue

È",rue de Tournon,rue de l'Ancienne-Comédié,ensembie de,rue de,rue n’,,,
43.0,Menacée,Grenade,nacre,,,,,,
44.0,lune,jéune,,,,,,,
45.0,Collège de Frar,de France,la France,,,,,,
46.0,élle,Élle,,,,,,,
47.0,Saint-Cloud,maine,main,,,,,,
48.0,Assise,Pas,massif de myosotis,Passy,,,,,
49.0,Roïée,froïd,,,,,,,
50.0,curinie,mouvanies,amout,,,,,,
51.0,voyäge,Voyez,,,,,,,
52.0,"rue Jean-
Bart",Jean-Jacques,,,,,,,
53.0,Courbée,Jours,Journées,Pour-,Tournon,,,,
54.0,le soleil,soleil,Tsolée,,,,,,
55.0,Quelqu,Dominique,Quelquefois,Quelque,,,,,
56.0,Voix,point voluptueuse,"-

— Vois-tu",,,,,,
57.0,affirmait}.,fêchait,chamt,,,,,,
58.0,Les,Îles jours,Re Îles,Naples,Île,Îles,,,
59.0,aVetses-,boules-de-neige,mule,,,,,,
60.0,Curieuse,Veux-,Märie,Cpélérinage,térieux,ladieu,,,
61.0,Pallée,alluma,Allemagne,talle,Allez,lez,,,
62.0,"la
Seine bleue",Säbine,la Seine,Seine,veines,,,,
63.0,jusqu’,qu’,Qu’'y,,,,,,
64.0,Philivpe,Philippé,Philippeun,,,,,,
65.0,Fheauté,Autrefois,Vautl,,,,,,
66.0,Madäime,Trocadéro,Madémoisèlle,,,,,,
67.0,niérée,Rentrée,Rorée,,,,,,
68.0,Lucile,fit-eile,Eile,Cest,Ileest,,,,
69.0,crainie,Touraine,Tourainé,,,,,,
70.0,suelle,Kouvelle,Ellé,demandaitelle,Appelle,Hérelle,,,
71.0,État,Parme,Paris TC,Paris végétal,Paris,,,,
72.0,mul oreiller,Versailles,‘aiguille,Ælle,Séville,,,,
73.0,Partez,colombes,Berlin,embre,Wurtemberg,,,,
74.0,lesoir,Loire,Rose,rOSOIr,,,,,
75.0,"vent

Î",Fon,Fonvent,,,,,,
76.0,Soupirs,|eoup,Mossoul,s’assoupir,,,,,
