cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
0,S6t6,o6t6,pEut6,,,,,,,,,,,,,,,,
1,Catharine,Ctharino,Gatharine,,,,,,,,,,,,,,,,
2,Fois,Iois,sois,foiro,foid,Vois,,,,,,,,,,,,,
3,Penduant,oinquanta,uand,rendtt,cEpendant,aendurantae,d6fendu,,,,,,,,,,,,
4,Fuuche,huche,Touches,,,,,,,,,,,,,,,,
5,Louiso,Louial,ruisonnublo,grdantlLouis,ruison,Louist,So-,louede,Louisjouissait,Iouis,oui80,Louisl,,,,,,,
6,Voilh,voil,,,,,,,,,,,,,,,,,
7,Nannette,Nannettoe,Nannetto,"mre
Nannette",Mamnnetta,Nannettel,mbr Nannette,Mannette,Nannettef,"mbre
Nannetto",nettoyee,Mannette idsvant dngarensement,mare Mannette,"mbre
Nannette",Nannetts,,,,
8,h Diu,ai d6 Dit,,,,,,,,,,,,,,,,,
9,Muarguerito,"actes.oR0N PATIR
Marguertte vut rentrar",Mlurguerito,uerita,J',Margue-,,,,,,,,,,,,,
10,therine,KEt Catherine,Prinnerie,Catherina,pthers,autherino garto,,,,,,,,,,,,,
11,llas,travaillaer,allar,tlllas,ellae,milla,,,,,,,,,,,,,
12,ten,En0,entendro,"anfhntsl lle
v 8tre bien contente",Tene,,,,,,,,,,,,,,
13,Ilordinarie,Narie,Ordinaire,lordinuaire,,,,,,,,,,,,,,,
14,Nunnette,mbr Nunnette,mbre Nunnette,Nunnetto,"charit6 d
lua mbre Nunnetta",ah,,,,,,,,,,,,,
15,Iu eompagnio,payetra eomptant,yeu eomma,ommana,,,,,,,,,,,,,,,
16,VOus,voulez,-:t:=,voulez-vaus,lez,st houl,Loule,voulao,,,,,,,,,,,
17,foree,A foree,,,,,,,,,,,,,,,,,
18,rn,corn0s,daecord,,,,,,,,,,,,,,,,
19,je.ne,Neunet-sur-,Jounne,lunno,Jeunne,launne,Junne,Lejeun oolporteur,leunne,Meunet,Jeuan,Lejeun,--La jeunesse,,,,,,
20,exueto,toi,tto,coIme,tombsr,toil,-,stonttot,mets-toi,eoiffa,,,,,,,,,
21,ohoso,LZ nnoi,honnos,bhonn,,,,,,,,,,,,,,,
22,pas8e,asast,as-Or,jy vasl,As,diset east,fiivre asi,Ce pAs,buas,rasenmmoda,passunt,Chasun,,,,,,,
23,Jane,IJae,tane6,Bluanehe,,,,,,,,,,,,,,,
24,hoir,bhoire,nuho,''L,,,,,,,,,,,,,,,
25,soignerai,aumne,gne,Gnl,B,eprgnee,gns,oampagne,,,,,,,,,,,
26,serviee,RN sERVICE,RANNE BN SERVIGR,RERVICR,RN sRVICR,SERVICE,,,,,,,,,,,,,
27,troes,oes,ees ides,aoes,joeie,Haues-loehes,,,,,,,,,,,,,
28,d6rangeAt,Solango,Solange,Sainte-Solange,vendange,d6sola,Solungo aost li-bas,Mange,elange,Solngo,sainte-Solange,,,,,,,,
29,Ieau,shAteau,Mmie,lJ,lDieu,ieau,bheaueoup,,,,,,,,,,,,
30,Murgurite,auri,l'6curie,Isaure,N.,l.,,,,,,,,,,,,,
31,"Saint-
Jean","Sainte-S-
Ange",Saint-jean,Saint-lean,Saint-Jean,,,,,,,,,,,,,,
32,pise de terre,Pierres-,truver Pierre,MIERR,In terre,"Pierres-
Folles",N,Saint-Pierre,,,,,,,,,,,
33,Comment dane,w,Nme,Comment,la somme,y-,Commae,,,,,,,,,,,,
34,io m6-,Iols,io,Io,bioen,Dumiont,lesameliorer,jolio,Etionnel,anvio,,,,,,,,,
35,eonnaissanee,Nai,aid6,Aidez,venais do,lMnnaips,mnains,,,,,,,,,,,,
36,Porte s.,porto,port6,Ilsporta,torro,,,,,,,,,,,,,,
37,sart,depurt,Rt,RT MRRR,Iort,prte,ort de sa mhro,frthos,,,,,,,,,,,
38,runie,meuniere,F,vnie,airmonie,jy,,,,,,,,,,,,,
39,manquAt,Maman,demand6,maman,madamel,,,,,,,,,,,,,,
40,alle,llle,klle,fmllleg,LL E,alluma,fallt,quolle lo put,vollh,Rlle,Llle,,,,,,,,
41,Voyez,n6tsre Voyons,Abbaye,voyagek,soyes,joyeu,envoy6,croyez,,,,,,,,,,,
42,eNviee,sssvie,wss,mss,,,,,,,,,,,,,,,
43,Hautes-kloches,Tes,htes,djh,,,,,,,,,,,,,,,
44,lann6e,ann6es,lanne,19S,m-,n6,,,,,,,,,,,,,
45,e',faisais,Y,aisn,maisen,- Mtais,-Mais,Iaisse,horuais,maisan,,,,,,,,,
46,vindre,approndre,repondre,chvre,viwreP,e,cumphre,c::BCONDB,,,,,,,,,,,
47,pus,puvont pus,Nousla,cus,ipussoeiee,,,,,,,,,,,,,,
48,veines,peino,lapeine,,,,,,,,,,,,,,,,
49,gargon,got,egarde,dangar,,,,,,,,,,,,,,,
50,S',s'6éveillant,surveillanee,,,,,,,,,,,,,,,,
51,m6-,J6,J6-,s6-,d6-,,,,,,,,,,,,,,
52,pau,st Paul,ku pasaunt,suupauda,auprh,,,,,,,,,,,,,,
53,noee,eeui,vee A,.'Geeseeeeee,E,psgnsee,tomhee,,,,,,,,,,,,
54,Grise,T0IsIMIR,Écris,leglise,prisr,Colis,Jappris,misbre,Is,buis,Dn,ruissau,bris6,lisie,Ionis,uu bisn lurl,,,
55,a0,nePMIR PARTIR,Hautes-SEG0NDR PARTIB,ATRIMIR PARTIR,srtir,,,,,,,,,,,,,,
56,"st tu prlers fisu
aveus",Sauvez,AVez,Avez,lo truaversin,aveo,Aven,uvece,,,,,,,,,,,
57,miliau,humili6,tra humili6,,,,,,,,,,,,,,,,
58,Lon,lon,A,Lo,"volonta da
Dieu",G,,,,,,,,,,,,,
59,Cher,Blancheo,Kn,empecher,du Cher,s6cher,,,,,,,,,,,,,
