cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0,got,Solango,Solange,dangar,Solngo,elange,d6sola,Solungo aost li-bas,,,,,,,,,,,,,,,
1,gne,eprgnee,19S,gns,Gnl,soignerai,oampagne,,,,,,,,,,,,,,,,
2,Ordinaire,Nai,nayor,lordinuaire,daecord,Ilordinarie,foire proehaine,,,,,,,,,,,,,,,,
3,"ii

I
I

II
E
E","I
E","IL -
II 
iL
l
III
S

iL
A

a
t
E
Ci
JE

CI

I
IIM
L

III 
L
I

 
I
E","N
 I",y-,"A

I
II1
I
----l",,,,,,,,,,,,,,,,,
4,Durand,Grand Bil,Grand-,eourt grand risuo,Grand-Hal,Grand-ai,"Grand-
Bail",Grand-Ai,east h prandre,Grand-Il,Granil,Gruand-llail,grange el,lean Jusserand,Grand-ai l,granle,Grund-il,Jusserand,,,,,
5,mattresss,mattref A leglise,maltresse,Mattresse,sssvie,demandus  la maitress,dress6,bless6,Mattre,mss,wss,,,,,,,,,,,,
6,Vons,Lon,c::BCONDB,impossiblo,ont6,lon,san nonrrimson,gargon,Lo,"volonta da
Dieu",,,,,,,,,,,,,
7,ge,gea,N,femma da Gerbaud,Kn,Argent-,gene,gehns,Gerband,,,,,,,,,,,,,,
8,Muarguerito,eerivit,Murgurite,Margue-,uerita,Mlurguerito,,,,,,,,,,,,,,,,,
9,hl6,Hlal,bl6,,,,,,,,,,,,,,,,,,,,
10,djh,fumer tes champs.-,"Eh bionl js prendruais un de tss champs on
pnyemnent",hamps,,,,,,,,,,,,,,,,,,,
11,frthos,fr,oolfre,la France,,,,,,,,,,,,,,,,,,,
12,Louisl,buis,Louiso,Issouimn,oui80,Issoudun,ruison,ruisonnublo,Louisjouissait,soupof,Louial,grdantlLouis,louede,Louist,Iouis,N.,,,,,,,
13,Io,Ionis,Iort,bioen,Dumiont,Iu eompagnio,io,io m6-,anvio,A,,,,,,,,,,,,,
14,mero,lesameliorer,reluamer,terrOB,blmer,Nme,-Merci,,,,,,,,,,,,,,,,
15,lespsi,oes,aoes,Haues-loehes,joeie,troes,ees ides,F,,,,,,,,,,,,,,,
16,cntimes,PANTIk,ANTIR,aharga do asun antratian,Panl,payetra eomptant,PAHYTIk,,,,,,,,,,,,,,,,
17,plaes,aesoueil,IJae,place,plaft,maes,,,,,,,,,,,,,,,,,
