cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141,elem_142,elem_143,elem_144,elem_145,elem_146,elem_147,elem_148,elem_149,elem_150,elem_151,elem_152,elem_153,elem_154,elem_155,elem_156,elem_157,elem_158,elem_159,elem_160,elem_161,elem_162,elem_163,elem_164,elem_165,elem_166,elem_167,elem_168,elem_169,elem_170,elem_171,elem_172,elem_173,elem_174,elem_175,elem_176,elem_177
-1,qul,loanno,Ieanne vellle,anna,noee,r6ehauff,"II

---
Jeane",exueto,coffhe,"actes.oR0N PATIR
Marguertte vut rentrar","N
 I",suf-JEANNR EPOLB EP MInE.,"st tu prlers fisu
aveus",Ir6chauderiel,yeu eomma,oen voudraias pus,t8te,as-Or,leeturo de laete,vutra,au-,BANNR,"ontta puillo uu vot
uatte",w,-:t:=,diset east,ehanvre ataltettohe pat tarre,Mamnnetta,Vons,aommonoamont des vandunges,NFaN B JIEANNR,eonnaissanee,IANNk,allar,mbr Nannette,Nai,foiro,t80,Pourquaoi,eeui,lean,alle,"f
- Muattre Tixier",je nae valais,mre Nainnette,Jo,Lherbe,Muitra,-F,mbre Nanaetts,d6barbouillait,n6tsre Voyons,Iailleurs,S',jardin mpour,hestiaux,Grind-Hail,Is,east h prandre,ceher,pltre,foire proehaine,RT MRRR,suita,aesoueil,aharga do asun antratian,ly,Cost,iinnutp votshar entse,ku pasaunt,P,la somme,Prinnerie,Abbaye,louede,trouvara,lo truaversin,aa mMre,aussI6t soulo asur,Faut.n,lepre,rssouree,alluma,nankin,d6sola,l'6curie,"A

I
II1
I
----l",bouher uno pibdeoe de,Solungo aost li-bas,Dn,lJ,Isaure,parceeque cest,eonluit avau une bgutte,san nonrrimson,petitl,iut,de les lyer,"I
E",mre Nnnnatto,oulture,ILaA,ARIIR,Ieanne,ellae,"IL M.

2
 
IL
 L
i
 
eT:E",san ohupeau,eharpete,Grand-Hal,nettoyee,viwreP,lennneet,nit do parlsr,dtresse de eanne,linquitulo,lespsi,Mannette idsvant dngarensement,maieo,eourt grand risuo,Argent-,sane uger,dshir6,lJeanuet,empecher,fallt,venais do,e,nuho,quolle lo put,Aehetez,- Mtais,labourenrs,bheaueoup,wtt,chin,ehevet da,dEmain,"charit6 d
lua mbre Nunnetta",Muitre Tixer,Solngo,la France,''L,lMnnaips,ceu si e v-,Remantranaes,vollh,S,"pltisirquae
iai",fand tres,reluamer,Grand Bil,Iesnne,mare Mannette,"ndri  matue
ixier du",etle poreher,"anfhntsl lle
v 8tre bien contente",got,Iaisse,Grund-il,"N
M",I,rin,gaeho,champ de lanne,Chasun,Etionnel,l.,maresta plush dannaer,du Cher,"II

L",mnains,uu bisn lurl,ourRIEMIR,JEANINR,Nunnatta,dangar,Laissons,--La jeunesse
0,n18,djh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N,y-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"-,J",m-,SZR,J',F,Kn,M,N.,G,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,u,Y,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,e',E,B,19S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,f,a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,nayor,cumphre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,h Diu,ai d6 Dit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,I',si',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
