cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0.0,Solango,Solange,elange,d6sola,,,,,,,,,,,
1.0,lann6e,ann6es,,,,,,,,,,,,,
2.0,Louisl,buis,Louiso,oui80,Louisjouissait,Louial,grdantlLouis,Louist,Iouis,,,,,,
3.0,ocette,Cstte,"oette
maiaon",Mettez,tte,Aette,,,,,,,,,
4.0,Fuuche,Touches,huche,,,,,,,,,,,,
5.0,tout6 do,pEut6,,,,,,,,,,,,,
6.0,Gatharine,Catharine,Ctharino,,,,,,,,,,,,
7.0,Iois,Vois,sois,Fois,,,,,,,,,,,
8.0,pas8e,passunt,ku pasaunt,Ce pAs,,,,,,,,,,,
9.0,gne,eprgnee,soignerai,oampagne,,,,,,,,,,,
10.0,Ir6chauderiel,dshir6,Prinnerie,nuudes,,,,,,,,,,,
11.0,eharpete,iinnutp votshar entse,r6ehauff,petitl,cehargea,,,,,,,,,,
12.0,Durand,Grand Bil,Grand-,eourt grand risuo,Grand-Hal,Grand-ai,"Grand-
Bail",Grand-Ai,Grand-Il,Granil,Grand-ai l,granle,,,
13.0,Colis,leglise,lisie,jolio,,,,,,,,,,,
14.0,mattresss,mattref A leglise,Mattresse,mattr Tixior,sssvie,Mattre,,,,,,,,,
15.0,- Veux-tu,Veux-tu done faire,Et0I,,,,,,,,,,,,
16.0,Tixisr,Iixisr,,,,,,,,,,,,,
17.0,NFaN B JIEANNR,betes3EANNR REN,Ieanno,BANNR,,,,,,,,,,,
18.0,peino,lapeine,Heinl,usine6,veines,,,,,,,,,,
19.0,Muarguerito,"actes.oR0N PATIR
Marguertte vut rentrar",Margue-,uerita,Mlurguerito,,,,,,,,,,
20.0,fumer tes champs.-,"Eh bionl js prendruais un de tss champs on
pnyemnent",hamps,,,,,,,,,,,,
21.0,proat,propes,proflt,provins,,,,,,,,,,,
22.0,naftra,vutra,Muitra,maftre,,,,,,,,,,,
23.0,Vons,Monsisur,Lin nisu,Isure,monsisur,,,,,,,,,,
24.0,champ de lanne,leeturo de laete,de les lyer,,,,,,,,,,,,
25.0,uund,Grund-il,,,,,,,,,,,,,
26.0,lshelle,Rlle,quolle lo put,ellE,klle,ELlE--,ELLE2,EllE,,,,,,,
27.0,Nai,venais do,lMnnaips,,,,,,,,,,,,
28.0,Aidez,aid6,ees ides,,,,,,,,,,,,
29.0,llan'y rontrarapus,Remantranaes,ountra,aharga do asun antratian,pus to contraindro,,,,,,,,,,
30.0,Hautes-kloches,htes,Tes,,,,,,,,,,,,
31.0,moisso,Issouimn,Issoudun,Inourables d'Issoudun,psisso,Laissons,rssouree,,,,,,,,
32.0,sart,Hautes-SEG0NDR PARTIB,nePMIR PARTIR,ATRIMIR PARTIR,srtir,,,,,,,,,,
33.0,oes,aoes,troes,,,,,,,,,,,,
34.0,PANTIk,ANTIR,Panl,PAHYTIk,,,,,,,,,,,
35.0,Nousla,etJRANR APOUSE,VOus,Noug,,,,,,,,,,,
36.0,travaillaer,IJae,travalil,truavaillentl,ellae,,,,,,,,,,
37.0,aesoueil,soupof,louede,maes,,,,,,,,,,,
38.0,oinquanta,manquAt,,,,,,,,,,,,,
39.0,o6t6,S6t6,,,,,,,,,,,,,
40.0,Pierres-,Saint-Pierre,truver Pierre,"Pierres-
Folles",,,,,,,,,,,
41.0,lUi]1,luil,i]1,eonluit avau une bgutte,,,,,,,,,,,
42.0,Diau,Diaeu,,,,,,,,,,,,,
43.0,voulez,lez,voulao,Loule,voulez-vaus,,,,,,,,,,
44.0,aprbes,Aprbes,Aprbs,Aprs,,,,,,,,,,,
45.0,antre moiti6,moiti6,moitie,,,,,,,,,,,,
46.0,meissan,eonnaissanee,Poonnae,Iaisse,,,,,,,,,,,
47.0,vaele,grele,LiEelE,,,,,,,,,,,,
48.0,porto,Ilsporta,Iort,Porte s.,port6,,,,,,,,,,
49.0,empecher,Cher,chereher,du Cher,s6cher,Blancheo,,,,,,,,,
50.0,trs-fort,fortPRMIIRRE,PRBMIIRRE,,,,,,,,,,,,
51.0,Or6,or6f,,,,,,,,,,,,,
52.0,ort de sa mhro,aa mMre,RT MRRR,,,,,,,,,,,,
53.0,maresta plush dannaer,ESt,Est,".Est-

I
 
E

E",ESt-ce,hestiaux,est6e,,,,,,,,
54.0,l'italie,suita,italie,,,,,,,,,,,,
55.0,Nannottat,Mannotte,Mannstte,loanno,,,,,,,,,,,
56.0,east h prandre,diset east,st houl,,,,,,,,,,,,
57.0,tqui,linquitulo,quoiquil,quittee,,,,,,,,,,,
58.0,m6-,io m6-,,,,,,,,,,,,,
59.0,alle,allar,alluma,fallt,,,,,,,,,,,
60.0,mre Nanntte,mre Nannette;A6,mbre Nannette,mre Nannette,mbre Nannetta,mre Nannett,mbre Nunnette,mre Nainnette,mbre Nannetto,mbre Nanaetts,mra Nanntte,,,,
61.0,lesameliorer,madamel,,,,,,,,,,,,,
62.0,mnains,ain,Sylvain,Iaine,maine,,,,,,,,,,
63.0,Grise,Écris,Paris,bris6,Jappris,prisr,,,,,,,,,
64.0,Cala,je nae valais,ceu si e v-,jy vasl,,,,,,,,,,,
65.0,vnie,runie,meuniere,,,,,,,,,,,,
66.0,PATI,bAtir,pitir,,,,,,,,,,,,
67.0,llle,Llle,fmllleg,,,,,,,,,,,,
68.0,Jeanne.]ENANCI D JEANNH,Ieanne vellle,Jeanne6tait,Jeannel,jeanne7,Jeanno,suf-JEANNR EPOLB EP MInE.,leanne,Jeann,s3EANN,avonslEANNE,dtresse de eanne,Jaeanne,Ieanne,
69.0,parceeque cest,paros,nit do parlsr,Par-,paruatt,,,,,,,,,,
70.0,san ohupeau,san viilage,ILaA,san nonrrimson,,,,,,,,,,,
71.0,horuais,orue,,,,,,,,,,,,,
72.0,rendtt,d6fendu,Penduant,aendurantae,,,,,,,,,,,
73.0,plaes,place,plaft,,,,,,,,,,,,
74.0,tete,tetel,,,,,,,,,,,,,
75.0,tta hussa at la,tta hussa,tta,,,,,,,,,,,,
76.0,ruison,ruisonnublo,ruissau,,,,,,,,,,,,
77.0,tomhee,tombsr,Combin,,,,,,,,,,,,
78.0,aussI6t soulo asur,impossiblo,ssir,"pltisirquae
iai",,,,,,,,,,,
79.0,Lejeun,oolfre,prte,Lejeun oolporteur,,,,,,,,,,,
80.0,LZ nnoi,honnos,bhonn,,,,,,,,,,,,
81.0,miliau,humili6,tra humili6,,,,,,,,,,,,
82.0,beusg,leuseuse,,,,,,,,,,,,,
83.0,seule.3RANN RN SEVI6OR,SEVI6OR,,,,,,,,,,,,,
84.0,lean Jusserand,lean,Jusserand,,,,,,,,,,,,
85.0,biioux,vioux,anvio,,,,,,,,,,,,
86.0,"ii

I
I

II
E
E","IL M.

2
 
IL
 L
i
 
eT:E","I
E","III 

II
 Si","IL -
II 
iL
l
III
S

iL
A

a
t
E
Ci
JE

CI

I
IIM
L

III 
L
I

 
I
E","II

L","A

I
II1
I
----l",PAIII,,,,,,,
87.0,Nutre,Faut.n,Notre Pere,d6autre,lautrl,Autre,veux-auTre,,,,,,,,
88.0,Quelquofois,quelguo,A quelqus temps,quelqe,Afrique,quelquo,Quelques-,,,,,,,,
89.0,SERVICE,RN sERVICE,RERVICR,RANNE BN SERVIGR,RN sRVICR,serviee,,,,,,,,,
90.0,Outanir,iout,Iout,"E

E",,,,,,,,,,,
91.0,Infin,FIN,,,,,,,,,,,,,
92.0,san mari,mari6,ARIIR,,,,,,,,,,,,
93.0,Voilh,voil,,,,,,,,,,,,,
94.0,herg,hergra,Lherbe,,,,,,,,,,,,
95.0,bhoire,hoir,,,,,,,,,,,,,
96.0,Mesdemoiselles,mademoiselle,,,,,,,,,,,,,
97.0,journe,journie,,,,,,,,,,,,,
98.0,airmonie,armoie,MOI2RR,,,,,,,,,,,,
99.0,lepre,present]110,v8pres,Apres,,,,,,,,,,,
100.0,Mre Tixier,"pre
Tixier",nuttre Tixior,Tixier,pre Iixier,pre Tixier,"f
- Muattre Tixier",pre ixier,"ndri  matue
ixier du",Muitre Tixer,,,,,
101.0,corn0s,daecord,aecoutumee,,,,,,,,,,,,
102.0,bheaueoup,shAteau,ieau,Ieau,,,,,,,,,,,
103.0,A foree,foree,la France,,,,,,,,,,,,
104.0,Guilluume,aumne,Guillauma,d6barbouillait,milla,,,,,,,,,,
105.0,"au-
trefois",au-,"au-
tres","au-
troes",fand tres,,,,,,,,,,
106.0,gene,Tene,ten,entendro,,,,,,,,,,,
107.0,maltresse,maltre,pltre,,,,,,,,,,,,
108.0,oompte,Abbaye,payetra eomptant,Iu eompagnio,VWatan,,,,,,,,,,
109.0,l etegeet,LL E,,,,,,,,,,,,,
110.0,murut,seeurit6l,Murgurite,,,,,,,,,,,,
111.0,Saint-Jean,vinttn,"Saint-
Jean",Saint-jean,Saint-lean,,,,,,,,,,
112.0,eNviee,envoy6,voyagek,n6tsre Voyons,,,,,,,,,,,
113.0,Meunet,aueun,--La jeunesse,Neunet-sur-,,,,,,,,,,,
114.0,c::BCONDB,repondre,approndre,vindre,viwreP,,,,,,,,,,
115.0,leunne,lunno,Etionnel,lennneet,Junne,Iesnne,Jeunne,Jounne,launne,,,,,,
