cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,Fuuche,huche,-:t:=,Abbaye,ca,Touches,,,,,,,,,,,
1,d6rangeAt,vendange,cus,Mange,elange,N,la France,grange el,at,,,,,,,,
2,pas8e,f,Ce pAs,ku pasaunt,Aidez,passunt,,,,,,,,,,,
3,IL0ISIkME,T0IsIMIR,il6e-la,lisie,"pltisirquae
iai",,,,,,,,,,,,
4,loanno,LZ nnoi,as-Or,lunno,Mannotte,Gnl,Ieanno,d6-,Nannottat,,,,,,,,
5,Penduant,oinquanta,rendtt,cEpendant,aendurantae,d6fendu,In,Jeuan,,,,,,,,,
6,PAHYTIk,plaft,Jo,naftra,plaes,place,Oii,I,maftre,,,,,,,,
7,Nannette,Nannettoe,Nannetto,"mre
Nannette",Mamnnetta,Nannettel,mbr Nannette,Mannette,Nannettef,"mbre
Nannetto",nankin,madamel,Mannette idsvant dngarensement,mare Mannette,got,"mbre
Nannette",Nannetts
8,"IL -
II 
iL
l
III
S

iL
A

a
t
E
Ci
JE

CI

I
IIM
L

III 
L
I

 
I
E","III 

II
 Si",iiaa,"A

I
II1
I
----l","I
E","ii

I
I

II
E
E",Aps,PAIII,"II

L",,,,,,,,
9,caeher,Maehere,ceher,Aehetez,ehevet da,wss,hereher,etle poreher,gaeho,Haues-loehes,,,,,,,
10,ai d6 Dit,m6-,tout6 do,tombsr,y10,,,,,,,,,,,,
11,armoie,MOI2RR,,,,,,,,,,,,,,,
12,Muarguerito,"actes.oR0N PATIR
Marguertte vut rentrar",eeui,Mlurguerito,uerita,SZR,auprh,ILaA,Margue-,,,,,,,,
13,Fois,Iois,sois,Vois,F,cumphre,Crois,,,,,,,,,,
14,hourg,Nme,marhal du hourg,hourse,,,,,,,,,,,,,
15,therine,KEt Catherine,Catherina,pthers,eerivit,autherino garto,,,,,,,,,,,
16,Voilh,voil,Cost,''L,jy,,,,,,,,,,,,
17,rn,llas,tlllas,Infin,puillasse at une oouverture,,,,,,,,,,,,
18,Iu eompagnio,payetra eomptant,yeu eomma,oompte,J6-,En0,eoiffa,hl6,,,,,,,,,
19,Iaine,foire proehaine,se106,maine,,,,,,,,,,,,,
20,Neunet-sur-,Meunet,aueun,--La jeunesse,,,,,,,,,,,,,
21,ruisonnublo,ruison,,,,,,,,,,,,,,,
22,foree,A foree,depuia,,,,,,,,,,,,,,
23,noee,eNviee,sssvie,ge,anvio,,,,,,,,,,,,
24,h Diu,"N
 I",toi,toil,ILo,mets-toi,,,,,,,,,,,
25,w,N.,mss,,,,,,,,,,,,,,
26,lean Jusserand,lean,Or6,Jusserand,,,,,,,,,,,,,
27,herg,Lherbe,lir,bouher uno pibdeoe de,hergra,,,,,,,,,,,,
28,Ir6chauderiel,Narie,mari6,l'6curie,ARIIR,,,,,,,,,,,,
29,"ontta puillo uu vot
uatte",chbvrfauille,habill6e,ille anit ikee dei,d6barbouillait,Iailleurs,S',Guillauma,truavaillentl,puille,Feuillet,Mapuuvrefille,Guilluume,,,,
30,ohigrin,- Es,grimuce,Grind-Hail,B,orue,Grias,rin,,,,,,,,,
31,Jane,tane6,sane uger,Bluanehe,,,,,,,,,,,,,
32,soignerai,gne,eprgnee,oampagne,,,,,,,,,,,,,
33,serviee,RN sERVICE,RANNE BN SERVIGR,RERVICR,RN sRVICR,gns,seule.3RANN RN SEVI6OR,SERVICE,,,,,,,,,
34,ehanvre ataltettohe pat tarre,fiivre asi,Notre Pere,vee A,chvre,,,,,,,,,,,,
35,jy vasl,aommonoamont des vandunges,,,,,,,,,,,,,,,
36,troes,oes,aoes,or6f,,,,,,,,,,,,,
37,r6ehauff,cehargea,gea,iinnutp votshar entse,N-,eharpete,Argent-,,,,,,,,,,
38,Ieau,shAteau,ieau,bheaueoup,,,,,,,,,,,,,
39,I',Paris,Grise,Écris,prisr,Jappris,bris6,eorps,,,,,,,,,
40,diset east,leglise,Colis,nuho,,,,,,,,,,,,,
41,Murgurite,auri,aur6,,,,,,,,,,,,,,
42,S6t6,"Saint-
Jean",Saint-jean,Saint-lean,Mmie,Kn,Saint-Jean,,,,,,,,,,
43,Ls,Pierres-,truver Pierre,MIERR,"-,J","Pierres-
Folles",Saint-Pierre,,,,,,,,,,
44,Comment dane,Comment,la somme,si',Commae,Combin,,,,,,,,,,,
45,hoir,foiro,Cala,foid,bhoire,,,,,,,,,,,,
46,Porte s.,porto,port6,Ilsporta,Iort,,,,,,,,,,,,
47,Rt,,,,,,,,,,,,,,,,
48,moisso,Issouimn,Inourables d'Issoudun,aesoueil,rssouree,psisso,soupof,Issoudun,Laissons,,,,,,,,
49,vindre,approndre,repondre,east h prandre,c::BCONDB,,,,,,,,,,,,
50,Heinl,veines,peino,terse pei,lapeine,Et0I,,,,,,,,,,,
51,anna,BANNR,pr6s,IANNk,lann6e,ann6es,Mannstte,n18,,,,,,,,,
52,Diau,miliau,humili6,tra humili6,,,,,,,,,,,,,
53,demand6,E,demandus  la maitress,dEmain,,,,,,,,,,,,,
54,depurt,PATI,bAtir,pEut6,-,pitir,,,,,,,,,,,
55,travaillaer,vEille,s'6éveillant,surveillanee,milla,,,,,,,,,,,,
56,lembarras,tarrang,lomhnrras,Piarra,rasenmmoda,tarras,l hraselst,,,,,,,,,,
57,Solango,"Sainte-S-
Ange",Solange,Sainte-Solange,d6sola,sainte-Solange,ER,,,,,,,,,,
58,qul,pau,st Paul,suupauda,,,,,,,,,,,,,
59,bl6,ohagrin quon,TU,ahagrin,ohagrin,hagrin,Panl,G,,,,,,,,,
60,.'Geeseeeeee,psgnsee,murut,seeurit6l,,,,,,,,,,,,,
61,present]110,v8pres,lepre,Apres,"puuvres
uo",,,,,,,,,,,,
62,TUlsIkMk 1ANII,VWatan,Outanir,,,,,,,,,,,,,,
63,voulez,voulez-vaus,lez,nayor,Loule,voulao,jE,,,,,,,,,,
64,honnos,bhonn,Poonnae,Etionnel,,,,,,,,,,,,,
65,ohoso,sart,nePMIR PARTIR,Hautes-SEG0NDR PARTIB,ATRIMIR PARTIR,srtir,,,,,,,,,,,
66,je.ne,Jounne,Jeunne,launne,Junne,leunne,lennneet,Iesnne,,,,,,,,,
67,Lejeun oolporteur,prte,Lejeun,,,,,,,,,,,,,,
68,Cher,chereher,lJ,Blancheo,empecher,l.,du Cher,s6cher,,,,,,,,,
69,Nutre,d6autre,Faut.n,Autre,veux-auTre,lautrl,,,,,,,,,,,
70,Aette,"oette
maiaon",Mettez,ocette,jolio,Cstte,,,,,,,,,,,
71,quelguo,Quelques-,quelquo,Afrique,quelqe,Quelquofois,A quelqus temps,,,,,,,,,,
72,Nunnette,mbr Nunnette,mbre Nunnette,Nunnetto,"charit6 d
lua mbre Nunnetta",,,,,,,,,,,,
73,Tixisr,Iixisr,Tixiar,Iixiar,oflloiar,matra Tixiar,,,,,,,,,,,
74,Aprbs,aprbes,Aprbes,Aprs,,,,,,,,,,,,,
75,Muitra,suita,quittee,eonluit avau une bgutte,linquitulo,tte,tqui,,,,,,,,,,
