text,cluster
EH,0
Ganaehe,0
gemeht,0
cslehge,0
Is proehe,0
Omme,1
commeune,1
lanmme,1
Pyrame,1
CommenT,1
Ashomnme,1
j-,1
Lomme,1
Commecette,1
Lhomme,1
omer,1
Dnimmense,1
SIre,2
obeir,2
soiree,2
rirE,2
breviaire,2
l'Empire,2
eroire,2
Desire,2
choire,2
bir,2
vOulez,3
Poulet,3
soulevee,3
vOulez-,3
vOUlez,3
jEanne,4
anne,4
Or Jeanne,4
Teanne,4
Ieanne,4
Jeannemurmura,4
gane,4
Jeannel,4
E.isembla a Jeanne,4
EtJIeanne,4
tete,5
teut,5
jetee,5
tete egaree,5
C0te  cbte,5
teten,5
cbte,5
eternuer.-,5
tetes,5
Attenl,5
Cettepauvre,5
Ia tete,5
Etes,5
cettelarve,5
Ila  Petite,5
bete crispee,5
grosse gaiete,5
gaiete,5
fetes,5
betes,5
bete ailee,5
0tel,5
tete  labri,5
bete,5
I140,5
bosquet,6
v1E,6
Lrsque,6
Quelquefois,6
bosgquet,6
Yos,6
plusqu',6
sa`easquette,6
Vois,7
vOis-a,7
voilÀ,7
voitre,7
vOis-a-vis,7
Meis,7
Evoie,7
Voil,7
Bravo,7
Voilh,7
hoisie,7
Vois-tu,7
Ls,8
Lereste,8
histeire,8
Ladultere,8
Leestendres,8
Angleterre,8
alaternes,8
atterres,8
hesiter,8
bruyeres,8
ns  terre,8
ceuir a des mysteres,8
jura,9
mourpra,9
"curé.n
Huit jours",9
y-,9
fSurprise,9
murmura:-,9
AmOUR,9
temps',10
e,10
S',10
entemps,10
Comptez,10
meuse,11
honteuse,11
mer sem6e,11
leuse,11
e21,11
Yauseotte,11
Les,12
isolees,12
ayssnsimpaesiblesIa,12
attelees,12
lesoitriers,12
ILes,12
mariez-les,12
desole,12
Laisseles,12
Ryales,12
Maleleines,12
Naples,12
Iiee,13
Ee,13
glacee,13
eeil,13
Beelzebuth,13
saleequi,13
aee,13
fecondee,13
Drnee,13
ostinee,13
accoutumee,13
abimee,13
Darriere,14
barriereblanehe auxpiliersde hrique,14
arras,14
Darriere blanche,14
Pourriez-,14
barriere,14
gare de Beuzeville,15
"uneaie tete de
poule  huppe blanche",15
golfe de Sagone,15
"au-
I
L
214
UNE vIE
tour de cette chair inanimee",15
01C1,15
jetee blanche,15
declara-UNE D1E,15
ofice afn d liniter,15
dormante de cetle,15
Soiceur,16
dureie,16
Iature,16
Deur,16
eure,16
Sacre-Coeurelle,16
ceurs,16
heuressans,16
I,16
Ildemeura,16
l6preuve,16
uneeure,16
demeuree,16
jeur,16
ooeur,16
Varfleur,16
courbaturee,16
Lison,17
ssison,17
Iisoslie,17
Puison,17
Religion,17
Briseville,18
Brise-,18
Viloise,18
"Batteville.29
UNE VIE
Puis",18
Brisseville,18
Rriseville,18
t le soleil,19
EIle,19
Le soleil,19
Leopold-,19
soleil surle galet,19
le soleil,19
Cana,20
calm6,20
caleche,20
ca,20
F6camp,20
pays de Caux,20
Fecamp,20
Ca,20
"I

L.0",21
"I 
1P",21
l.,21
Gilberte,22
Gilherte,22
a-t-ilbesoin,22
Alber-,22
comtesse Gilberte,22
alleroir,23
Rlle,23
lle,23
"n
Lllesentit",23
Bassolle,23
lle apercut,23
Rollebose,23
Ble,23
Lllesentit,23
Allemagne,23
Folle,23
llene,23
Llle,23
Llenfant,23
Blle,23
collee,23
Allez,23
Ies genoux,24
gs,24
esgenoux,24
genS,24
aLOrs,25
Lor,25
implora;mais,25
Niolo,25
onsulte,26
ns,26
mons,26
Asraions,26
nousaviserons,26
Allonsl,26
Voyons,26
Lapons,26
considera,26
Ilne,27
Verneuil,27
Ln,27
rai-LNE VE,27
Ledlner,27
Qrti,28
artit,28
Iabattit,28
barue,28
psrt,28
rto  IT1,28
Vousne,29
VOus,29
"écoutez-moi
ien  Yous",29
us,29
Voius vous resignez,29
alIS,30
SesCiSea,30
Lise,30
Pis,30
auxeglises,30
"moi.n

marguisese",30
Leglise,30
repise ar n psesant,30
Encaissee,30
erli,30
amollis,30
CI,31
Ajaccio,31
Iy,31
Etretat,32
etreindre,32
beret,32
Latre,32
Eretat,32
attiree peut-etre,32
Étretat,32
RRoi-Louis,33
Loir,33
Roi-Louis,33
"loi,-la",33
ai eu froid,33
E5s,33
OUi-,33
E,33
"R.:I


E
i.
t.A
I",34
"E
E'
I",34
I.I,34
Aassacre,35
fSacre-Cœur,35
baptisa  Massacre,35
E1,35
Aa,35
loinUNIE,36
sapins,36
In,36
Sainte-Hélène,36
Iardin,36
rdin,36
hein,36
Demain-,36
S,36
Inchit,36
Aloin,36
Soudain,36
tina,36
hargee,37
Cargese,37
rGn,37
"dejia
hargee",37
echangee,37
ilsse,38
Coursil,38
IL,38
qtlil,38
Il-:2,38
D1IL,38
aeil,38
oeiltaut,38
rosinquil,38
Ilfaut,38
boulangere,39
"or-
nierela",39
Lepremier,39
premiere,39
ceremonie,39
greniern,39
remieres ereatures,39
Reminil,39
quie,40
jauirai,40
buis,40
tqui,40
UI,40
PuIs,40
S0ui,40
Quittez-le,40
Cequilui,40
un320,41
I202,41
I208,41
va',42
rue du Sauvage,42
val,42
Va,42
Vauds,42
Val,42
val d'Ota,42
suva,42
"val d'0t.
En arrivant",42
Auun,43
au chteau,43
au-,43
chteau,43
le chteau,43
10eau,43
nouveau-nes piaulants,43
teauqui,43
beaudoup,43
hameau de,43
S-,44
as-tu,44
Es-tu,44
-  Querepondras-tu,44
blie,45
Rosalie,45
.l,45
italie,45
Italie,45
g85,45
d'Italie,45
liemasi-e,45
calinerie,45
Allait-Royal,45
Rosaliel,45
Lieu,45
Ellerentrait,46
frolement,46
Rentrons,46
apparaltre,46
nOuirent,46
v0être,46
Lautren',46
entrE,46
Inntre,46
Dentu,46
sentr',46
Notre-Dame du Gros-Ventre,46
Is traversbrent,46
extreme,46
bete eventree,46
Alautre,46
Entrezl,46
cntra,46
concentree,46
rd dola,47
as304,47
nola,47
-  Pas,47
Las,47
la-bas,47
Lastique,47
Elas,47
surla,47
Jas,47
D,47
la158,47
Adlatde,48
bade,48
Adelaide,48
laissantvide,48
aideo,48
deelara,48
deide,48
candelabres,48
pides,48
.88,49
trot,49
5Z,49
Autrot,49
sasrrot,49
Crott,49
Ro-,49
d6-,50
s6-,50
s6,50
Cri-,51
cherie,51
Roche-Aubert,51
Hier,51
Amerique,51
miserieorde,51
hereher,51
empecher,51
meche,51
Ieras,51
Mediterranee,52
Dit,52
Midi,52
Dit',52
Divine Mansue-,53
amazone,53
alluma,53
Maie,53
Madame.on,53
etluidemana,53
maman,53
Mamanln,53
Flamands,53
Ami,53
manche,53
Mars,53
Damas,53
Bentait,54
saisit126,54
faitl,54
aussit0,54
Itraitait,54
Éloignait,54
hesita,54
Ltait,54
Cgtait,54
yit,54
prep araitsa  botte,54
Ilaurait,54
voyaiti,54
Ilbattait,54
vaitueet,54
Ieehait,54
auraitbesoin,54
consolait:-,54
cmpeene,55
nne,55
Ianene,55
Comprenez,55
enne,55
Athenes,55
penetra,55
Rienne,55
nenetre,55
Inne,55
venements,55
N,56
ereux,56
veux-tu,56
"I
Eux",56
yiheuar,56
Eux,56
aueun,56
Veux-tu,56
".,-",57
pre l,57
