cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,lavie,Ilreviendra,vieomte,vVIE,la-Vierge,VIE,,,,,,,,,,,,
1,aeil,oeiltaut,Aa,eeil,,,,,,,,,,,,,,
2,savanceer,France,erli,,,,,,,,,,,,,,,
3,Ieras,Hier,arras,,,,,,,,,,,,,,,
4,enFant0m,enfants?n,Llenfant,In,,,,,,,,,,,,,,
5,Voil,Voilh,Evoie,rII,Bravo,Sa336,voilÀ,,,,,,,,,,,
6,Parfois,Quelquefois,enlaceesparfois,"lalande
 Parfois",l.,,,,,,,,,,,,,
7,bosquet,sa`easquette,Lrsque,Lrsquon,J,plusqu',bosgquet,S,Thysbe,us,,,,,,,,
8,Mamanln,Flamands,Damas,D1IL,amazone,maman,,,,,,,,,,,,
9,obeir,psrt,E5s,esespeir,bir,histeire,,,,,,,,,,,,
10,ellE,elLE,naelle,"R.:I


E
i.
t.A
I",celle-l.,baptisee  6chelle,R,Ellebuvait,ent est-elle tombo,Ellecontinuait:-,cbte,ELLe,Lelle,Ellerentrait,douteelle,0uelle,j-,EllE
11,I94,,,,,,,,,,,,,,,,,
12,jura,Touraine,murmura:-,oset,Ilaurait,E,Ildemeura,,,,,,,,,,,
13,toutou,fToute,Il-:2,gttout,Océan,"5:,:.G",toul,yit,,,,,,,,,,
14,haron,haronne,.-.E,Ies,labaronne,"I
L",haron monterent avee,,,,,,,,,,,
15,v0être,igugui,apparaltre,extreme,Latre,Ah0tres,etreindre,voitre,nenetre,.sa,5Z,,,,,,,
16,Asraions,jauirai,Religion,,,,,,,,,,,,,,,
17,l'Empire,temps',sapins,rirE,SIre,I202,Desire,,,,,,,,,,,
18,Vousne,VOus,r11,I.I,Auun,,,,,,,,,,,,,
19,Peuple,Peuplesl,Naples,Ryales,Peples,Peul,At,Les,,,,,,,,,,
20,"E
E'
I",Vues,,,,,,,,,,,,,,,,
21,fSurprise,Paris,Brise-,Ln,surla,,,,,,,,,,,,,
22,"curé.n
Huit jours",Coursil,toujours:-  Ilfaut,Bourse,jou,eaon,,,,,,,,,,,,
23,nola,rd dola,consolait:-,aueun,,,,,,,,,,,,,,
24,deide,Providence,considera,pides,aideo,Adelaide,,,,,,,,,,,,
25,Ant,geant,llait dovant,"val d'0t.
En arrivant",suivanT,Ioisant,Ro-,penelrant,fremissante,nouveau-nes piaulants,Yos,dinant,E-,luienayantlinterdit,,,,
26,Éloignait,Allait-Royal,vaitueet,prep araitsa  botte,faitl,Ieehait,voyaiti,"ai

ii",,,,,,,,,,
27,Dnimmense,commeune,Omme,Lhomme,CommenT,Ajaccio,Lomme,lanmme,,,,,,,,,,
28,entemps,Etouvent,entie-.-,Dentu,nOuirent,Roeuent,,,,,,,,,,,,
29,Crisange,Ptrange,Cri-,boulangere,san,echangee,,,,,,,,,,,,
30,Varneville,Briseville,gare de Beuzeville,11 L,Brisseville,Rriseville,,,,,,,,,,,,
