cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
0,Tot,gotts,Eletot,Lttot,d'0Ota,Iy,,,,,,,,,,,,,,,,,,,,
1,cherie,empecher,Cri-,Hier,Roche-Aubert,calinerie,P,Ieras,miserieorde,meche,hereher,Amerique,,,,,,,,,,,,,,
2,toutou,tourh,coup.-,jou,Etouvent,toul,gttout,E,Coutelier,toujours:-  Ilfaut,outle,couruta,Oubli6,fToute,Touraine,accoutumee,,,,,,,,,,
3,Iais,Iaissait,I maiaon,Nais,LMIais,Puais,etais,Pis,Meis,fSais,MIais,Mtais,Ia,,,,,,,,,,,,,
4,EH,Ganaehe,gemeht,Is proehe,cslehge,,,,,,,,,,,,,,,,,,,,,
5,apres,Aprks,lAPeyre,Apres,apparaltre,,,,,,,,,,,,,,,,,,,,,
6,boiS,BOis,bois du siege,bois bruni,,,,,,,,,,,,,,,,,,,,,,
7,Ee,aee,Beelzebuth,saleequi,Drnee,abimee,glacee,ostinee,,,,,,,,,,,,,,,,,,
8,11 L,.88,r11,,,,,,,,,,,,,,,,,,,,,,,
9,Corse,rs,la Corse,l-bas en Corse,Corsel,Aors,La Corse,Qestla Corse,I petite Corse,Bourse,secouee,O,,,,,,,,,,,,,,
10,"uneaie tete de
poule  huppe blanche",ofice afn d liniter,golfe de Sagone,jetee blanche,"au-
I
L
214
UNE vIE
tour de cette chair inanimee",Kg,gare de Beuzeville,declara-UNE D1E,dormante de cetle,,,,,,,,,,,,,,,,,
11,S,L,gs,,,,,,,,,,,,,,,,,,,,,,,
12,I202,un320,I208,,,,,,,,,,,,,,,,,,,,,,,
13,Normand,Normandie,guand,Normande,ormir,uand,,,,,,,,,,,,,,,,,,,,
14,recut,Grece,aec,pibece,gre,grace,piece,Grâce,Malgre,,,,,,,,,,,,,,,,,
15,bosquet,plusqu',Lrsque,sa`easquette,Yos,Quelquefois,bosgquet,,,,,,,,,,,,,,,,,,,
16,as-tu,01C1,S-,Es-tu,-  Querepondras-tu,,,,,,,,,,,,,,,,,,,,,
17,"t

.E.
2

t",e.,.-.E,,,,,,,,,,,,,,,,,,,,,,,
18,arras,Darriere,T,Pourriez-,barriereblanehe auxpiliersde hrique,Darriere blanche,barriere,,,,,,,,,,,,,,,,,,,
19,premiere,"or-
nierela",pre l,greniern,ceremonie,remieres ereatures,Reminil,extreme,imprevue,m1,Lepremier,,,,,,,,,,,,,,,
20,dinant,Ant,suivanT,Ioisant,penelrant,Piana,laant remarue,enFant0m,llait dovant,TAnt Pis,enfants?n,geant,luienayantlinterdit,,,,,,,,,,,,,
21,artit,rto  IT1,Qrti,barue,Iabattit,,,,,,,,,,,,,,,,,,,,,
22,esgenoux,Ies genoux,genS,,,,,,,,,,,,,,,,,,,,,,,
23,atterres,Lereste,ceuir a des mysteres,histeire,e21,bruyeres,Leestendres,Angleterre,alaternes,Ladultere,ns  terre,hesiter,,,,,,,,,,,,,,
24,rII,II,"II
I",MIis,Iii:.i,"ai

ii",Iis,Iit,Iiee,,,,,,,,,,,,,,,,,
25,sentr',concentree,v0être,entrE,Is traversbrent,Notre-Dame du Gros-Ventre,Lautren',Iressentit,.l,Entrezl,Dentu,bete eventree,nOuirent,cntra,Rentrons,Ellerentrait,D,Alautre,Inntre,,,,,,,
26,Lepere,"nereeonnis
i petite mre",ler,perret,Leperthuis,eperdus,colere,superbel,Enjamber Un Fleuve,Elerecut,,,,,,,,,,,,,,,,
