cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,Lllesentit,Iressentit,"n
Lllesentit",,,,,,,,,,,,,,,
1,Tot,gotts,Eletot,Lttot,rto  IT1,d'0Ota,,,,,,,,,,,,
2,cherie,calinerie,miserieorde,hereher,Amerique,,,,,,,,,,,,,
3,toutou,tourh,jou,toul,gttout,toujours:-  Ilfaut,outle,R,fToute,Touraine,,,,,,,,
4,Iais,Iaissait,Nais,aims,LMIais,Puais,etais,saisit126,fSais,Iy,MIais,Mtais,Paiul,Ia,,,,
5,EH,Ganaehe,gemeht,Is proehe,Lehron,cslehge,Leharen,,,,,,,,,,,
6,apres,Aprks,pre l,l6preuve,lAPeyre,Apres,,,,,,,,,,,,
7,auraitbesoin,Aucunbesoin,Ilaurait,a-t-ilbesoin,,,,,,,,,,,,,,
8,Ee,aee,Beelzebuth,enveloppee,savanceer,saleequi,Drnee,abimee,cmpeene,secouee,Iiee,accoutumee,,,,,,
9,11 L,r11,,,,,,,,,,,,,,,,
10,Corse,Corniche,rs,la Corse,l-bas en Corse,Corsel,Aors,La Corse,.88,Qestla Corse,,,,,,,,
11,recut,vecu,Elerecut,,,,,,,,,,,,,,,
12,murmura:-,Jeannemurmura,jura,,,,,,,,,,,,,,,
13,vOis-a,Vois,Vois-tu,vOis-a-vis,gs,,,,,,,,,,,,,
14,I202,un320,I208,,,,,,,,,,,,,,,
15,S,Normand,Normandie,Normande,ormir,dormante de cetle,,,,,,,,,,,,
16,Chambre-aux-Demoiselles,ELLe,baptisee  6chelle,douteelle,ellE,Puiselle,Ellebuvait,moiselle,0uelle,naelle,Lelle,celle-l.,Ellerentrait,ent est-elle tombo,el,elLE,EllE,Ellecontinuait:-
17,Rosalie,Rosaliel,,,,,,,,,,,,,,,,
18,atterres,Attenl,Angleterre,alaternes,perret,ns  terre,Batte-,attelees,A,,,,,,,,,
19,as-tu,Y,j-,S-,Es-tu,-  Querepondras-tu,,,,,,,,,,,,
20,"t

.E.
2

t",e.,.-.E,,,,,,,,,,,,,,,
21,arras,Darriere,Pourriez-,barriereblanehe auxpiliersde hrique,Hier,Darriere blanche,Ieras,barriere,,,,,,,,,,
22,premiere,"or-
nierela",Mie,ceremonie,remieres ereatures,Reminil,Lepremier,,,,,,,,,,,
23,Is,buis,MIis,Pis,Meis,vert-de-gris,,,,,,,,,,,,
24,blie,liemasi-e,Iisoslie,Lieu,Coutelier,Oubli6,erli,,,,,,,,,,,
25,Océan,dinant,Ant,suivanT,Ioisant,penelrant,Piana,laant remarue,repise ar n psesant,llait dovant,TAnt Pis,fremissante,geant,luienayantlinterdit,,,,
26,du Havre,unle Havre,rue du Havre,au Havre,le Havre,,,,,,,,,,,,,
27,esgenoux,Ies genoux,e,genS,,,,,,,,,,,,,,
28,Lereste,ceuir a des mysteres,bruyeres,Leestendres,ler,Ladultere,colere,,,,,,,,,,,
29,Napoleonl,Saint-Leonard,Leopold-,nl,,,,,,,,,,,,,,
30,e21,G,v1E,,,,,,,,,,,,,,,
31,eosinee,rosinquil,Yos,ostinee,,,,,,,,,,,,,,
32,rII,II,"II
I",Iii:.i,"ai

ii",Iis,Iit,,,,,,,,,,,
33,sentr',concentree,v0être,entrE,Is traversbrent,Notre-Dame du Gros-Ventre,Entrezl,bete eventree,Ah0tres,nOuirent,cntra,Rentrons,I,extreme,Inntre,,,
34,Lepere,Leperthuis,eperdus,superbel,y-,,,,,,,,,,,,,
35,hargee,Cargese,rGn,"dejia
hargee",,,,,,,,,,,,,,
36,onsulte,mons,Lapons,Voyons,considera,Allonsl,"mon-

mniten",Asraions,ns,,,,,,,,,
37,s6-,s6,d6-,,,,,,,,,,,,,,,
38,Tolbiac,Tolbias,abbe Tolbiac,Bolbec,,,,,,,,,,,,,,
39,YIE,yit,NE YIE,yIE,gie,,,,,,,,,,,,,
40,Lomme,Omme,commeune,Pyrame,lanmme,Commecette,CommenT,Dnimmense,Ashomnme,omer,Lhomme,,,,,,,
41,ET,yetx,.Et,Etusnd,oset,aspeet,Paulet,beret,bosgquet,etle,,,,,,,,
42,mre Couillard,"fosse des
oillard",Couillon,,,,,,,,,,,,,,,
43,plus?n,plusqu',,,,,,,,,,,,,,,,
44,jE,N,JE,,,,,,,,,,,,,,,
45,Ilbalbutia,balbutiont,bastia,,,,,,,,,,,,,,,
46,C0te,t0t,C0te  cbte,c0t,.l,c0,c0tu,,,,,,,,,,,
47,Etretat,etreindre,Eretat,Étretat,,,,,,,,,,,,,,
48,gardE,serdes,egarde,gardee,san regard,,,,,,,,,,,,,
49,gaiete,Maie,grosse gaiete,,,,,,,,,,,,,,,
50,as304,la158,la-bas,surla,Lastique,T,Las,Elas,-  Pas,Jas,J,,,,,,,
51,Dn,nne,nnie,enne,Inne,sonnern,Rienne,,,,,,,,,,,
52,Avee,servee,avee,Savez,,,,,,,,,,,,,,
53,detail,Yontivilliers,taillis,Iktailx,cueillie,defaillir,amollis,,,,,,,,,,,
54,Pois,boiS,Moi,Chinois,BOis,Viloise,Crois,hoisie,bois bruni,,,,,,,,,
55,Ilreviendra,lavie,VIE,detNE viE.,la-Vierge,vVIE,vieomte,,,,,,,,,,,
56,honteuse,leuse,meuse,Yauseotte,Enjamber Un Fleuve,,,,,,,,,,,,,
57,abbe,Abbaye,abbé?s,Thysbe,,,,,,,,,,,,,,
58,conge,Songe,allongeaitjusqu,ongeur,gagea,Songez,,,,,,,,,,,,
59,RIen,Bien.il,EH Bien,Bientot,Bien,"II
I
N
BIen",,,,,,,,,,,,
60,EIle,oeiltaut,mobile,aeil,eeil,Ilet,Ileut,,,,,,,,,,,
61,golfe de Sagone,pays de Caux,Pas de lune,"au-
I
L
214
UNE vIE
tour de cette chair inanimee",Lpays,,,,,,,,,,,,,
62,chateau,hate,teat,ehateau,At,ehatealu jusu',hameau de,,,,,,,,,,,
63,phare de Fecamp,Fecamp,F6camp,champagne,,,,,,,,,,,,,,
