cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,Berkshire,Jeremiads,Lancashire,Hertfordshire,Yorkshire,Leicestershire,Irish Secretaryship,Ladyship,,,,,,,
1,Street,Downing Street,Greece,the green district,Arlington Street,Loretta,,,,,,,,,
2,Africa,America,Cambridge,Tamerlane,Mexico,Jamaica,Nilotic Africa,,,,,,,,
3,Hanover,Inferno,Anon,Nuovos,Hansard,Lawgiver,Sovereigns,,,,,,,,
4,wales,Rossendale,Naples,Walpole,Teesdale,Palestine,,,,,,,,,
5,white bait,San Benito,Mauritania,Benito,"the San
Benito",,,,,,,,,,
6,Ermengarde,Aldermen,Culloden,Derby,Carlton Gardens,,,,,,,,,,
7,Monsieur Sidonia,Lavoisier,Monmouth,Naples Sidonia,Siponia,Monsieur Koenig,Medina Sidonia,Sidonia,Monsieur Sidonia’s,,,,,,
8,Hades,Desert,Cadiz,Adelaide,Thames,,,,,,,,,,
9,Regent,Representative,Aegean,Egypt,,,,,,,,,,,
10,Nemesis,New,Jew,Newcastle,Nuneham,Nebuchadnezzar,Sydney,,,,,,,,
11,Vengeance,france,Mediterranean,Frankfort,France,,,,,,,,,,
12,Carthage,Tamworth,North,the Northern Sea,Althorp,Northamptonshire,,,,,,,,,
13,MILLBANK,Millbank of Millbank,Milan,Albany,Albania,Milbank,Millbank,,,,,,,,
14,Prussia,Embassy,Russia,JT,,,,,,,,,,,
15,Jerusalem,us,Music,Isthmus,Leontius,Sussex,Tus,Austria,,,,,,,
16,Ely,Friendship,Oriel,"Orient-
tal",Israel,Victoria,,,,,,,,,
17,Learning,the United Kingdom,Kingdom,King,Moorish kingdom,The Kingdom of France,,,,,,,,,
18,Mlle,Willesden,Toledo,Wellesley,Temple,Colleges,Argyle,Wesleyans,,,,,,,
19,Waterloo,Berlin,Watertown,Plateau,,,,,,,,,,,
20,Forum,Oxford,Dartford,Bradford,,,,,,,,,,,
21,Brazil,Opera,Europe,Penelope,Taper,Persia,,,,,,,,,
22,Chudleigh,Charta,Christchurch,Munich,China,,,,,,,,,,
23,Hellingsby,Coningsby,Hellingsley,Wellington,,,,,,,,,,,
24,Macedon,Clarendon,Babylon,LoNdon,LONDON,conbibio,Monte,Richmond,Wimbledon,Jong,London,Lisbon,,,
25,inn,Sinai,Spain,Holbein,Pavia,Sparta,spain,Spinoza,,,,,,,
26,Aragon,Barony,Lazaroni,Barcelona,Byron,Throne,,,,,,,,,
27,Westminster,Esq,Western Sharps,West,Weston,Westmoreland,Western Europe,Estates,West India,,,,,,
28,Marlborough,Slough,Borough,Luxembourg,Bilborough,Melbourne,,,,,,,,,
29,Frenchwomen,Providence,Frenchmen,,,,,,,,,,,,
30,Salt Hill,Realm,Alps,Hallam,Hall,Whitehall,"Salt
Hill",,,,,,,,
31,Burnet,St. Petersburg,Edinburgh,Augsburg,Canterbury,Gazette,St. Paul,"St.
Petersburg",,,,,,,
32,Lancaster,East,Castle,Studcaster,Study,Palmerston,,,,,,,,,
33,Thebes,Hebrews,Rebels,Belgium,,,,,,,,,,,
34,St. James’ Street,"St. James’s
Square","St. James’s
Street",St.,St. James’s,St. James,,,,,,,,,
35,Hyde Park,the Moslem Arabs,the Lock Pool,the Lower Park,the Upper Park,,,,,,,,,,
36,Averages,Venice,Ravenna,Vienna,,,,,,,,,,,
37,Madrid,Torquamada,madrid,Maidenhead,,,,,,,,,,,
38,Carlist,the British Isles,Froissart,Park,Arabia,Tn,Paradise,Kildare,Paris,Valparaiso,,,,,
39,Boccaccio,Club,Lucca,capt-,Lucullus,Caucasus,Lucretia,,,,,,,,
40,Ill.,Millennium,dishabille,Nile,Seville,M. Ville-,Villebecque,,,,,,,,
41,St. Geneviéve,Geneva,St. Gene-,St. Genevieve,,,,,,,,,,,
42,Bacchantes,Duchess,Germany,Marquess,Heroes,the United States,Manchester,Manchesters,,,,,,,
43,Athens,Peninsula,Phenix,the Spanish Peninsula,,,,,,,,,,,
44,"the Rue
Rivoli",the Lance-,Madame Colonna,Principle,"the Yunnan

N 2",the United Provinces,the Prince Colonna,Colonna,,,,,,,
45,DEDICATION,Baltic,Aquatic,Louis Qua-,,,,,,,,,,,
46,De Lome,brook,Mahomet,Troy,Rome,,,,,,,,,,
47,Nottingham,Durham,Infirmary,Birmingham,Everingham,,,,,,,,,,
48,Journals,Italy,Southern Italy,South,,,,,,,,,,,
49,Scotland,Ireland,Liverpool,Languedoc,Roxalana,England,Highland,woodland,Monkey Island,midland,Ferdinand,Neapolitan,Poland,confiscated Ireland,the Holy Land
50,Brighton,Rigbys,Rigby,,,,,,,,,,,,
51,Strachan,Granada,Trautsmandorff,Grand Cairo,Strand Coffee-,Strand,Hindostan,Lyndhurst,Ministry,,,,,,
52,Hippocrates,Philip,Oppidan,Piccadilly,Phillippics,Hilloa,,,,,,,,,
53,Windsor rang,"Windsor
Park",Windsor,,,,,,,,,,,,
54,midland county,the green mountains,the County Chronicle,the County of,,,,,,,,,,,
55,Melton,Shabbyton,Cottage,Potts,Eaton,Wotton,,,,,,,,,
56,Manhood,Pagan,Lepanto,Lima,Panama,,,,,,,,,,
57,the Persian Empire,the Holy Sepulchre,Venetian Republic,Blenheim,the Republic of Paris,the Venetian Republic,,,,,,,,,
58,Saxon,Saxony,,,,,,,,,,,,,
59,St. John,n’t,St. John’s,St. Mary’s,,,,,,,,,,,
60,Sedgwick,Earwig,Wilkie,wi,,,,,,,,,,,
