cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114
-1,Tn,Roxalana,Lyndhurst,Berlin,Milan,Granada,Arlington Street,Lucretia,DEDICATION,Isthmus,Mexico,Derby,Leicestershire,Alps,Infirmary,Palmerston,Monte,Lima,Providence,Sussex,inn,Realm,Jew,dishabille,Music,Spinoza,Brazil,Temple,Froissart,Panama,Leontius,Louis Qua-,the British Isles,Rebels,Club,Argyle,Lavoisier,Mauritania,Jamaica,Cottage,Hippocrates,Monkey Island,Principle,Neapolitan,Carthage,Lucca,Althorp,Lisbon,Richmond,Baltic,Caucasus,Duchess,Mlle,Egypt,n’t,Pagan,Paris,Oppidan,Naples,Manhood,Plateau,Sedgwick,Nemesis,Brighton,Nile,Wellington,Nuovos,Hindostan,Hansard,Belgium,Chudleigh,Thames,New,Esq,Ministry,Representative,Millennium,Marquess,Germany,East,Canterbury,capt-,Languedoc,Holbein,Siponia,Carlist,Walpole,Colleges,Pavia,Aquatic,Melton,Austria,Mediterranean,Ferdinand,Heroes,JT,"the Yunnan

N 2",conbibio,Estates,Regent,Jong,Inferno,Willesden,Shabbyton,"the Rue
Rivoli",Torquamada,Averages,Munich,Cambridge,Christchurch,Greece,Kildare,Boccaccio,Lepanto,Learning
0,Street,Downing Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,St. James’ Street,"St. James’s
Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,St. James,"St. James’s
Square",St. James’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Coningsby,Hellingsby,Hellingsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,St. John’s,St. John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Wesleyans,Wellesley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,M. Ville-,Villebecque,Seville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Hilloa,"Salt
Hill",Ill.,Salt Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Phillippics,Philip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
