cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Studcaster,Carlist,Study,Lancaster,,,,,
1,Kingdom,King,Tn,Learning,The Kingdom of France,Moorish kingdom,,,
2,Russia,Embassy,Prussia,,,,,,
3,the green mountains,Athens,the green district,,,,,,
4,"Salt
Hill",Hilloa,Salt Hill,,,,,,
5,Saxon,JT,Saxony,,,,,,
6,wales,Walpole,Palestine,Rossendale,Teesdale,Naples,,,
7,Hall,Whitehall,Alps,Hallam,Realm,,,,
8,Regent,Egypt,Representative,Aegean,,,,,
9,LONDON,London,Richmond,Babylon,Clarendon,LoNdon,Jong,Lisbon,
10,Lancashire,Berkshire,Yorkshire,,,,,,
11,madrid,Cambridge,Madrid,Torquamada,Lima,,,,
12,Ermengarde,Carlton Gardens,Aldermen,,,,,,
13,Phillippics,Philip,Oppidan,,,,,,
14,Duchess,Manchesters,Leicestershire,Manchester,Germany,Manhood,,,
15,woodland,midland,midland county,Milan,Tamerlane,Monkey Island,Poland,,
16,Westmoreland,Ireland,confiscated Ireland,Scotland,Languedoc,Highland,England,,
17,Lucretia,the Venetian Republic,the Republic of Paris,Venetian Republic,,,,,
18,spain,inn,Spain,Spinoza,,,,,
19,Taper,the Persian Empire,Opera,Persia,Jeremiads,,,,
20,Dartford,Hertfordshire,Bradford,Kildare,Forum,Oxford,,,
21,Sparta,Bacchantes,Charta,Carthage,Froissart,,,,
22,the Holy Land,the Lance-,the Holy Sepulchre,Holbein,,,,,
23,Penelope,Europe,Western Europe,,,,,,
24,Belgium,Rebels,Hebrews,Thebes,,,,,
25,Irish Secretaryship,Ladyship,Friendship,,,,,,
26,Liverpool,Hansard,Hanover,Anon,Sovereigns,Inferno,Nuovos,Lawgiver,
27,Granada,Jamaica,Pagan,Panama,Lepanto,Roxalana,,,
28,Macedon,Wimbledon,Toledo,,,,,,
29,Heroes,Desert,Hades,Derby,,,,,
30,Ely,Victoria,Oriel,Israel,"Orient-
tal",,,,
31,France,Vengeance,france,Frankfort,,,,,
32,Louis Qua-,DEDICATION,Aquatic,Baltic,,,,,
33,Italy,Southern Italy,Monmouth,South,,,,,
34,Earwig,wi,Sedgwick,Wilkie,,,,,
35,Venice,"the San
Benito",Benito,Phenix,San Benito,,,,
36,Maidenhead,Blenheim,Providence,Adelaide,,,,,
37,Sydney,New,Nebuchadnezzar,Jew,Neapolitan,,,,
38,Frenchmen,Frenchwomen,,,,,,,
39,Troy,Mahomet,Rome,brook,De Lome,Mexico,,,
40,Ferdinand,Hindostan,China,Sinai,Christchurch,,,,
41,Principle,"the Yunnan

N 2",the Prince Colonna,Madame Colonna,the Lock Pool,Colonna,"the Rue
Rivoli",,
42,St. Gene-,St. Genevieve,Geneva,St. Geneviéve,,,,,
43,Nilotic Africa,Africa,America,,,,,,
44,Tamworth,Althorp,North,the Northern Sea,Northamptonshire,,,,
45,Windsor rang,Windsor,"Windsor
Park",,,,,,
46,Estates,Hippocrates,white bait,the United Provinces,the United States,the United Kingdom,,,
47,Rigbys,Rigby,Brighton,,,,,,
48,Nuneham,Durham,Everingham,Birmingham,Infirmary,Nottingham,,,
49,Burnet,Journals,Melbourne,Luxembourg,,,,,
50,Ministry,Grand Cairo,Strand,Strachan,Brazil,Lyndhurst,Strand Coffee-,Mediterranean,Trautsmandorff
51,Barcelona,Lazaroni,Byron,Barony,,,,,
52,Cadiz,Boccaccio,Piccadilly,,,,,,
53,Esq,Westminster,West,Western Sharps,West India,Weston,,,
54,Albany,Mauritania,Albania,,,,,,
55,conbibio,Aragon,the Moslem Arabs,Arabia,,,,,
56,Colleges,Wesleyans,Argyle,Chudleigh,Wellesley,Mlle,Temple,,
57,Shabbyton,Melton,Eaton,Potts,Cottage,Palmerston,Wotton,,
58,East,Castle,capt-,Caucasus,Newcastle,,,,
59,Slough,Bilborough,Borough,Marlborough,,,,,
60,Paradise,Pavia,the Lower Park,Hyde Park,Park,Valparaiso,the Upper Park,Marquess,Paris
61,St. Paul,Canterbury,"St.
Petersburg",Augsburg,St. Petersburg,Edinburgh,Gazette,,
62,Plateau,Watertown,Waterloo,Berlin,,,,,
63,Hellingsley,Coningsby,Wellington,Hellingsby,,,,,
64,St. James’ Street,Thames,"St. James’s
Street",St. James’s,St. James,Nemesis,"St. James’s
Square",,
65,Culloden,Club,Lucca,Lucullus,,,,,
66,Austria,Music,Jerusalem,Leontius,Sussex,Isthmus,us,Tus,
67,Nile,Willesden,Millennium,Ill.,dishabille,M. Ville-,Seville,Villebecque,
68,MILLBANK,Milbank,Millbank of Millbank,Millbank,,,,,
69,Monsieur Sidonia’s,Lavoisier,Sidonia,Monte,Medina Sidonia,Naples Sidonia,Monsieur Sidonia,Siponia,Monsieur Koenig
70,Arlington Street,Loretta,Greece,Downing Street,Street,,,,
71,Averages,Ravenna,Vienna,,,,,,
72,n’t,St. John’s,St. John,St. Mary’s,St.,,,,
73,Munich,Throne,the County of,the County Chronicle,,,,,
74,Peninsula,the Spanish Peninsula,the British Isles,,,,,,
