cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Manupa,Anuincrox,groupat,,,,,,,,,,,
1,Kingdom,Dowling,the Kingdom,Tings,ningham,refusing.a,Jooking,,,,,,,
2,Russia,Kuzzicnasit,ia,Brussels,,,,,,,,,,
3,orient,Ienvy,,,,,,,,,,,,
4,Lancashire,Lancasbire,Cretan,,,,,,,,,,,
5,Great Britain,Britain,H. SMITH,PLAIN STATEMENT,Samaritan,,,,,,,,,
6,n’t,Tisn’t,ain’t,,,,,,,,,,,
7,the ivory brow,the brook,Bvo,the Holy Virgin,Brotherton,the Emerald Isle,& K.C.,,,,,,,
8,Africa,America,Tis Africa,,,,,,,,,,,
9,Milford Park,Mill,Milford,Tilbury Fort,Oxford,Miliford Park,Millford Park,Bradford,M.D.,Paris,,,,
10,Turpin,Turkey,,,,,,,,,,,,
11,Prentice,WARREN,wasa,Warwick,,,,,,,,,,
12,Burbage,NURSE,UNDERSELL,Nurse,,,,,,,,,,
13,Spain,Cologne,maine,pinery,woodbine,Masoxo,inn,,,,,,,
14,Crompton,Crockley,Hoxley,Howley,morocco,,,,,,,,,
15,North-country,earth,Cnorry,,,,,,,,,,,
16,Talmost,Italy,al,cali,Royal,Halloo,California,Halifax,,,,,,
17,Boston,East,ST,Bastille,Kidderminster,most.le-,Amistrong,Straits,,,,,,
18,LAYS,La,MR,las,Singular,Blackberry,,,,,,,,
19,Zuxau,Austria,aust,Musmy,Jaugh,Tn,,,,,,,,
20,Jeft,Wakefield,Helvellyn,,,,,,,,,,,
21,never.should,BENEVOLENCE,Devenevx,Venus,,,,,,,,,,
22,Germany,ny,Saxony,,,,,,,,,,,
23,London Madeira,sont,LONDON,London,Golconda,,,,,,,,,
24,"you,—I","lady,—I","boaster,—I","by,—I","nonsense,—ideas",,,,,,,,,
25,Sophy,Europe,protégée,,,,,,,,,,,
26,what~,Whata,Charlotte,Tae,,,,,,,,,,
27,premises,Downes,Esq,Sykeses,Drakes,,,,,,,,,
28,Savre china,Domenichino,Nice,ns mich,,,,,,,,,,
29,Highlandloch,Highland,Aghleigh,,,,,,,,,,,
30,Providence,Fraser,Fimrantox,France,Hicnranpens,GRANBY,,,,,,,,
31,Scotch,Scotland,SCOTLAND,,,,,,,,,,,
32,"Deep Valley

su",the Deep Valley,THE DEEP VALLEY,the Deep Valley Mill,the Deep Valley «,"Deep Valley
Mill",Leeds,Teply,the Decp Valley Mill,Deep-Valley,Deep Valley,VALLEY,Deep Valley Mill,"Deep
Valley"
33,Rebecca,Neckerby,Becky,,,,,,,,,,,
34,Henan,IRELAND,Flanders,Jength,Westmorland,Poland,England,ENGLAND,Angeles,,,,,
35,Derbyshire,Wnire,"Derby-
shire",York,Yorkshire,,,,,,,,,
36,Foxglove,KNOW-,Louisa,Lodge,Loxpow,,,,,,,,,
37,Findens,"kindness,—vraiment j'ai honte",me!—and,in'a,andvit,kind'and,,,,,,,,
38,Dublin,WELLINGTON,DUBLIN,feelin,,,,,,,,,,
39,coachmar,St. Mary’s,St. Mary's,,,,,,,,,,,
40,Madeira,Jadies,Jady,,,,,,,,,,,
41,Heamuex,XXII,Mexico,,,,,,,,,,,
42,hereye,JT,cheer=,Breer,,,,,,,,,,
