cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,the ivory brow,the brook,Bvo,the Holy Virgin,Brotherton,the Emerald Isle,& K.C.,,,,,,,,
1,Kingdom,Dowling,the Kingdom,Singular,Tings,Domenichino,ningham,Jooking,,,,,,,
2,Russia,ia,refusing.a,Brussels,,,,,,,,,,,
3,Madeira,Derbyshire,Wnire,"Derby-
shire",Savre china,Yorkshire,,,,,,,,,
4,Great Britain,Britain,H. SMITH,PLAIN STATEMENT,Samaritan,,,,,,,,,,
5,n’t,Tisn’t,ain’t,JT,,,,,,,,,,,
6,orient,Prentice,Providence,WARREN,Nice,,,,,,,,,,
7,Africa,America,Tis Africa,M.D.,ns mich,,,,,,,,,,
8,Manupa,Germany,Kidderminster,ny,,,,,,,,,,,
9,Spain,Cologne,maine,pinery,woodbine,"kindness,—vraiment j'ai honte",in'a,inn,,,,,,,
10,"you,—I","lady,—I","by,—I",Jady,,,,,,,,,,,
11,North-country,morocco,earth,Cnorry,,,,,,,,,,,
12,Talmost,Italy,al,cali,Royal,Halloo,California,Halifax,,,,,,,
13,Boston,East,ST,Bastille,"boaster,—I",most.le-,Amistrong,Straits,,,,,,,
14,Zuxau,Austria,aust,Musmy,Jaugh,,,,,,,,,,
15,Jeft,Wakefield,Helvellyn,,,,,,,,,,,,
16,never.should,BENEVOLENCE,Devenevx,Venus,,,,,,,,,,,
17,London Madeira,sont,Crompton,LONDON,London,Golconda,Saxony,,,,,,,,
18,MR,Fimrantox,Anuincrox,France,GRANBY,,,,,,,,,,
19,Lancashire,Kuzzicnasit,Lancasbire,LAYS,Fraser,La,wasa,Masoxo,las,,,,,,
20,Sophy,Europe,protégée,,,,,,,,,,,,
21,what~,Whata,Charlotte,Tae,groupat,,,,,,,,,,
22,Crockley,KNOW-,Hoxley,Howley,,,,,,,,,,,
23,premises,Jadies,Downes,Esq,Sykeses,Drakes,,,,,,,,,
24,Highlandloch,Highland,Aghleigh,,,,,,,,,,,,
25,Scotch,Scotland,SCOTLAND,,,,,,,,,,,,
26,Henan,IRELAND,Flanders,Jength,Findens,Westmorland,me!—and,Ienvy,Poland,England,ENGLAND,andvit,Angeles,kind'and,Hicnranpens
27,"Deep Valley

su",the Deep Valley,THE DEEP VALLEY,the Deep Valley Mill,the Deep Valley «,"Deep Valley
Mill",Leeds,Teply,the Decp Valley Mill,Deep-Valley,Deep Valley,VALLEY,Deep Valley Mill,"Deep
Valley",
28,Rebecca,Neckerby,Blackberry,Becky,Warwick,,,,,,,,,,
29,Burbage,Turpin,NURSE,UNDERSELL,Turkey,"nonsense,—ideas",Nurse,,,,,,,,
30,Milford Park,Mill,Milford,York,Tilbury Fort,Oxford,Miliford Park,Millford Park,Bradford,Paris,,,,,
31,Foxglove,Louisa,Lodge,Loxpow,,,,,,,,,,,
32,Dublin,WELLINGTON,DUBLIN,feelin,,,,,,,,,,,
33,coachmar,St. Mary’s,St. Mary's,,,,,,,,,,,,
34,Heamuex,XXII,Mexico,,,,,,,,,,,,
35,Tn,,,,,,,,,,,,,,
36,Cretan,hereye,cheer=,Breer,,,,,,,,,,,
