cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,the ivory brow,the brook,the Holy Virgin,the Emerald Isle,,,,,
1.0,Manupa,Germany,groupat,,,,,,
2.0,Kingdom,the Kingdom,Jooking,,,,,,
3.0,Madeira,London Madeira,LONDON,London,Golconda,,,,
4.0,Derbyshire,"Derby-
shire",Neckerby,,,,,,
5.0,orient,Prentice,Ienvy,,,,,,
6.0,Great Britain,Britain,,,,,,,
7.0,n’t,Tisn’t,ain’t,,,,,,
8.0,Africa,America,Tis Africa,,,,,,
9.0,Milford Park,Milford,Miliford Park,Millford Park,,,,,
10.0,Jadies,Jady,,,,,,,
11.0,WARREN,Warwick,,,,,,,
12.0,NURSE,,,,,,,,
13.0,Boston,Talmost,Italy,most.le-,,,,,
14.0,Spain,maine,pinery,woodbine,,,,,
15.0,Highlandloch,Highland,Aghleigh,,,,,,
16.0,what~,Whata,,,,,,,
17.0,Crompton,Crockley,Anuincrox,Hoxley,Howley,morocco,,,
18.0,Lancashire,Lancasbire,,,,,,,
19.0,Austria,aust,,,,,,,
20.0,sont,"kindness,—vraiment j'ai honte",PLAIN STATEMENT,Downes,kind'and,,,,
21.0,Rebecca,Becky,,,,,,,
22.0,Dublin,DUBLIN,,,,,,,
23.0,East,Bastille,"boaster,—I",Kidderminster,,,,,
24.0,"Deep Valley

su",the Deep Valley,THE DEEP VALLEY,Mill,the Deep Valley Mill,the Deep Valley «,"Deep Valley
Mill",the Decp Valley Mill,Deep Valley Mill
25.0,never.should,BENEVOLENCE,Devenevx,Venus,,,,,
26.0,Brotherton,hereye,protégée,,,,,,
27.0,"you,—I","lady,—I","by,—I","nonsense,—ideas",,,,,
28.0,Turpin,Turkey,,,,,,,
29.0,Burbage,Tilbury Fort,,,,,,,
30.0,cali,California,Halifax,,,,,,
31.0,IRELAND,Flanders,Westmorland,me!—and,Poland,England,ENGLAND,andvit,
32.0,Singular,Tings,ningham,refusing.a,,,,,
33.0,Savre china,Domenichino,Nice,ns mich,,,,,
34.0,Providence,Fraser,France,,,,,,
35.0,Scotch,Scotland,SCOTLAND,,,,,,
36.0,Jength,Dowling,Helvellyn,WELLINGTON,feelin,,,,
37.0,Blackberry,Cnorry,,,,,,,
38.0,coachmar,Cretan,Samaritan,Paris,,,,,
39.0,Wnire,York,Yorkshire,,,,,,
40.0,Wakefield,Sykeses,Drakes,,,,,,
41.0,Nurse,,,,,,,,
42.0,North-country,earth,,,,,,,
43.0,Oxford,Bradford,,,,,,,
44.0,cheer=,Breer,,,,,,,
45.0,St. Mary’s,,,,,,,,
46.0,St. Mary's,,,,,,,,
47.0,Kuzzicnasit,Findens,Fimrantox,Hicnranpens,GRANBY,,,,
48.0,Halloo,Deep-Valley,Deep Valley,VALLEY,"Deep
Valley",,,,
49.0,Russia,UNDERSELL,Brussels,,,,,,
50.0,premises,Amistrong,Straits,,,,,,
