cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,Kingdom,Cologne,Jadies,Masoxo,las,the Kingdom,Domenichino,Jaugh,Jooking,feelin,Breer,,,,,
1,orient,Prentice,"kindness,—vraiment j'ai honte",PLAIN STATEMENT,,,,,,,,,,,,
2,Great Britain,Britain,Spain,Italy,Rebecca,ia,Sykeses,Samaritan,,,,,,,,
3,the ivory brow,the brook,Turpin,Jeft,the Holy Virgin,Downes,Brotherton,the Emerald Isle,DUBLIN,Warwick,,,,,,
4,n’t,Tisn’t,ain’t,La,,,,,,,,,,,,
5,NURSE,Jength,Musmy,wasa,Nurse,Tae,,,,,,,,,,
6,UNDERSELL,Findens,Kidderminster,Helvellyn,cheer=,,,,,,,,,,,
7,Boston,Talmost,Fraser,most.le-,& K.C.,Aghleigh,Brussels,,,,,,,,,
8,Burbage,"you,—I","lady,—I","boaster,—I","by,—I","nonsense,—ideas",Nice,,,,,,,,,
9,Germany,East,Bastille,Europe,Whata,,,,,,,,,,,
10,Russia,maine,pinery,woodbine,LAYS,Teply,,,,,,,,,,
11,London Madeira,Sophy,LONDON,Dublin,London,Turkey,Golconda,Saxony,,,,,,,,
12,Bvo,al,ny,in'a,Becky,,,,,,,,,,,
13,Crompton,Foxglove,Crockley,KNOW-,Anuincrox,Hoxley,Howley,morocco,Angeles,,,,,,,
14,Austria,Amistrong,Straits,,,,,,,,,,,,,
15,"Deep Valley

su",Henan,the Deep Valley,THE DEEP VALLEY,Scotch,the Deep Valley Mill,Royal,Esq,the Deep Valley «,"Deep Valley
Mill",the Decp Valley Mill,Deep Valley Mill,ns mich,,,
16,Providence,Zuxau,never.should,BENEVOLENCE,Devenevx,,,,,,,,,,,
17,Africa,Wakefield,America,Leeds,Tis Africa,Cnorry,,,,,,,,,,
18,Fimrantox,France,Hicnranpens,GRANBY,,,,,,,,,,,,
19,Derbyshire,Lancashire,Wnire,Cretan,"Derby-
shire",Savre china,Neckerby,protégée,Yorkshire,,,,,,,
20,York,,,,,,,,,,,,,,,
21,sont,H. SMITH,Venus,Drakes,,,,,,,,,,,,
22,IRELAND,Flanders,Highlandloch,Lancasbire,Westmorland,Scotland,me!—and,Poland,Highland,XXII,SCOTLAND,England,ENGLAND,andvit,Lodge,kind'and
23,Louisa,Charlotte,inn,,,,,,,,,,,,,
24,Madeira,Milford,Tilbury Fort,Oxford,Bradford,,,,,,,,,,,
25,Heamuex,Dowling,Singular,Tings,ningham,WELLINGTON,refusing.a,,,,,,,,,
26,Halloo,Deep-Valley,Deep Valley,VALLEY,Jady,"Deep
Valley",,,,,,,,,,
27,Kuzzicnasit,cali,Ienvy,California,Halifax,Mexico,,,,,,,,,,
28,aust,MR,Blackberry,,,,,,,,,,,,,
29,Milford Park,Mill,Miliford Park,Millford Park,Paris,,,,,,,,,,,
30,premises,North-country,ST,JT,earth,,,,,,,,,,,
31,Manupa,what~,Loxpow,,,,,,,,,,,,,
32,WARREN,M.D.,,,,,,,,,,,,,,
33,coachmar,St. Mary’s,St. Mary's,,,,,,,,,,,,,
34,hereye,Tn,groupat,,,,,,,,,,,,,
