cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34
-1,premises,coachmar,Cologne,Wnire,sont,H. SMITH,Jength,Findens,Italy,Bvo,Mill,Jeft,Bastille,Wakefield,the Holy Virgin,Downes,Helvellyn,Masoxo,Anuincrox,Leeds,Louisa,JT,the Emerald Isle,Teply,"nonsense,—ideas",& K.C.,Golconda,morocco,Angeles,Charlotte,M.D.,ns mich,Paris,Amistrong,Tn
0,NURSE,Nurse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Heamuex,Musmy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,St. Mary’s,St. Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,XXII,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Kuzzicnasit,Henan,Fraser,MR,Fimrantox,France,Lodge,Hicnranpens,GRANBY,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Burbage,Tilbury Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Savre china,Domenichino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WARREN,Warwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Africa,America,Tis Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Prentice,Nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,orient,Ienvy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Foxglove,KNOW-,Loxpow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Russia,ia,Brussels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,LONDON,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Madeira,London Madeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,North-country,Blackberry,earth,Cnorry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Manupa,Germany,groupat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ny,Saxony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
