cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0.0,thcm.,thcm,,,,,,,,,,
1.0,Augustusis,Austria,Tus,,,,,,,,,
2.0,Madeira,London Madeira,ADETDRE8,London,,,,,,,,
3.0,Marth,Nlartha,Mnrtha,earth,,,,,,,,
4.0,ICIIAL AnsTONG,MIICIIAEL ARMISTROyG.,IICiAE,ICIIAL,Royal,,,,,,,
5.0,Providence,France,denr,,,,,,,,,
6.0,Milford Park,MIilford Park,Milford,MilIford Park,,,,,,,,
7.0,Germany,ANGEROU,,,,,,,,,,
8.0,Ilash,las,,,,,,,,,,
9.0,hMichael,Mlichael,Nlichael,Michaa1,Nichael,Miichael,MIICHAEL,Mtichael,MIichael,Derbsyshiroe-Mlichael,Miehael,Michaecl
10.0,Great Britain,Spain,maine,pinery,woodbine,,,,,,,
11.0,DIscnELLE,Wellington,Dowling,,,,,,,,,
12.0,North riton,North-country,North bBriton,Itold,,,,,,,,
13.0,youl1,youl1'',U OULTAIIG,,,,,,,,,
14.0,etctera,etctera.,,,,,,,,,,
15.0,Crockley,Hoxley,,,,,,,,,,
16.0,Foxglove,thatlittle grove,ATlGUIYG,,,,,,,,,
17.0,MIrs,NIrs,Mirs,,,,,,,,,
18.0,beatty,Matthei,Theao,thein,,,,,,,,
19.0,Kidderminster,ste,,,,,,,,,,
20.0,Thoe,withou,withont,,,,,,,,,
21.0,Scotch,Prescot,Scotland,Sicotland,Mcssr,,,,,,,
22.0,BnoruERTo,Brotherton,nROt,Mss Brotherton,,,,,,,,
23.0,Edwvard,WARREN,Elward,Warwick,,,,,,,,
24.0,overlooker1,Vhere,Gabherly,Gahberly 2'',,,,,,,,
25.0,Turpin,Turkey,,,,,,,,,,
26.0,Mlacnab,Mlary,,,,,,,,,,
27.0,humnan,tnan,,,,,,,,,,
28.0,Ilighlandloch,Westmnorland,Highland,,,,,,,,,
29.0,worda,California,Oxford,Bradford,MIilford,,,,,,,
30.0,Prentice,wshiceh,whiceh,Nice,,,,,,,,
31.0,the Emerald Isle,IIerald,,,,,,,,,,
32.0,pityiag,proccediag,morocco,,,,,,,,,
33.0,arns,yong,Arntstrong,,,,,,,,,
34.0,anl,England,Englanl,,,,,,,,,
35.0,ALLY,the Deep Valley,Deep Valle,the Deep Valley Mill,Deep Valley MI1,"Deep Valley
Mill",the bDeep Valley,Deep-Valley,Deep Valley MIill,Deep Valley,Deep Valley Mill,Deep Valley MiIl
36.0,LIRE,Laueaslire,,,,,,,,,,
37.0,consequencc,Golconda,Gol,,,,,,,,,
38.0,Italy,laly,Laly,realy,,,,,,,,
39.0,Derbyshire,Lancashire,Yorkshire,,,,,,,,,
40.0,Sykeses,Drakes,,,,,,,,,,
41.0,Findens,Bcll,Bclinda,,,,,,,,,
42.0,G.C.B.,K.C.,G.C.IH,,,,,,,,,
43.0,Dearest Mary,St. Mary's,,,,,,,,,,
44.0,Millord,aleng,millenr,,,,,,,,,
45.0,Sevre china,havc,havre,,,,,,,,,
46.0,ANbD ADVETURES,ADVENTIRES,Venus,AVENTURES5,,,,,,,,
47.0,lalies,forI,factoriesl,,,,,,,,,
48.0,Neverthelcss,HIowsomever,HIowever,,,,,,,,,
49.0,WiIl,Ill,Iill walk,,,,,,,,,
50.0,YIII,Charlotte,cHAPTER XXXIII,,,,,,,,,
51.0,XVII,XXVII,,,,,,,,,,
52.0,Domenichino,lome,Rome,,,,,,,,,
