cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,youl1,Ykou,U OULTAIIG,MR,youl1'',,,,,,,,,
1,Drakes,Sykeses,,,,,,,,,,,,
2,HIowever,overlooker1,HIowsomever,Neverthelcss,howaeer,,,,,,,,,
3,denr,Findens,Providence,,,,,,,,,,,
4,London Madeira,ADETDRE8,Madeira,London,,,,,,,,,,
5,maine,inn,woodbine,Mac-,pinery,Spain,Great Britain,,,,,,,
6,ste,St,Kidderminster,,,,,,,,,,,
7,ICIIAL,IICiAE,ICIIAL AnsTONG,MIICIIAEL ARMISTROyG.,,,,,,,,,,
8,Highland,Ilighlandloch,,,,,,,,,,,,
9,lome,Domenichino,Rome,Lodge,,,,,,,,,,
10,MIichael,MIICHAEL,Derbsyshiroe-Mlichael,Mlichael,Nichael,Mcssr,Michaa1,Nlichael,hMichael,Charlotte,Miichael,Michaecl,Mtichael,Miehael
11,"Deep Valley
Mill",the Deep Valley,the bDeep Valley,Deep Valley,Deep-Valley,Deep Valley Mill,Deep Valley MI1,Deep Valley MIill,DIscnELLE,Deep Valley MiIl,Hoxley,Deep Valle,the Deep Valley Mill,
12,BnoruERTo,Brotherton,nROt,Mss Brotherton,up.to,,,,,,,,,
13,Venus,ADVENTIRES,Prentice,fcw,AVENTURES5,ANbD ADVETURES,,,,,,,,
14,etctera,yet2,etctera.,,,,,,,,,,,
15,tnan,tn,Tn,,,,,,,,,,,
16,morocco,proccediag,Crockley,,,,,,,,,,,
17,Mt,Papalny,ny,mny,Germany,,,,,,,,,
18,Scotch,Prescot,NoOT,Sicotland,Scotland,Westmnorland,,,,,,,,
19,Dearest Mary,ar moon,St. Mary's,,,,,,,,,,,
20,Milford Park,MilIford Park,MIilford,Milford,MIilford Park,,,,,,,,,
21,yong,Arntstrong,arns,,,,,,,,,,,
22,England,aleng,ANGEROU,Lean,humnan,Englanl,anl,,,,,,,
23,Foxglove,Oxford,worda,forI,Bradford,,,,,,,,,
24,Bcll,Iill walk,Millord,Ill,millenr,WiIl,TR0IL01,,,,,,,
25,YIII,XVII,XXVII,cHAPTER XXXIII,,,,,,,,,,
26,Edwvard,Warwick,Elward,WARREN,,,,,,,,,,
27,France,nc,consequencc,,,,,,,,,,,
28,California,Dowling,Elizet,thatlittle grove,Bclinda,Wellington,Laueaslire,lI,LIRE,liule,,,,
29,ATlGUIYG,Theao,rheu,thein,Tremlettt,Matthei,beatty,,,,,,,
30,Iad,Russia,pityiag,ia,Austria,,,,,,,,,
31,LA,Ilash,Mlary,Mlacnab,las,La,,,,,,,,
32,North-country,ITig Africa,North bBriton,DIURI,Itold,North riton,factoriesl,,,,,,,
33,wshiceh,eHe,Nice,whiceh,,,,,,,,,,
34,ELECI,Europe,pece,Becky,,,,,,,,,,
35,Marth,Mnrtha,earth,Nlartha,,,,,,,,,,
36,Mirs,migbt,NIrs,MIrs,,,,,,,,,,
37,G.C.IH,K.C.,G.C.B.,,,,,,,,,,,
38,withont,it1,Thoe,withou,,,,,,,,,,
39,Oh l,eOh,,,,,,,,,,,,
40,IIerald,the Emerald Isle,,,,,,,,,,,,
41,Cologne,Golconda,Gol,,,,,,,,,,,
42,Augustusis,Turpin,Turkey,Tus,,,,,,,,,,
43,IHad,BHAM,Sevre china,havc,WY,havre,,,,,,,,
44,thcm.,thcm,,,,,,,,,,,,
45,K.L.S.,Vhere,Gahberly 2'',Gabherly,,,,,,,,,,
46,Derbyshire,Lancashire,Ore.,Yorkshire,,,,,,,,,,
47,ALLY,al,Italy,Laly,Royal,realy,lalies,laly,,,,,,
