cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
-1,California,Mt,Mac-,Papalny,Derbsyshiroe-Mlichael,Cologne,fcw,Lean,ADETDRE8,ar moon,Tremlettt,worda,Ykou,Charlotte,pityiag,forI,WY,Miehael,Great Britain,howaeer,factoriesl,nROt,MR,TR0IL01,beatty,lalies,Ore.
0,Oh l,eOh,,,,,,,,,,,,,,,,,,,,,,,,,
1,thcm.,thcm,,,,,,,,,,,,,,,,,,,,,,,,,
2,G.C.IH,K.C.,K.L.S.,G.C.B.,,,,,,,,,,,,,,,,,,,,,,,
3,Drakes,Sykeses,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mirs,DIURI,migbt,NIrs,MIrs,,,,,,,,,,,,,,,,,,,,,,
5,ATlGUIYG,thatlittle grove,,,,,,,,,,,,,,,,,,,,,,,,,
6,etctera,etctera.,,,,,,,,,,,,,,,,,,,,,,,,,
7,pece,Becky,,,,,,,,,,,,,,,,,,,,,,,,,
8,NoOT,ELECI,DIscnELLE,Lodge,,,,,,,,,,,,,,,,,,,,,,,
9,youl1,U OULTAIIG,youl1'',,,,,,,,,,,,,,,,,,,,,,,,
10,France,nc,consequencc,,,,,,,,,,,,,,,,,,,,,,,,
11,yong,Arntstrong,arns,,,,,,,,,,,,,,,,,,,,,,,,
12,withont,Thoe,withou,,,,,,,,,,,,,,,,,,,,,,,,
13,Hoxley,Crockley,,,,,,,,,,,,,,,,,,,,,,,,,
14,morocco,proccediag,,,,,,,,,,,,,,,,,,,,,,,,,
15,London Madeira,Madeira,London,,,,,,,,,,,,,,,,,,,,,,,,
16,Golconda,Gol,,,,,,,,,,,,,,,,,,,,,,,,,
17,BnoruERTo,Brotherton,Mss Brotherton,,,,,,,,,,,,,,,,,,,,,,,,
18,North-country,North bBriton,North riton,,,,,,,,,,,,,,,,,,,,,,,,
19,Edwvard,Warwick,Elward,WARREN,,,,,,,,,,,,,,,,,,,,,,,
20,IIerald,the Emerald Isle,,,,,,,,,,,,,,,,,,,,,,,,,
21,Foxglove,overlooker1,,,,,,,,,,,,,,,,,,,,,,,,,
22,Vhere,Europe,Gahberly 2'',Gabherly,,,,,,,,,,,,,,,,,,,,,,,
