cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,thcm.,thcm,,,,,,,,,,,,
1,Oh l,fcw,eOh,,,,,,,,,,,
2,Madeira,London Madeira,ar moon,yong,London,,,,,,,,,
3,ANbD ADVETURES,ADVENTIRES,Prentice,ADETDRE8,AVENTURES5,,,,,,,,,
4,pece,Europe,Becky,ELECI,,,,,,,,,,
5,Mac-,Great Britain,Spain,maine,pinery,woodbine,inn,,,,,,,
6,North riton,North-country,ITig Africa,DIURI,BnoruERTo,North bBriton,factoriesl,Mcssr,,,,,,
7,youl1,youl1'',Ykou,U OULTAIIG,,,,,,,,,,
8,etctera,yet2,Kidderminster,etctera.,,,,,,,,,,
9,St,ste,Arntstrong,St. Mary's,,,,,,,,,,
10,ICIIAL AnsTONG,IICiAE,ICIIAL,IIerald,,,,,,,,,,
11,beatty,WY,thatlittle grove,Matthei,rheu,Tremlettt,ATlGUIYG,thein,,,,,,
12,Ilash,La,LA,las,Mlacnab,Mlary,,,,,,,,
13,MIICIIAEL ARMISTROyG.,hMichael,Mlichael,Nlichael,Michaa1,Nichael,Miichael,MIICHAEL,Mtichael,MIichael,Derbsyshiroe-Mlichael,Charlotte,Miehael,Michaecl
14,Thoe,it1,withou,withont,,,,,,,,,,
15,Ilighlandloch,NoOT,Scotch,Prescot,Scotland,Westmnorland,Sicotland,Highland,,,,,,
16,TR0IL01,DIscnELLE,Bcll,WiIl,Ill,millenr,Iill walk,,,,,,,
17,Neverthelcss,Brotherton,the Emerald Isle,nROt,up.to,Mss Brotherton,,,,,,,,
18,Edwvard,WARREN,Elward,Warwick,,,,,,,,,,
19,Germany,mny,ny,Papalny,,,,,,,,,,
20,overlooker1,Vhere,Gabherly,Gahberly 2'',,,,,,,,,,
21,consequencc,nc,France,,,,,,,,,,,
22,worda,Milford Park,Millord,MIilford Park,Milford,Oxford,forI,morocco,MilIford Park,Bradford,MIilford,,,
23,Russia,Austria,pityiag,Iad,ia,California,proccediag,,,,,,,
24,Elizet,Wellington,liule,Dowling,LIRE,lI,Laueaslire,Bclinda,,,,,,
25,Augustusis,Turpin,Turkey,Venus,Tus,,,,,,,,,
26,eHe,wshiceh,whiceh,Nice,,,,,,,,,,
27,MR,K.L.S.,G.C.B.,K.C.,G.C.IH,,,,,,,,,
28,BHAM,havc,IHad,havre,,,,,,,,,,
29,anl,humnan,England,Englanl,aleng,ANGEROU,,,,,,,,
30,the Deep Valley,Deep Valle,Crockley,the Deep Valley Mill,Deep Valley MI1,Hoxley,"Deep Valley
Mill",the bDeep Valley,Deep-Valley,Deep Valley MIill,Deep Valley,Deep Valley Mill,Deep Valley MiIl,
31,ALLY,Italy,al,Royal,lalies,laly,Laly,realy,,,,,,
32,Derbyshire,Lancashire,Ore.,Yorkshire,,,,,,,,,,
33,Sykeses,Drakes,,,,,,,,,,,,
34,Providence,Findens,denr,,,,,,,,,,,
35,Marth,Nlartha,arns,Theao,Lean,Mnrtha,earth,Dearest Mary,,,,,,
36,Foxglove,Domenichino,Lodge,lome,Rome,,,,,,,,,
37,Cologne,Golconda,Gol,Mt,Itold,,,,,,,,,
38,migbt,MIrs,NIrs,Mirs,,,,,,,,,,
39,Sevre china,HIowsomever,howaeer,HIowever,,,,,,,,,,
40,tn,tnan,Tn,,,,,,,,,,,
41,XVII,YIII,cHAPTER XXXIII,XXVII,,,,,,,,,,
