cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
0,aeil,laeil,puisqae,OEil,Ily,,,,,,,,,,,,
1,LES,les Incas,stacles,le-,Tousles,.1n,ABBILLEs,Eshis,t.es,uyes,"conseil.278
LES",arreles,les96,Familles,IES,,
2,-iiiiiii.ii,45 I.,MAUDII,yII,,,,,,,,,,,,,
3,Etats-Unis,Etats Barbaresques,Les Etats-Unis,Pnis,Etat,Etats,kEtats-Unis,,,,,,,,,,
4,Sierra Madre,Sierra IIadre,A minuit,Sierra Madre les Indiens,,,,,,,,,,,,,
5,Aacleia,Miracle,Cl,,,,,,,,,,,,,,
6,decrire,Derrire,ecria,decoloree,choire,d6-,,,,,,,,,,,
7,Hermosillo,dHermosillo,Sermon,Bermudez,,,,,,,,,,,,,
8,-DE,Dej,pe-DE,depit,de226,a-DE,,,,,,,,,,,
9,Canadien,Flora meicana,Canadisn,Canalien,Canadienne,Iadiens,,,,,,,,,,,
10,bandilts,Indien,Indiens,Indies,sion indienne,L'Indien,Les Indiens,Indiennes,Dienu,,,,,,,,
11,reunie,reunion,brunie,Pawnies,reunis,,,,,,,,,,,,
12,tont,Monte,mons,entrecoupee de montagnes,montee,conteni,,,,,,,,,,,
13,ns,Moclsens,Oceans,I107,s0ns,Normans,Aexns,Tiens,Psysans,iransporter,,,,,,,
14,sie,sienl,Sij,a375,,,,,,,,,,,,,
15,rue du Rosaire,grotte du vert de gris,CAYERNE DU YERT DE GRIS,J',grotte oh lejour,Vert de gris,lagrotte,,,,,,,,,,
16,sophiquementle,Mexique,Amerique,Amerique du Sud,Merced,nomer,Amerique du Nord,l'Afrique,Azteques,l'Amerique du Sud,Buluque,"A-
merique",Pacifique,Aerique,C,l'Amerique,Utique
17,gers,ger,Regences d'Alger,soger.35,ge,,,,,,,,,,,,
18,TIAPEUS,TIAPPEUS,TAPEUS,,,,,,,,,,,,,,
19,Mlexico,Mlexi-,cathedrale de Mexico,Mexico,,,,,,,,,,,,,
20,au-,Lu-,"au-
cun",Jesu-,"au-
tre",,,,,,,,,,,,
21,armes.a6,A6,,,,,,,,,,,,,,,
22,beissons,ssor,E,Finissons-en,,,,,,,,,,,,,
23,regle,regler,colere,ler,,,,,,,,,,,,,
24,fagon,degont,lagonie,,,,,,,,,,,,,,
25,t38,ge-t38,3r,,,,,,,,,,,,,,
26,D0CTEUR,Seurs,Geur,leurspoignards,SAUEUR,se196,Leschasseurs,OurS.,,,,,,,,,
27,nelee,melttez,mele,meles,Elevee,sang-mele,tele,pele-mele,complele,melis,,,,,,,
28,grace,gr,grin,grats,gre,,,,,,,,,,,,
29,penetra,TRAPPEUIS,trappeutr,"autre,3l0",bleutre,trappes,"TRAPPEUIS
- Et sur quoi l'interrogeait-il, mon enfant",TRAPPEIURS,,,,,,,,,
30,liennes,nedy,Iennedy,Vienne,,,,,,,,,,,,,
31,"Eh bien 
- Il",Conment,Bientt,Tres-bien,Bientot,Combien,bient0ts',CcHATIIENT,TTB,bientot,,,,,,,
32,paratt,sempara,prepara,apparaltre,baltre,Guadalazara,piralte,disparaltre,Maltre,,,,,,,,
33,I',Luz,"celle-l.
Dona Luz",h,DonaLuz,Iuz,,,,,,,,,,,
34,chambre separee,garon,egaree,Regardez,,,,,,,,,,,,,
35,g-----,---,I09,.--c,--Je,,,,,,,,,,,,
36,Caballero,calle San-Agustin,alc0ve,Allemagne,"calle del Rosario,-",alle,alluma,grolle,siflle,,,,,,,,
37,Societ,lhacienda,LHACIENDA,cienda,,,,,,,,,,,,,
38,jetne,jets.3l,jea32,,,,,,,,,,,,,,
39,t27,t23,et270,,,,,,,,,,,,,,
40,t.a10,A15,A157,,,,,,,,,,,,,,
41,extremitles,trempee,extreme,meme360,- Remettez,Coutrairement,,,,,,,,,,,
42,vages,CGes,Carthage,yisage3,Va,,,,,,,,,,,,
43,lexpedition,Pitic,cetle expedition,Conditiou,,,,,,,,,,,,,
44,dentee,escortee,nantes,tentee,lentree,Quarante,Linterieur,"demarche
tentee",,,,,,,,,
45,Leil,ILe,Le soleil,soleil,le Soleil,Soleil,le soleil,Le Soleil,,,,,,,,,
46,Pana-,ganado,CGana-,I,CG',,,,,,,,,,,,
47,In-l2,in-8,In-12,2v.in-8-,in-8-,in-3,In-1E,,,,,,,,,,
48,"capitaiue
Aguilar",Aguilar,Rio Gila,,,,,,,,,,,,,,
49,selle,tue1,bituelle,habituee,danslaquelle,,,,,,,,,,,,
50,Negrier,ter hier,Hier,OhIl,,,,,,,,,,,,,
51,A99,hesiter,hesita,Jupiter,suite2,Nhesitez,tercushenan,,,,,,,,,,
52,Mrisait,vOyais,Anglais,Mlais,etais sr,sais,sansaimer,faitl,MIais,jaais,jamais1,dis-2l,l53,palais quil,,,
53,bon3,falo,lons,Lon,- Allonsl,J1,Allons,Lorsqe,on118,Mlon,,,,,,,
54,gnais,venaison,raisonl936,connaissez,,,,,,,,,,,,,
55,i-12,Ai-,i-,0li-,,,,,,,,,,,,,
56,sauvee.3:8,sauverail,,,,,,,,,,,,,,,
57,Phebe,beche,echo,Quebec,breche,,,,,,,,,,,,
58,nenl,frenesie,Fenes,renes,m-,cene,Quale pcrsonnes pirent,renonca,,,,,,,,,
59,feuillee,reveillee,eveillees,Cordilleres,reille,nouvellee,,,,,,,,,,,
60,Ls,porls,Chimborazo,borls,orlre,,,,,,,,,,,,
61,Americains,Lanceros mexicains,Iexicaine,Mlexicains,Les Mlexicains,Mexicains,Meicains,gamUusinos mexicains,Americaines,camp des Mlexicains,,,,,,,
62,Yivant,Avantde,avanca,,,,,,,,,,,,,,
63,Llan,Elan,Cepenlant,Blancs,Helasl,,,,,,,,,,,,
64,Ia,Plateros,Iateros,Salvator Rosa,,,,,,,,,,,,,
65,perils,lepero,Leperos,perdu1,,,,,,,,,,,,,
66,vecu,avecun sang,gsece,,,,,,,,,,,,,,
67,mune,lune,forlune,etaitune,Aucune,Lune,TFt,,,,,,,,,,
68,ILES TRAPPEUR9,LEs TRAPPEUS,ILES TRAPPEUnS,".--EeA20
LEs TRAPPEURS",IAPPEUnS,,,,,,,,,,,,
69,euvre,fievre,aeuvre,,,,,,,,,,,,,,
70,Belhumenr,Bellumeur,Belhu-,Belhumeur,ditBelhumeur,Belhumeurl,Huml,Belhueur,,,,,,,,,
71,partenanl,Partez,- Partez,,,,,,,,,,,,,,
72,lir,Italie,talaa,valiers.8l,colie,,,,,,,,,,,,
73,.--EeA20,opposee,appuyee,Ee,ygee,2ee-e,petuee,,,,,,,,,,
74,Chacun,chappereni,echappe,echapper,,,,,,,,,,,,,
75,malgre,Malgre,,,,,,,,,,,,,,,
76,Peaux Rougesetles,"Pe-
rou",Peaux Ronges,A,Peaux Rouges7,Peaux Rouges,,,,,,,,,,,
77,A23,Angleter,Angleterre,inveteree,Anglelerre,Angleter e claux,,,,,,,,,,,
78,cambree,campagae,"campI
- Pardieul",cmp,camp,campana,campague,,,,,,,,,,
79,interrom-DE LARKANSAS,pa-DE L'AKANSAS,complele-DE LAHRANSAS,ani-DE L'AlANSAS,LL-DE LARKANSAS,pre-DE LAIANSAS,oublielDE LARKANSA,somme ren-DE L'AIIKANSAS,,,,,,,,,
80,LHACIENDA DEL MILAGR0,hacienda del Milagro,del Milagro,,,,,,,,,,,,,,
81,"ha-
cendero",joindre.16,- Repondez,Indens,Inde,conde,,,,,,,,,,,
82,La Providence,Providence,Prompt,,,,,,,,,,,,,,
83,Loyl,Voyez,moyen3,c0loyer,,,,,,,,,,,,,
84,IAKANSAS5,mortlDE ILARKANSAS,LARKANSAS5,Arkansas,AIKANSAS5,ARKANSAS5,Aransas,LAKAN5AS,LAlIKANSAS5,,,,,,,,
85,Tte Blanche,Comanchessont,comber,Coman-,Comancnes,BAzANcor,manche,Comanches,piste des Comanches,Les Comanches,Comanche,"Coman-
ches",,,,,
86,0 c.,el Cerro,Cerro,,,,,,,,,,,,,,
87,- General,general3,general,,,,,,,,,,,,,,
88,curubine,chichikoues,chine,Chinois,,,,,,,,,,,,,
89,Ooah,Ooouhl,T0RTUHL,,,,,,,,,,,,,,
90,noux,Ouaktehno,Ouaklehno,Oualtehno,,,,,,,,,,,,,
91,arriveel,Arrivesur,arriere,river7,Lives,P,arrivel,Arrive,Arrives,,,,,,,,
92,chevel,Lherbe,le btcher,I o,chene-liege,Och 1l,cher,empecher,,,,,,,,,
93,gne,Pompadour,accompagnes,Accordez,lsa duegne,- Accompagnerai,,,,,,,,,,,
94,Ceur Loal,laboya,Gaeur Loyal,eur Loal.ts,"Cer
Loyal",Cceur Loyal,Caeur Loyal,Ceur Loyal,Ceur Ioyal,,,,,,,,
95,"malade7
- Pas moi",Opatas,"I
Pas",ashahas,pasto,pas,Pimas,cepays,,,,,,,,,
96,nete,deterine,LaTete,textevenu,anxiete,jaccepte,Iete,ter  cette operation delicate,Tete,nu-tete,c6te,tete haute,ciell Etes,tete,,,
97,canp,Mezcal,triarcal,Ca,ca,- Caspita,Incas,,,,,,,,,,
98,Europe,l'Europe,Euope,Gouveruemeuls de l'Europe,,,,,,,,,,,,,
99,nice,benil,beni,,,,,,,,,,,,,,
100,ecroula,etouffe,nousvoulonsjouir,couleau,toul,,,,,,,,,,,,
101,ovol,Voulez,lez,Revoluuon,volez,parole168,,,,,,,,,,,
102,mornes,orne,,,,,,,,,,,,,,,
103,d'Espagne,Espagnols,1Espagnol,Espa-,Espagnol,,,,,,,,,,,,
104,Abandonnera,I39,mignonne,Donnez,,,,,,,,,,,,,
105,sarrange,Durango,Etats de Durango,,,,,,,,,,,,,,
106,lavie,vie.vI,vie?Je,VI,Vieme,viel,,,,,,,,,,,
107,Lendroit,calecon etroit,Acropolis,moitie fou,crcix,Croit,crois7,Linproiisioro,,,,,,,,,
108,Tele d'Aigle,"Tete
d'Aigle",Tete d'higle,Iete d'Aigle,piste de la Tete d'Aigle,Tete d' Aigle,La Tele d'Aigle,Iete dAigle,La Tete d'Aigle,Tete d'Aigle,Tete d'Aigle etle Ceur,Tete d'Aiglel,,,,,
109,Babillard7,Ab59,Babil-,Babillard,,,,,,,,,,,,,
110,i83,Eh,Mehu,,,,,,,,,,,,,,
111,Quoi7,Voil,Voilh,hravo,lapercevoir,Devois,voi,emouvoir,vo,,,,,,,,
112,TAPPEURS,"TAPPEURS
- Voici","dupe,60 tES TAPPEURS DE LAKANSAS","prairie168
LES TAPPEURS",LES T3APPEURS,IES ITAPPEURS,IES TAPPEURS DE L'AIKANSAS,IES TAPPEURS,"quelques386
LES TMAPPEURS",ITAPPEUR9,TAPPEU9,ILES TAPPEURS,,,,,
113,T F,Guaymas,t0t  Guaymas,t0t,,,,,,,,,,,,,
114,et6e relabli,et6e,et106,,,,,,,,,,,,,,
115,"z:::,;::;:;:IGz",z::::-,trc::r,z::::z,zc:.:z::cc,,,,,,,,,,,,
116,Lapluie,Alrs,luil,alumet,tqui,alui,traluit du banois,a77,,,,,,,,,
117,I29,hatto,Createur,Hatez,hate,,,,,,,,,,,,
118,plusvariee etla,cetle,Etil,etle,Etle,,,,,,,,,,,,
119,7I,s0mme8,Nonchalamment,so,commengca,Hommes,somme,commuaute,,,,,,,,,
120,yres,mee resultat,prets,epreues,Congres,Apres,Eures,pres,"pre-
caire","2--
aupres",Mlcoires,,,,,,
121,Apaches,Caches,machete,achet8,Tachez,,,,,,,,,,,,
122,Gambusino,gambusinos,nosn,Gambusinos,,,,,,,,,,,,,
123,demander7,songrand,Grand Chef des Aueas,gand,Grande,,,,,,,,,,,,
124,possible7,Assini0oins,lassassin,Aussit0,Assis,Mississipi,,,,,,,,,,,
125,Aigle,l'aieul,"Tele
d'Aigle",Aiglel,"Tete
l'Aigle",l'Aigle,,,,,,,,,,,
126,lanceros,lance avanl,Frangais,Francais,fr,Trnce,Puissance,Lenfance,rancon de ma mere,France,,,,,,,
127,assezlourd,Russe,vousinteressez,poussat,Pousse,us,,,,,,,,,,,
128,z':;.-,"-
-","..-
-",,,,,,,,,,,,,,
129,Aprbs,prairie168,clairiere oi,Ih-,laprairie,,,,,,,,,,,,
130,PROtCUE.LE,metropole,otr,trot,,,,,,,,,,,,,
131,Hoyiu,p e,Ilisoia e la Hoyiu,,,,,,,,,,,,,,
132,Guadeloupe,justel,Rafael,delices,vengel,el,bellel,,,,,,,,,,
133,ephemere,mepris,reprimer,,,,,,,,,,,,,,
134,nes de l',pise,c0te du Cerro de la campana,piste des jaguars,teau de I'ouest,golfe de Cali-,grolte de la riviere,piste de la,rue de l'Ahhaye,,,,,,,,
135,"la-
ble",Ra-,sa-366,Ba-,A-,,,,,,,,,,,,
136,retirez,- Arretez,amesure,srete,surete,,,,,,,,,,,,
137,senorita,Sonora,Etat de Sonora,"anveeraoosent
-",senora,,,,,,,,,,,,
138,Mlalheureusement,"n0
Eusebio",precieuse,lequilibre,sepulcre,Syracuse,breuse,"rendaientsongeuse
i190",,,,,,,,,
139,Par-,Bar,ar-,,,,,,,,,,,,,,
140,ain,Convaincu,Vaincue,,,,,,,,,,,,,,
141,Lejeune,l35,DieuI,quelajeune,Dieune,,,,,,,,,,,,
142,- Guerriers,guer-,severe,juez,trigue,Guere,,,,,,,,,,,
143,Cordoue,nutah,Sautant,lout,"accoutumes a bra-
ver",ecouta,,,,,,,,,,,
144,sgnt9 piation,Denomination,batie,Natosh,nation258,,,,,,,,,,,,
145,sert7,lissades,desert deroulait,Etudes,desertee,desert,,,,,,,,,,,
