cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0.0,Guadeloupe,Guadalazara,lout,,,,,,,,,,
1.0,lavie,vie.vI,vie?Je,Vieme,viel,,,,,,,,
2.0,aeil,laeil,OEil,,,,,,,,,,
3.0,TAPPEURS,"TAPPEURS
- Voici","dupe,60 tES TAPPEURS DE LAKANSAS",LES T3APPEURS,leurspoignards,IES ITAPPEURS,IES TAPPEURS DE L'AIKANSAS,IES TAPPEURS,OurS.,"quelques386
LES TMAPPEURS",ITAPPEUR9,TAPPEU9,ILES TAPPEURS
4.0,malgre,Malgre,gre,,,,,,,,,,
5.0,"z:::,;::;:;:IGz",z::::-,z::::z,zc:.:z::cc,,,,,,,,,
6.0,Etats-Unis,Les Etats-Unis,Etat,Etats,kEtats-Unis,,,,,,,,
7.0,Voil,Voilh,voi,,,,,,,,,,
8.0,perils,perdu1,Linterieur,,,,,,,,,,
9.0,Sierra Madre,Sierra IIadre,A minuit,Sierra Madre les Indiens,,,,,,,,,
10.0,Aacleia,stacles,Miracle,,,,,,,,,,
11.0,ovol,Revoluuon,volez,,,,,,,,,,
12.0,decrire,Derrire,ecria,,,,,,,,,,
13.0,Hermosillo,dHermosillo,Sermon,,,,,,,,,,
14.0,-DE,pe-DE,a-DE,,,,,,,,,,
15.0,et6e relabli,laboya,et6e,,,,,,,,,,
16.0,canp,Canadien,Canadisn,Canadienne,Iadiens,,,,,,,,
17.0,bandilts,Indien,Indiens,Indies,sion indienne,L'Indien,Les Indiens,Indiennes,Dienu,,,,
18.0,reunie,reunion,brunie,reunis,,,,,,,,,
19.0,Negrier,grin,arriere,clairiere oi,,,,,,,,,
20.0,tont,Monte,montee,conteni,,,,,,,,,
21.0,grotte du vert de gris,CAYERNE DU YERT DE GRIS,grotte oh lejour,Vert de gris,lagrotte,,,,,,,,
22.0,Amerique,Amerique du Sud,Amerique du Nord,l'Amerique du Sud,"A-
merique",Aerique,l'Amerique,Americaines,,,,,
23.0,gers,ger,Regences d'Alger,soger.35,,,,,,,,,
24.0,Voulez,lez,couleau,,,,,,,,,,
25.0,TIAPEUS,TIAPPEUS,TAPEUS,,,,,,,,,,
26.0,nenl,sie,sienl,Tiens,,,,,,,,,
27.0,.--EeA20,.--c,,,,,,,,,,,
28.0,selle,bituelle,grolle,nouvellee,siflle,danslaquelle,bellel,,,,,,
29.0,Etats Barbaresques,Azteques,Etats de Durango,Bar,,,,,,,,,
30.0,Mlexico,Mlexi-,cathedrale de Mexico,Mexico,,,,,,,,,
31.0,ter hier,Hier,,,,,,,,,,,
32.0,cambree,chambre separee,noux,,,,,,,,,,
33.0,Oceans,Normans,Psysans,iransporter,,,,,,,,,
34.0,regle,regler,ler,,,,,,,,,,
35.0,fagon,degont,lagonie,,,,,,,,,,
36.0,nice,delices,,,,,,,,,,,
37.0,t38,ge-t38,,,,,,,,,,,
38.0,gne,lsa duegne,,,,,,,,,,,
39.0,textevenu,severe,vengel,,,,,,,,,,
40.0,paratt,sempara,prepara,grats,,,,,,,,,
41.0,PROtCUE.LE,Prompt,trot,Linproiisioro,,,,,,,,,
42.0,nelee,melttez,mele,meles,Elevee,sang-mele,tele,pele-mele,melis,,,,
43.0,metropole,Acropolis,,,,,,,,,,,
44.0,liennes,nedy,Iennedy,Vienne,,,,,,,,,
