cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136
-1,saccadee,IARKAN5AS,TAPEUS,fievre,Rafael,Mexico,faisantjaillir,anveeraoosent,Sacrebleui,chappereni,distribuee,Pawnies,Silencel interrompitl'Indien,buffalos,"T F
Tr
LA PRAIRIE",interrom-DE,Luz,grolle,le v0tre,"Pe-
rou aux grappes rouges et pimentees",Assezl,Houge,I09,textevenu,Bellumeur,l,tentieent.9,exIV,Lherbe,garon,statue de la desolation,bandouliere,Quale,Iadiens,Apes,dei-cercle,frenesie,cte A,Italie,orniberes,IARKANSAS,Bermudez,Guere des Psysans,aulre le Sermon,trc::r,"Ceus-
Loyal",guenarde,lequilibre,I',Canalien,Votre salut,Ir.0,Derrire,.e-oa,P,Linproiisioro,J1,Helasl,Ceur,nedy,Prompt,lexistence,soupgonner,7 i.,si-,Tete d',mtlstang,Y.i,etDE,"Tete d'Aigle revolta
l'orgueil des pirates",Carthage,lsa duegne,grats,seulemenl,connatt,Alrs,guerrierstrop,inne,ashahas,prets,Nions,coupablel,Loyal,I o on Ilio,t9,Ilisoia e la Hoyiu,copagnons,blait preter loreille,Celte,Serpent,blait reveuse,couyrit,be-,Aransas,Sautant,Tele d'Aigle,tete baissee,Acropolis,suini sos neietnee,alluma,faitl,repondre,blessee,lagrotte,Rapportez,raye de vermillon,sa-366,leurspoignards,A minuit,Lanceros mexicains,Nonchalamment,vOyais,Lanceros,Cordilleres,Aguilar,Dienu,l'Afrique,LAKAN5AS,vecu,DIE,nes de l' Amerique,apres celtte cour,"I
-",srete,Loyl,Le CurLoyal-,"TRAPPEUIS
- Et sur quoi l'",somme ren-DE L'AIIKANSAS,i Prs,lincendie,Ne crains-tu pas la mort,Caeur,Iy,epreues,aventure de Mexico,TTB,I39
0,A99,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,a77,1Z,7I,Ih-,A6,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,I29,I,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TFt,i83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A157,A15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"..-
-","..-
-.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mississipi,dela du Mississipi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,i-12,In-1E,In-12,in-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ooouhl,Ooah1,Ooah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
