cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
0,LES,les Incas,stacles,le-,Tousles,ABBILLEs,Eshis,t.es,Miracle,uyes,arreles,les96,Cordilleres,Familles,IES,,,,,,
1,-iiiiiii.ii,45 I.,MAUDII,A,yII,,,,,,,,,,,,,,,,
2,Etats-Unis,Les Etats-Unis,Pnis,jets.3l,Etat,Etats,kEtats-Unis,dis-2l,,,,,,,,,,,,,
3,lavie,vie.vI,vie?Je,VI,Vieme,viel,,,,,,,,,,,,,,,
4,Sierra Madre,sie,Sierra IIadre,Sierra Madre les Indiens,rancon de ma mere,I,,,,,,,,,,,,,,,
5,I39,decrire,Derrire,ecria,decoloree,,,,,,,,,,,,,,,,
6,Hermosillo,dHermosillo,Sermon,,,,,,,,,,,,,,,,,,
7,-DE,Dej,pe-DE,depit,de226,a-DE,,,,,,,,,,,,,,,
8,Canadien,Flora meicana,Canadisn,ganado,Canalien,Canadienne,Iadiens,,,,,,,,,,,,,,
9,Indien,sienl,joindre.16,Indiens,Indies,sion indienne,L'Indien,Indens,Inde,Les Indiens,DieuI,l53,Indiennes,Dienu,,,,,,,
10,reunie,reunion,brunie,l'aieul,Pawnies,lagonie,reunis,Dieune,,,,,,,,,,,,,
11,tont,Monte,Conment,degont,montee,"TRAPPEUIS
- Et sur quoi l'interrogeait-il, mon enfant",,,,,,,,,,,,,,,
12,ns,Moclsens,Oceans,I09,mons,s0ns,Normans,Aexns,Tiens,iransporter,,,,,,,,,,,
13,rue du Rosaire,grotte du vert de gris,CAYERNE DU YERT DE GRIS,grotte oh lejour,Etats de Durango,Vert de gris,,,,,,,,,,,,,,,
14,aeil,Aacleia,Leil,laeil,ILe,feuillee,Etil,reveillee,"conseil.278
LES",lequilibre,OEil,eveillees,reille,OhIl,Ily,,,,,,
15,sophiquementle,Mexique,Amerique,Amerique du Sud,Amerique du Nord,l'Afrique,l'Amerique du Sud,Buluque,"A-
merique",Pacifique,Aerique,l'Amerique,Utique,,,,,,,,
16,lanceros,Llan,lance avanl,Yivant,Tte Blanche,I107,Avantde,Cepenlant,Blancs,avanca,,,,,,,,,,,
17,gers,ger,ter hier,Regences d'Alger,Hier,soger.35,c0loyer,ge,,,,,,,,,,,,,
18,Mlexico,Mlexi-,cathedrale de Mexico,Mexico,,,,,,,,,,,,,,,,,
19,au-,"au-
cun",Jesu-,"au-
tre",,,,,,,,,,,,,,,,,
20,armes.a6,A6,,,,,,,,,,,,,,,,,,,
21,TIAPEUS,TIAPPEUS,TAPEUS,Ia,TAPPEU9,IAPPEUnS,,,,,,,,,,,,,,,
22,t38,ge-t38,i83,,,,,,,,,,,,,,,,,,
23,Europe,l'Europe,Euope,Gouveruemeuls de l'Europe,,,,,,,,,,,,,,,,,
24,gne,jetne,mignonne,orne,lsa duegne,,,,,,,,,,,,,,,,
25,D0CTEUR,Seurs,Geur,leurspoignards,SAUEUR,se196,Leschasseurs,OurS.,,,,,,,,,,,,,
26,nelee,melttez,selle,mele,metropole,meles,Elevee,sang-mele,tele,pele-mele,complele,melis,,,,,,,,,
27,penetra,TRAPPEUIS,trappeutr,LEs TRAPPEUS,ILES TRAPPEUnS,"autre,3l0",bleutre,trappes,TRAPPEIURS,,,,,,,,,,,,
28,liennes,nedy,Iennedy,m-,Vienne,chene-liege,Donnez,,,,,,,,,,,,,,
29,"Eh bien 
- Il",Bientt,Bientot,Combien,bient0ts',CcHATIIENT,TTB,bientot,,,,,,,,,,,,,
30,prepara,apparaltre,baltre,triarcal,piralte,disparaltre,Maltre,,,,,,,,,,,,,,
31,Luz,Lu-,"celle-l.
Dona Luz",DonaLuz,Iuz,,,,,,,,,,,,,,,,
32,.--EeA20,g-----,---,.--c,--Je,C,,,,,,,,,,,,,,,
33,garon,egaree,Regardez,- Repondez,Accordez,,,,,,,,,,,,,,,,
34,Caballero,calle San-Agustin,Allemagne,"calle del Rosario,-",alle,Alrs,grolle,nouvellee,siflle,,,,,,,,,,,,
35,Societ,lhacienda,P,LHACIENDA,cienda,,,,,,,,,,,,,,,,
36,t.a10,A15,A157,,,,,,,,,,,,,,,,,,
37,ssor,Sonora,Etat de Sonora,raisonl936,senora,,,,,,,,,,,,,,,,
38,extremitles,trempee,extreme,J1,meme360,Coutrairement,,,,,,,,,,,,,,,
39,lexpedition,Pitic,cetle expedition,Conditiou,,,,,,,,,,,,,,,,,
40,dentee,escortee,textevenu,nantes,tentee,lentree,conteni,"anveeraoosent
-",Quarante,Linterieur,"demarche
tentee",,,,,,,,,,
41,nete,deterine,LaTete,anxiete,jaccepte,Iete,ter  cette operation delicate,Tete,h,nu-tete,Azteques,c6te,- Remettez,- Arretez,suite2,srete,tete haute,inveteree,ciell Etes,tete,surete
42,Le soleil,soleil,le Soleil,Soleil,le soleil,Le Soleil,,,,,,,,,,,,,,,
43,In-l2,in-8,In-12,2v.in-8-,in-8-,in-3,In-1E,,,,,,,,,,,,,,
44,Ls,porls,borls,orlre,,,,,,,,,,,,,,,,,
45,"capitaiue
Aguilar",Aguilar,Rio Gila,Guadalazara,palais quil,,,,,,,,,,,,,,,,
46,I',Aigle,"Tele
d'Aigle",Aiglel,l'Aigle,,,,,,,,,,,,,,,,
47,tue1,bituelle,habituee,danslaquelle,,,,,,,,,,,,,,,,,
48,Gambusino,gambusinos,nosn,Gambusinos,,,,,,,,,,,,,,,,,
49,7I,hesiter,hesita,Jupiter,Nhesitez,tercushenan,,,,,,,,,,,,,,,
50,Mrisait,vOyais,Anglais,pise,gnais,Mlais,etais sr,puisqae,sais,sansaimer,venaison,sauverail,faitl,MIais,lissades,jaais,jamais1,yisage3,Salvator Rosa,connaissez,
51,bon3,falo,fagon,Loyl,lons,Lon,- Allonsl,Allons,Lorsqe,on118,Mlon,,,,,,,,,,
52,i-12,Ai-,i-,0li-,,,,,,,,,,,,,,,,,
53,chevel,Phebe,Lherbe,beche,echo,le btcher,Quebec,Och 1l,cher,breche,,,,,,,,,,,
54,nenl,frenesie,Tres-bien,Fenes,renes,mornes,entrecoupee de montagnes,cene,Ih-,Quale pcrsonnes pirent,renonca,,,,,,,,,,
55,Americains,Lanceros mexicains,Iexicaine,Mlexicains,Les Mlexicains,Mexicains,Meicains,gamUusinos mexicains,Americaines,camp des Mlexicains,,,,,,,,,,,
56,perils,lepero,Leperos,ler,perdu1,,,,,,,,,,,,,,,,
57,alc0ve,vecu,avecun sang,gsece,,,,,,,,,,,,,,,,,
58,- General,general3,general,l35,,,,,,,,,,,,,,,,,
59,arriveel,Arrivesur,arriere,river7,E,Lives,arrivel,Arrive,Arrives,TFt,a77,,,,,,,,,,
60,euvre,fievre,aeuvre,,,,,,,,,,,,,,,,,,
61,Belhumenr,Bellumeur,Belhu-,Belhumeur,ditBelhumeur,Belhumeurl,Huml,Mehu,Belhueur,d6-,,,,,,,,,,,
62,partenanl,Partez,- Partez,,,,,,,,,,,,,,,,,,
63,senorita,lir,Italie,talaa,valiers.8l,colie,,,,,,,,,,,,,,,
64,sauvee.3:8,opposee,appuyee,Ee,ygee,2ee-e,petuee,,,,,,,,,,,,,,
65,chappereni,echappe,I29,echapper,empecher,,,,,,,,,,,,,,,,
