cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,iois,Na-,Ioi,Bois,iois aoi,,,,,,,,,,,
1,Fgfnes,nesiue,nnes,P,lesracines,,,,,,,,,,,
2,comtesse de Granville,Waltville,Granville,A1,Manerville,HÔtel-de Ville,Avez1 Ville,Balthasar,alteignit,Walteville,,,,,,
3,CE1a,t0,,,,,,,,,,,,,,
4,Societe,Sociele,ciet,Batn,,,,,,,,,,,,
5,Legitimistes,Legitimite,Ias,iruiste,Eh,,,,,,,,,,,
6,vialime,AimE',Is,,,,,,,,,,,,,
7,ieuesso,Osna,Suppo-,subjugues,pingeuieues,,,,,,,,,,,
8,seienee,LHygiene,viene,"Fe-
Ln",presidenee,alienee,jurisprudenee,,,,,,,,,
9,sajeu-,lac Majeur,viye,O,Lae Majeur,.:,,,,,,,,,,
10,"GGiGiniiiG.ciiiaG
Francaise",Francais,"GGiGiniiiG.ciiiaG
Francaise el je suis",Thetre-Francais,francais,,,,,,,,,,,
11,Frangais,amur,fe,midi-Frangaise,ar6s,,,,,,,,,,,
12,Est,".,est",Schmuke,Est Juste,do l'Est,Est-e oes tedeschi,- Est,,,,,,,,,
13,Ate.s eeeg,hate,ae ien aire eee,ellE - eee eeegi e]   ueae yeuessea,,,,,,,,,,,,
14,gota,Nucingen,Nucingon,Nucinge,cingen,Nuciogen,,,,,,,,,,
15,lquelle,laielle,l4elle,ellE,Vauchelles,ellE n-,Iaqellela,EllE,Montemnisselle,laguelle,choef da Son Ecellence,turelles,I::ELLE,Telle,ElLe,c6elle
16,mepriseras:- Ble,c0mprises,serva,Ras-,,,,,,,,,,,,
17,Poppee,aspeet,Très-,oecupee,,,,,,,,,,,,
18,Jura,Duraht,Iun,l1,gre,,,,,,,,,,,
19,eune monsiour do Soulas,aueun,"biiou
-",Soulas,mons,,,,,,,,,,,
20,Iamais,-Mais,Mail,Jamais,II,Mais-,maison Janrenaud,laquais,,,,,,,,
21,chteau,Eau,Lyon,rue Feydeau,ne-,Beau-,,,,,,,,,,
22,fiacre,L2IAC,Iac,aix,Oiml,Bnfin,,,,,,,,,,
23,Chambre,chiambre des pairs,cChambrot,Dijon,,,,,,,,,,,,
24,cetle,etle,Lu-,Cetle,A cetle,cetle sainte,,,,,,,,,,
25,comnime pet,Comnte,Combien,ntel,Comle,,,,,,,,,,,
26,Nure,fgures,Aoures,oiture,peinlure,Magistrature,Laure,fleuree,la288,,,,,,,
27,Vienne,vienne,Etienne,Quotidienne,lh,Sicilienne,iut,Ro-,tiennes7,comedienne,liennes,Tiens,,,,
28,Marie-Eugenie,ugenie,N1,Bugey,Eugenie,genie,le%,Bugenie,,,,,,,,
29,malheres,IUn,GG,spheres,binel d'Alhert,Gi'i'ii,Alhel,Malgre,,,,,,,,
30,Effort,T'aport,apon,pordus,,,,,,,,,,,,
31,G,amaht,S,J',,,,,,,,,,,,
32,Frauce,suceederun,Na,.m',E,derouter,Federal,,,,,,,,,
33,viagere,exageree,egaree,eseree etpesu,gr  eoereee s mr y-s y-,z.,Gersau,vecu,,,,,,,,
34,Neufchatel,le Pont-Neuf,Pont-Neuf,Neufchlel,,,,,,,,,,,,
35,Iai,lazr,sugca,miai 18,Ma-,,,,,,,,,,,
36,got,piresrue,lontaires,i nrue,mres,le caire,vire,Ireres,Bruel,,,,,,,
37,aaitbdALBERT,Spielberg,ALBBRT.y,enthousiasmeALBERT,Albertauraitgimile,Albeit,,,,,,,,,,
38,madamoiselle,mademoiselle,el de mademoiselle,E:;:e,ahbe,temoin,Moise,"mam de mademoiselle
cheval",mademoiselle Mars,,,,,,,
39,Mfadr,deWatteville,Iadame do Watteville,watteville,Wutteville,maison Watteville,is,Watleville,Watteville,Wattleville,I,Wattwville,Wattoville,Wattevill,Watlteville,B
40,Caroline,satinees,Tine,Usine,succinet,Tinti,,,,,,,,,,
41,- Ilne,lnee,Rhne,neeitaii,btit,,,,,,,,,,,
42,Modinier,ninie,niere,Madinier,Virginie,Teniers,Wyiriciinie,Mainier,,,,,,,,
43,Per-,Perugin,Perou,echanper,Experience,Pere-La-],,,,,,,,,,
44,ft devinee,cheminee,gomine,Demi- ],temino,,,,,,,,,,,
45,indiquanlt,As-tu ta,poliliquo,Quoiqu,"g.,g",Quoiue,Opéra,,,,,,,,,
46,In chro,chein do,N,As,,,,,,,,,,,,
47,brune,tunel,ieune,Lune,sln',tortune,forlune,,,,,,,,,
48,Mn,National,aroon di nof nis ionii,Diion,sion,Lions-le-Saul-,reunion,,,,,,,,,
49,de Saxe,Saxe,Naha,Saxarn,do Saxe,,,,,,,,,,,
50,pre,maniPre,popre,prelre,io vex pretrs,Ge-,,,,,,,,,,
51,scne,,,,,,,,,,,,,,,
52,journalisle,belises,-Lisek,Jallklis,lEglise,Ca,,,,,,,,,,
53,benquier,benu,Qui,bhanquier,,,,,,,,,,,,
54,travaileur,Iavait,avaienl,avaiont,bult,,,,,,,,,,,
55,les Rouxey,Rouxey,Rouxrer,terre des Rouxey,lac des Rouxey,Les Rouxey,Les negocians,us,,,,,,,,
56,Hollandais,dEmanda,Irlandais,Andantsz,,,,,,,,,,,,
57,yettee-ggeyggggy,gggg;;g,Agggge,gggL,"je,-';;g",gg,"g;;gggggg,:,g",,,,,,,,,
58,Faut,auteuil,teut,vsoyaut,luil,,,,,,,,,,,
59,Saiut-Jean,--Je,Neanmoins,ru-es,,,,,,,,,,,,
60,attentioi,watteile,teil,a1,Watteille,,,,,,,,,,,
