cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
0,Laisse,Laissez-,laquais,ivartisseent,Palais,,,,,,,,,,,,,,,,,,,,
1,malheres,Alhel,spheres,binel d'Alhert,Malgre,,,,,,,,,,,,,,,,,,,,
2,belises,asese,-Lisek,lEglise,y-,c0mprises,,,,,,,,,,,,,,,,,,,
3,ellE,Montemnisselle,ElLe,lquelle,I::ELLE,laielle,l4elle,triomphel Plus olle,turelles,c6elle,Vauchelles,ellE n-,Iaqellela,choef da Son Ecellence,Telle,el,laguelle,EllE,,,,,,,
4,Voil,Voilh,Mafoil,z.,Oiml,Pouvoir,,,,,,,,,,,,,,,,,,,
5,Très-,très-allachee h miss Fanny,,,,,,,,,,,,,,,,,,,,,,,
6,Thetre,Thetre-Francais,Thetre-,etres-unis,Thettre,,,,,,,,,,,,,,,,,,,,
7,Neufchatel,hate,Neufchlel,,,,,,,,,,,,,,,,,,,,,,
8,lomene,Philomene,Philombene,Pbilomene,Philomeno,Philomen,Philomene]. - A,Hhilomene,Philomee,,,,,,,,,,,,,,,,
9,etat,Batn,p6-,Contat,État,Etat,Etats romnains,,,,,,,,,,,,,,,,,,
10,chapitr,Ghapitre,,,,,,,,,,,,,,,,,,,,,,,
11,aec,daecord,vecu,,,,,,,,,,,,,,,,,,,,,,
12,Irais,Serais,Jaurais,Marais,,,,,,,,,,,,,,,,,,,,,
13,nimosamnis,ninie,Virginie,ffianie,Wyiriciinie,Madinier,Fnai niosiiininaanieetne,Modinier,nI,Mainier,enin,,,,,,,,,,,,,,
14,I',SI',Gi'i'ii,c0,,,,,,,,,,,,,,,,,,,,,
15,autriche,Autriche,Autre,,,,,,,,,,,,,,,,,,,,,,
16,brossee,Rmssee,Rossni,,,,,,,,,,,,,,,,,,,,,,
17,inlerels do l'Est,do l'Est,4 L,,,,,,,,,,,,,,,,,,,,,,
18,Ple,sculple,ples,Naples,Les negocians,Spleen,tiaple,nohles,lesracines,les letlres,moustacles,do Niples,Iuliles,oxceple,,,,,,,,,,,
19,A]g,sa]- Oui,EIle nest ouiouirs pss nee,OUi-,,,,,,,,,,,,,,,,,,,,,
20,varon,chnaroneourt,baronno,6naro5rose,aroon di nof nis ionii,Rivarol,,,,,,,,,,,,,,,,,,,
21,mOi-,Neanmoins,tOi-,Si-,temoin,,,,,,,,,,,,,,,,,,,,
22,Camps,campogne,pognie,aceompogne,Lamporaui,,,,,,,,,,,,,,,,,,,,
23,Tre Monasteri,mystere,Terme,caratere d'in yjoe,Interets,contrister,mol mystee I,Ministere,,,,,,,,,,,,,,,,,
24,L'Espagne,Espagnols,Espard,Piemont el d'Espagne,,,,,,,,,,,,,,,,,,,,,
25,Rhelore,Honore,Rhetore,Heloise,decoloree,,,,,,,,,,,,,,,,,,,,
26,tiennes7,comedienne,vienne,liennes,Sicilienne,Etienne,Vienne,Quotidienne,viene,,,,,,,,,,,,,,,,
27,milaine,Milan,Milaiais,Milanais,Mlilan,brillanta,el blanche,lazr,la288,milan,Yiland,,,,,,,,,,,,,,
28,nnsie,NSIEUR,Asilotinsie,meurtrirs,"mensieuri0

DE ALZAC",Mlonsieur,Heureuxt,,,,,,,,,,,,,,,,,,
29,Moyen-Âge,voyent,Voyez,,,,,,,,,,,,,,,,,,,,,,
30,Pont-Neuf,le Pont-Neuf,,,,,,,,,,,,,,,,,,,,,,,
31,benquier,benu,Qui,bhanquier,,,,,,,,,,,,,,,,,,,,,
32,Spielberg,Albertauraitgimile,enthousiasmeALBERT,aaitbdALBERT,Albeit,Aa,ALBBRT.y,,,,,,,,,,,,,,,,,,
33,Saint-Honore,Sainte-Elle,Saint-,Saintes-Ceciles,Saint-Germain bouda,Saihnt-,Saint-Gothard,rue Saint-Lazare,Sainte-Alliance,Saint des Saints.-Il,Saint-Germain,Saiut-Jean,sausaiianta,,,,,,,,,,,,
34,avoeats,avoeat,,,,,,,,,,,,,,,,,,,,,,,
35,Frace u beaunom,grace,Graces,Jungrau,Frace,gradce,,,,,,,,,,,,,,,,,,,
36,IUn,Iun,adiu,iut,cœur1Un,aueun,,,,,,,,,,,,,,,,,,,
37,riolece de lorag,i nrue,rue do cliehs,rue de Ne-,baie de Nuples,Ia tte de san,rue asseu-Rempart,ne-,venez  lhotel de Rupl,oup de deux heu-,rue du Perron,manege de la vie,rohe de chambre de merinos,evue de 'Est,toile de Ilollandel,,,,,,,,,,
38,atre,Utrecht,laatreI A,Beatrix,Magistrature,Theatre,Peut-9êtrE,trehte-trois ans,maftre,,,,,,,,,,,,,,,,
39,etablis,S'etablir,varitablo,,,,,,,,,,,,,,,,,,,,,,
40,Vandenesse,Wandenesse,gondesse,bandenne,Yandenesse,Vande-,Vandenessse,offtrandes,jurisprudenee,,,,,,,,,,,,,,,,
41,Ia frisre,is,iruiste,Is,Jallklis,Puis-,misre,atisve,toiseme feis,sot vis-i-vis,loeis,fodre iside pir plis ke fos vrandes I1,uis,voyis,,,,,,,,,,,
42,AH,Naha,Nahan,J-,,,,,,,,,,,,,,,,,,,,,
43,monie,sonnie,Moniteur,Sidonie,Monvel,lironie,coniugal,,,,,,,,,,,,,,,,,,
44,thelres,nlre,enlrer,aulres,Nl,,,,,,,,,,,,,,,,,,,,
45,Raonl,Conli,connaflt,quai Conli,,,,,,,,,,,,,,,,,,,,,
46,Solas,As,Pas,As-tu ta,Ras-,Massol,Assis,,,,,,,,,,,,,,,,,,
47,Europe,Europeen,l'Europe,rope,,,,,,,,,,,,,,,,,,,,,
48,toutola soeiete,Tout-,amout,O,pout-etre,,,,,,,,,,,,,,,,,,,,
49,Marie-,Marietle,ariver,Marie-Eugnie,Marielte,rini etait mariee,Charivari,Mairie,,,,,,,,,,,,,,,,,
50,Lions-le-Saul-,cliont,Clichy,avaiont,"au-
Iontes",luiont,Religion,,,,,,,,,,,,,,,,,,
51,Dauphin,Dauphine,Phi-,,,,,,,,,,,,,,,,,,,,,,
52,A iiraia-l as ioiiiiiiannioieaiiiraniaiisinisioniALERT,GinGiiiiGGiti,iiiiG,wiiiipisd,"GGiGiniiiG.ciiiaG
Francaise",iiiia,cGGEiiiGG,gPeeggA iiiiiiE.GiGGaiG,iGs Gi,"GGiGiniiiG.ciiiaG
Francaise el je suis",niaianaaani.aniiiGit',viiiille,,,,,,,,,,,,,
53,exageree,viagere,,,,,,,,,,,,,,,,,,,,,,,
54,Ies,boiugies,Arries,Tuileries,Tuilaries,ieuesso,,,,,,,,,,,,,,,,,,,
55,Na-,sinau aesnior,Osna,Na,National,Nantua,"ana-
 ysitl",nailt,Godenars,--Gina,Leonarde,Gymnase,,,,,,,,,,,,,
56,"yeu
e narais ianais cru",Fanais,nais,deFai,Fantaisie,Franais,enfant.-,,,,,,,,,,,,,,,,,,
57,Iod,sion,io,oroiuio,Io,Argaiolo,"biiou
-",Ioeux,diocbese,Aiosi,,,,,,,,,,,,,,,
58,"G1:::,%",z:::t,,,,,,,,,,,,,,,,,,,,,,,
59,Philomlne,Philomn,Philomue,Philombne,Philo-,Philomno,hilomae,,,,,,,,,,,,,,,,,,
60,famlle,Illle,llla,sueces1 Blle,clle,llle,Blle,Dulley,Clle,Alert lla,fit-lle,olle,,,,,,,,,,,,,
61,yisont le eaer,Bisontins,contigu,Bisontins no ly,Tnti,,,,,,,,,,,,,,,,,,,,
62,Acier,fier,io ae tier,Hier,fievre,culiero,Arcier,,,,,,,,,,,,,,,,,,
63,blable auxt Anglaises,Anglais,Anglaise,euaisee,coulume anglaise,midi-Frangaise,,,,,,,,,,,,,,,,,,,
64,mademoiselle Mars,"mam de mademoiselle
cheval",mademoiselle,madamoiselle,Moise,el de mademoiselle,I,,,,,,,,,,,,,,,,,,
65,harque,Barque,,,,,,,,,,,,,,,,,,,,,,,
66,Simplon,Barcelone,lons,mons,canlon,Allons,vivons dns,blonde,Lyon,,,,,,,,,,,,,,,,
67,Noblesso,blesse,Noblesse,Nobles,noblo,blessee,noblos idees,,,,,,,,,,,,,,,,,,
68,ylg esees,Tes,gte-saues erontes,hesiter,Lettes,Jardin des Plantes,subjugues,ceRtes-,sees lesytege,,,,,,,,,,,,,,,,
69,sian,MIa-,Iai,Ia,ecria,envosre ar Ia,Iavait,miai 18,Deia,Ias,vialime,,,,,,,,,,,,,,
70,Hleuxe-,hl,B,Chlthbre,,,,,,,,,,,,,,,,,,,,,
71,Graneey-,Medilerranee,Granes,Granet,Graneey,douzibeme annee,agrafees,grandeiur,point deraneer,,,,,,,,,,,,,,,,
72,Suisse,Suis-che,Suisses,vonsses,jouissailt,,,,,,,,,,,,,,,,,,,,
73,Ilalienne,LHygiene,Pilale,Ilaliene,Ilalie,de l Ilalie,Ialienines,seienee,alienee,,,,,,,,,,,,,,,,
74,Iamais,Mais-,maison Janrenaud,Jamais,osaa aais-ipaine,-Mais,A dis-sept,,,,,,,,,,,,,,,,,,
75,Quatre-Can-,lac de ] ture,lac des Quatre-Cantons,renoncant,lac des Quatre-Cantonsa,,,,,,,,,,,,,,,,,,,,
76,Humilie,Emilio,Demi- ],familiarite,,,,,,,,,,,,,,,,,,,,,
77,Champfort,Champmesle,Cham-,Champagne,m-,cChambrot,sœur-le-champ,Champs-Élysées,Chambre,,,,,,,,,,,,,,,,
78,entralne,sln',Libral,tralna,,,,,,,,,,,,,,,,,,,,,
79,reputalionsee,Reslauralion,Restauralion,Laure,Trivualio,,,,,,,,,,,,,,,,,,,,
80,popre,pre,presidenee,preiero piece apres,maniPre,gre,io vex pretrs,prelre,,,,,,,,,,,,,,,,,
81,cetle sainte,cetto,cetle,Cetle,A cetle,etle,,,,,,,,,,,,,,,,,,,
82,Savarus,Svarus,,,,,,,,,,,,,,,,,,,,,,,
83,Watteville,Watteille,Manerville,deWatteville,watteville,Iadame do Watteville,Watleville,watteile,Walteville,Wattoville,Watlteville,Wutteville,Wattwville,Wattleville,HÔtel-de Ville,Waltville,maison Watteville,Wattevill,,,,,,,
84,Scey,tceys,J',Eh,Hiaeys,Riceys,,,,,,,,,,,,,,,,,,,
85,tenic,Bugey,ugenie,geneniogies,oiecproeneni,Eugenie,Marie-Eugenie,Bugenie,genie,,,,,,,,,,,,,,,,
86,veemeni,st ous aveepeur d'una lnttel,Avee,avee,,,,,,,,,,,,,,,,,,,,,
87,Romains,Cmedis Mumaine.)86,romaire,aqueduc des Romains,Ainsi-,,,,,,,,,,,,,,,,,,,,
88,A h0pital,Italienne,d'Italie,Italien,tALzAic,P,ESCALIER,Italie,Italiens,ltaliennes,Italiensl,Talma,Italiennes,l'Italie,,,,,,,,,,,
89,sanva,passans,passage Sandrie,Ansbac,Bgypan,,,,,,,,,,,,,,,,,,,,
90,sanctuaire Yoici lai,griseltes de Besancon,A Besancon,Besancon,Bosanco,Desancon,,,,,,,,,,,,,,,,,,,
91,Avez,avez,Avez1 Ville,,,,,,,,,,,,,,,,,,,,,,
92,lrange,Btrangers,Frangais,letranger,range,proligieuxs cbangement,melangee,,,,,,,,,,,,,,,,,,
93,Cour,- Pourqnoi,septiemeiour,Aoures,turna pouir entreir,pouR,tourientc,journalisle,Dour,Tenez-vous-le pour dit,,,,,,,,,,,,,,,
94,hau,hauto,Faut,Cuton,vsoyaut,haut-le-corps,,,,,,,,,,,,,,,,,,,
95,Pere-La-],piresrue,mres,le caire,Ireres,eseree etpesu,riviberes,vire,fgures,lontaires,,,,,,,,,,,,,,,
96,nuit2,niiuie,cuie,inouie,cuduie,,,,,,,,,,,,,,,,,,,,
97,Tinti,Briinen,Caroline,Tine,Usine,satinees,succinet,gomine,,,,,,,,,,,,,,,,,
98,Rupt,upt,do Rupt,,,,,,,,,,,,,,,,,,,,,,
99,Charnathan,aNathan,Nathan,Mathurns,Ies de Nathan,Nathn,,,,,,,,,,,,,,,,,,,
100,cbamhre,fenelre d sa hamhre,la Havane,,,,,,,,,,,,,,,,,,,,,,
101,Bayeux,craoye,ye,sv onnuyes,laye,Genye,viye,,,,,,,,,,,,,,,,,,
102,Duraht,Jura,G,amaht,,,,,,,,,,,,,,,,,,,,,
103,Con-,En-,n-,N-,,,,,,,,,,,,,,,,,,,,,
104,"g.,g",g.F,t0,,,,,,,,,,,,,,,,,,,,,,
105,Sociele des Naufrages,suffages,Naufrages,,,,,,,,,,,,,,,,,,,,,,
106,Brie,rieuse,Andrieux,serieux,danseuse,sieuse,,,,,,,,,,,,,,,,,,,
107,Lh,Belzebulh,lh,,,,,,,,,,,,,,,,,,,,,,
108,renseignemens,momens,leioenseisfeton,condimens,Frnse,torrens,alteignit,serpens,,,,,,,,,,,,,,,,,
109,Hollandais,dEmanda,Irlandais,,,,,,,,,,,,,,,,,,,,,,
110,st s rt es l,st sa,send ssne st l piiei,,,,,,,,,,,,,,,,,,,,,,
111,Eoulogne,Boulogne,bois de Boulogne,ouloir,de Boulogne,,,,,,,,,,,,,,,,,,,,
112,lac des Rouxey,les Rouxey,Rouxey,Les Rouxey,terre des Rouxey,,,,,,,,,,,,,,,,,,,,
113,In chro,lupin,SG G6inr,brin,intrigue2,In,le Rhin,legain,Lekain,Bnfin,temino,thurins,Rhin,,,,,,,,,,,,
114,eoleil,Leil,soleil,Soleil,La Mole-,,,,,,,,,,,,,,,,,,,,
115,.:,"a3
.:;,:,,,,,.:A",E:;:e,"P%2,g,,,,,%;;%,eee",,,,,,,,,,,,,,,,,,,,,
116,fiacre,L2IAC,Iac,Accpt,acsa,,,,,,,,,,,,,,,,,,,,
117,meie esimable,mepriseras:- Ble,Irable chaleur,diableI,bleme,Dudley,ble,le%,Irable,,,,,,,,,,,,,,,,
118,Apprenez,Comprenez,comprenez:-,Eneore,,,,,,,,,,,,,,,,,,,,,
119,Comite-Boucher,Mon cher,Touchee,Boucher,Vauchel-,oher,Touches,,,,,,,,,,,,,,,,,,
120,egee e,eigge,geegggeegee,egee ge btlu los ebz],gggegg,gAgegeeg2,"ge,;g",gggegee,g2âge,,,,,,,,,,,,,,,,
121,Cimaros,Art,martrs,mart,ar6s,Impartial,,,,,,,,,,,,,,,,,,,
122,amur,Mu,Schmuke,,,,,,,,,,,,,,,,,,,,,,
123,R MIcuB,Dicu,Dijon,,,,,,,,,,,,,,,,,,,,,,
124,justile,Dilet,Tilet,sortileges,,,,,,,,,,,,,,,,,,,,,
125,Marseille,Iareille,A Iareille,,,,,,,,,,,,,,,,,,,,,,
126,Comite-Chavoncourt,Chavonicourt,Chavocourt,Chavoncourt,ons as ctourt,chavcourt,Chavon-,Chaoncourt,,,,,,,,,,,,,,,,,
127,Lovelace,Colouua,Shyloek,loba,Lo,louna,los ebz,,,,,,,,,,,,,,,,,,
128,E SICLE,L SIkcLE,SIBCLE,de la Sicle,B SIcLE,Cle,Sicle,,,,,,,,,,,,,,,,,,
129,Quillet,ti brille,Tillel,Tillet,Iillet,Nilla-Diolati,Gentillet,,,,,,,,,,,,,,,,,,
130,appa-]-Bt,tintemens,bapteme,Appartement,apparal,Dpartemental,,,,,,,,,,,,,,,,,,,
131,A0,"g.leeggegg,,g,-,g,]L","y,,g","eeegg,,gg","g,,gg",,,,,,,,,,,,,,,,,,,,
