cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0.0,Autriche,Clichy,autriche,,,,,,,,,,,,,,,
1.0,Bugenie,ugenie,genie,Eugenie,Bugey,,,,,,,,,,,,,
2.0,Neue-es-,ru-es,,,,,,,,,,,,,,,,
3.0,bhanquier,Qui,benquier,,,,,,,,,,,,,,,
4.0,Dauphin,Dauphine,,,,,,,,,,,,,,,,
5.0,lix,Felix,,,,,,,,,,,,,,,,
6.0,Vandenesse,Wandenesse,Vande-,bandenne,Yandenesse,Vandenessse,jurisprudenee,,,,,,,,,,,
7.0,Suisse,Suisses,jouissailt,suii,,,,,,,,,,,,,,
8.0,Celte severe,Celte,severe,atee  e semut,,,,,,,,,,,,,,
9.0,Neufchatel,hate,Neufchlel,,,,,,,,,,,,,,,
10.0,presenter,presentil,"P' jE t- nss
onnii id prester",argenterio do tamille,Sentez,,,,,,,,,,,,,
11.0,mone,Io monet,eune monsiour do Soulas,Io monet rexr ao vndenese30,uno mobilite feb ile,,,,,,,,,,,,,
12.0,Genbve,Genye,Genbeve,,,,,,,,,,,,,,,
13.0,gne,Cygne,,,,,,,,,,,,,,,,
14.0,tunel,tortune,,,,,,,,,,,,,,,,
15.0,aaitbdALBERT,Albertauraitgimile,ALBBRT.y,Albeit,enthousiasmeALBERT,Spielberg,,,,,,,,,,,,
16.0,Mathurns,thurins,Frnse,,,,,,,,,,,,,,,
17.0,brossee,Rossni,ivartisseent,Rmssee,,,,,,,,,,,,,,
18.0,jardih,Jardin des Plantes,tour dujardin,,,,,,,,,,,,,,,
19.0,Touches,Vauchel-,Touchee,Comite-Boucher,Boucher,,,,,,,,,,,,,
20.0,Ceciles,Iuliles,Saintes-Ceciles,2:2::EECI,,,,,,,,,,,,,,
21.0,yisont le eaer,Bisontins,Bisontins no ly,Tnti,Tinti,,,,,,,,,,,,,
22.0,do l'Est,inlerels do l'Est,,,,,,,,,,,,,,,,
23.0,Thetre,Thettre,pout-etre,Thetre-,etres-unis,,,,,,,,,,,,,
24.0,le Corso,Corso,trsos,le caire,,,,,,,,,,,,,,
25.0,largens,Ruhens,"pensa-t-
- Poterol",niens,renseignemens,momens,torrens,Tiens,condimens,ensoe,leioenseisfeton,serpens,,,,,,
26.0,Leonarde,gard,bard6,egaree,,,,,,,,,,,,,,
27.0,enfant.-,renoncant,Nantua,Brabant,Fantaisie,,,,,,,,,,,,,
28.0,Reli-,Religion,celi,,,,,,,,,,,,,,,
29.0,Ainsi-,Asilotinsie,Si-,,,,,,,,,,,,,,,
30.0,iorsl iir,Iir,F iiCGiG,i ii,,,,,,,,,,,,,,
31.0,Dent de Vilaird,ase abt6 do la Dent de Vilard,,,,,,,,,,,,,,,,
32.0,Spleen,oxceple,Ple,sculple,tiaple,,,,,,,,,,,,,
33.0,pouR,Dour,- Pourqnoi,Tenez-vous-le pour dit,septiemeiour,journalisle,Pouvoir,,,,,,,,,,,
34.0,Brie,brin,Mairie,Briinen,,,,,,,,,,,,,,
35.0,Deia,,,,,,,,,,,,,,,,,
36.0,mart,Art,martrs,,,,,,,,,,,,,,,
37.0,lac des Quatre-Cantons,lac des Quatre-Cantonsa,Quatre-Can-,lac de ] ture,,,,,,,,,,,,,,
38.0,Na-,"ana-
 ysitl",,,,,,,,,,,,,,,,
39.0,gggegee,geegggeegee,gggegg,eigge,gAgegeeg2,,,,,,,,,,,,,
40.0,Nucingen,Nuciogen,Nucingon,cingen,Nucinge,,,,,,,,,,,,,
41.0,cesi1,nesiue,Desir,Desque,seides,grndes,,,,,,,,,,,,
42.0,Nalhan,alhanut,,,,,,,,,,,,,,,,
43.0,Bourg,Bourgeois,Bourse,Strasbourg,,,,,,,,,,,,,,
44.0,tceys,Riceys,Scey,Hiaeys,,,,,,,,,,,,,,
45.0,aoul,Raoul,Iaoul,Raouil,,,,,,,,,,,,,,
46.0,Emilio,abbe,Humilie,Demi- ],familiarite,,,,,,,,,,,,,
47.0,sausaiianta,brillanta,ti brille,Nilla-Diolati,,,,,,,,,,,,,,
48.0,Penuse,TuSe,nii di a inpenare,benu,,,,,,,,,,,,,,
49.0,Manerville,HÔtel-de Ville,Wattwville,Watteille,Wattoville,Waltville,Avez1 Ville,Watleville,Wattleville,,,,,,,,,
50.0,monie,Moniteur,coniugal,Sidonie,lironie,,,,,,,,,,,,,
51.0,Parisien,Paris,Parisicns,Parisiennes,,,,,,,,,,,,,,
52.0,legain,aGaiGrGGi,Lekain,legr,,,,,,,,,,,,,,
53.0,Tillet,ontpre-UNE FILLE D'EL,dx-huit cent mille trancs,Gentillet,Quillet,Tillel,Raille,Iillet,,,,,,,,,,
54.0,Naples,ples,do Niples,nohles,,,,,,,,,,,,,,
55.0,egee e,egee ge btlu los ebz],etiee zee g,los ebz,,,,,,,,,,,,,,
56.0,Chavocourt,Chavoncourt,chavcourt,Chavonicourt,Chavon-,Chaoncourt,Cour,Comite-Chavoncourt,,,,,,,,,,
57.0,deix,,,,,,,,,,,,,,,,,
58.0,Iavait,avaiont,travaileur,avaienl,,,,,,,,,,,,,,
59.0,meltre,meltra,,,,,,,,,,,,,,,,
60.0,allee,Allemand,allees,,,,,,,,,,,,,,,
61.0,Avez,avez,,,,,,,,,,,,,,,,
62.0,Doubs,du Doubs,,,,,,,,,,,,,,,,
63.0,mOi-,temoin,nuit2,Neanmoins,tOi-,,,,,,,,,,,,,
64.0,alpes,Alpes,,,,,,,,,,,,,,,,
65.0,serva,deserte,ceRtes-,,,,,,,,,,,,,,,
66.0,dranaes,iran,Irappent,Girar-,Irancs,rantiras,,,,,,,,,,,,
67.0,Ia tte de san,baie de Nuples,riolece de lorag,rue du Perron,rue de Ne-,manege de la vie,ne-,Je N,rue do cliehs,oup de deux heu-,rue asseu-Rempart,evue de 'Est,,,,,,
68.0,Talma,tALzAic,,,,,,,,,,,,,,,,
69.0,Philomno,Philomue,Phi-,hilmee,Philombne,Philombene,Philomlne,hilomae,Philomn,Philo-,,,,,,,,
70.0,Leloquence,Rodolhe interloque,deuxinterlo--,Rodolhe,,,,,,,,,,,,,,
71.0,de la Sicle,B SIcLE,Sicle,E SICLE,,,,,,,,,,,,,,
72.0,ylg esees,les letlres,sees lesytege,,,,,,,,,,,,,,,
73.0,derouter,Pere-La-],Perou,Jerome,Per-,,,,,,,,,,,,,
74.0,ffianie,tyranie,sian,niaianaaani.aniiiGit',,,,,,,,,,,,,,
75.0,patti,paratt,avatt,attentioi,,,,,,,,,,,,,,
76.0,quai Conli,Conli,laquais,,,,,,,,,,,,,,,
77.0,Granet,Granes,Graneey,Medilerranee,Graneey-,ieeye,Franeesca,point deraneer,,,,,,,,,,
78.0,sa]- Oui,OUi-,EIle nest ouiouirs pss nee,- Oii,Mfadr,,,,,,,,,,,,,
79.0,--Gina,sinau aesnior,Perugin,,,,,,,,,,,,,,,
80.0,cGGEiiiGG,gPeeggA iiiiiiE.GiGGaiG,wiiiipisd,GinGiiiiGGiti,iiiiG,A iiraia-l as ioiiiiiiannioieaiiiraniaiisinisioniALERT,iiiia,viiiille,Iimniiie,,,,,,,,,
81.0,"yeu
e narais ianais cru",Fanais,Franais,nais,,,,,,,,,,,,,,
82.0,ambilieux,Bayeux,laye,Hleuxe-,,,,,,,,,,,,,,
83.0,Angleterre,aeugle,lAnglelerre,,,,,,,,,,,,,,,
84.0,st ous aveepeur d'una lnttel,Avee,avee,,,,,,,,,,,,,,,
85.0,auteuil,teut,luil,,,,,,,,,,,,,,,
86.0,amur,Muriec,tourientc,,,,,,,,,,,,,,,
87.0,",gggA.el FGnG'a'iGs Gi
-,,1Ci",iGs Gi,gggA,,,,,,,,,,,,,,,
88.0,"naiia iihi
Iere",Hier,Arcier,fier,niere,Acier,NEE VIIERCAII,entiere,pemiere ioie ue,io ae tier,,,,,,,,
89.0,Jura,amaht,Duraht,,,,,,,,,,,,,,,
90.0,Solas,Massol,terrasso,Assis,,,,,,,,,,,,,,
91.0,Naha,Nahan,,,,,,,,,,,,,,,,
92.0,Espagnols,espe-3iL,L'Espagne,Espard,Piemont el d'Espagne,,,,,,,,,,,,,
93.0,Lindulgence,ilge,lIndustrie,Experience,,,,,,,,,,,,,,
94.0,eoleil,soleil,eceole,Soleil,Leil,,,,,,,,,,,,,
95.0,oecupee,occupes,Poppee,vecu,aspeet,,,,,,,,,,,,,
96.0,iiisi iya ns anroci,Iis,,,,,,,,,,,,,,,,
97.0,Bruel,mouel Y,i nrue,,,,,,,,,,,,,,,
98.0,offtrandes,fodre iside pir plis ke fos vrandes I1,grandeiur,Grandlieu,fronldes grands hommes,,,,,,,,,,,,,
99.0,Andrieux,rieuse,serieux,sieuse,danseuse,,,,,,,,,,,,,
100.0,Iemme,somme,la somme,,,,,,,,,,,,,,,
101.0,Lae Majeur,lac Majeur,sajeu-,,,,,,,,,,,,,,,
102.0,SAYARU,Russe,Svarus,Savarus,,,,,,,,,,,,,,
103.0,gand,Normandie,Qand,Ferdnand,Andantsz,dEmanda,,,,,,,,,,,,
104.0,toile de Ilollandel,Hollandais,Irlandais,,,,,,,,,,,,,,,
105.0,osaa aais-ipaine,Cmedis Mumaine.)86,Milaiais,milaine,Napolilain,,,,,,,,,,,,,
106.0,varitablo,S'etablir,etablis,,,,,,,,,,,,,,,
107.0,Francais,Thetre-Francais,francais,,,,,,,,,,,,,,,
108.0,noblo,ridee,noblos idees,,,,,,,,,,,,,,,
109.0,Illle,llla,llle,olle,,,,,,,,,,,,,,
110.0,Moyen-Âge,g2âge,En-,,,,,,,,,,,,,,,
111.0,Watlteville,Wattevill,deWatteville,Walteville,Watteville,watteville,maison Watteville,Iadame do Watteville,Wutteville,,,,,,,,,
112.0,Grande Chartreuse,De la Grande-Chartreuse,Chartreuse,Chartreux,Chartreax,,,,,,,,,,,,,
113.0,pognie,aceompogne,Campes-Hailyssdes,campogne,Camps,Lamporaui,,,,,,,,,,,,
114.0,venez  lhotel de Rupl,Apprenez,comprenez:-,Comprenez,,,,,,,,,,,,,,
115.0,gr  eoereee s mr y-s y-,exageree,viagere,eseree etpesu,,,,,,,,,,,,,,
116.0,succinet,lesracines,viie,,,,,,,,,,,,,,,
117.0,Boheme,CpDmpte,bapteme,tintemens,bleme,,,,,,,,,,,,,
118.0,loeis,Shyloek,,,,,,,,,,,,,,,,
119.0,aqueduc des Romains,Romains,romaire,,,,,,,,,,,,,,,
120.0,menl,Ah6meno,autremenl,veemeni,Autre,Utrecht,,,,,,,,,,,,
121.0,As-tu ta,Ras-,braset lamena,,,,,,,,,,,,,,,
122.0,requetes,Quels,requeles,,,,,,,,,,,,,,,
123.0,Quoiqu,Quoiue,indiquanlt,poliliquo,,,,,,,,,,,,,,
124.0,Comnte,comnime pet,nimosamnis,AimE',,,,,,,,,,,,,,
125.0,deentree,deenir,turna pouir entreir,,,,,,,,,,,,,,,
126.0,Iaqellela,ellE n-,ellE,l4elle,choef da Son Ecellence,laguelle,c6elle,lquelle,Montemnisselle,laielle,I::ELLE,ElLe,fit-lle,EllE,turelles,Telle,Schmuke,Vauchelles
127.0,bois de Boulogne,ouloir,Boulogne,de Boulogne,Eoulogne,,,,,,,,,,,,,
128.0,Prefecture,Prefeclure,Prefeclure eprouva lo,,,,,,,,,,,,,,,
129.0,blesse,blessee,Noblesse,Nobles,Noblesso,,,,,,,,,,,,,
130.0,le Rhin,Rhin,,,,,,,,,,,,,,,,
131.0,it Francesca,Tances,caleche Francesca `divinemiint mise,naivemenl Francesca,Francesca,Francescea,FrancescaI,C9SCa,Francescn,,,,,,,,,
132.0,cuduie,niiuie,cuie,inouie,,,,,,,,,,,,,,
