cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
0,Autriche,autriche,,,,,,,,,,,,,,,,,,,,,,,,
1,leresle,gsle,les letlres,Tuileries,Angleterre,aeugle,inlerels do l'Est,sln',fleuree,colere,leslevres,volers,lAnglelerre,Lendres,,,,,,,,,,,,
2,got,p6-,Gothard,gota,,,,,,,,,,,,,,,,,,,,,,
3,Neue-es-,nesiue,aueun,ieuesso,ne-,Neuve-des-Ma-,pingeuieues,ru-es,subjugues,,,,,,,,,,,,,,,,,
4,Dauphin,Phi-,Dauphine,,,,,,,,,,,,,,,,,,,,,,,
5,Vandenesse,Wandenesse,Vande-,la Havane,send ssne st l piiei,comtesse de Vande-,bandenne,Yandenesse,Vandenessse,Io monet rexr ao vndenese30,gondesse,,,,,,,,,,,,,,,
6,aoul,vroulut,Raoul,ouloir,toul,bult,Iaoul,Raooul,vOulez,suls,Raouil,Coulis-,Mulhouse,,,,,,,,,,,,,
7,Marsay,SAYARU,Ayg,Gersau,Mars,Cimaros,,,,,,,,,,,,,,,,,,,,
8,Beau-,beacoup,Beauffremont,bau-,Eau,Frace u beaunom,chteau,,,,,,,,,,,,,,,,,,,
9,gr  eoereee s mr y-s y-,Ee,brossee,ae ien aire eee,gaee,Ate.s eeeg,Aoeel,oecupee,eiee  aest yvggntsuee,ridee,mol mystee I,Poppee,deentree,youee,jouee,eeee,ePseeee,lnee,aspeet,etiee zee g,2:2::EECI,Bee,Rmssee,ellE - eee eeegi e]   ueae yeuessea,,
10,Celte severe,Celte,severe,Epictele at Spar-,atee  e semut,,,,,,,,,,,,,,,,,,,,,
11,N1ai,CE1a,N1,,,,,,,,,,,,,,,,,,,,,,,
12,aaitbdALBERT,Albertauraitgimile,ALBBRT.y,Albeit,Aa,enthousiasmeALBERT,J-,,,,,,,,,,,,,,,,,,,
13,cesi1,Ceciles,sueces1 Blle,eceole,Iuliles,Saintes-Ceciles,vicilles,y-,,,,,,,,,,,,,,,,,,
14,Thetre,Chlthbre,strete,Thettre,Thetre-Francais,Theatre,thelres,Rhetore,pout-etre,Thetre-,etres-unis,,,,,,,,,,,,,,,
15,Lae Majeur,lac Majeur,sajeu-,,,,,,,,,,,,,,,,,,,,,,,
16,Leonarde,jardih,gard,bard6,Espard,Argaiolo,Hasard,egaree,,,,,,,,,,,,,,,,,,
17,S,Solas,irola,Soulas,La Mole-,Massol,lasoirde,Leopola,,,,,,,,,,,,,,,,,,
18,Ministere,Tre Monasteri,deuxinterlo--,contrister,misre,.m',mystere,caratere d'in yjoe,iruiste,temino,Interets,,,,,,,,,,,,,,,
19,Ilaliene,ambilieux,Ialienines,Sicilienne,ltaliennes,entralne,Humilie,alienee,Ilalienne,Ilalie,de l Ilalie,,,,,,,,,,,,,,,
20,pouR,Dour,- Pourqnoi,Tenez-vous-le pour dit,tour dujardin,Aoures,septiemeiour,surloul,Cour,Pouvoir,tourientc,turna pouir entreir,,,,,,,,,,,,,,
21,le Corso,B,Corso,trsos,daecord,mrs,,,,,,,,,,,,,,,,,,,,
22,Lu-,bu-,Ou-,amout,Lecou-,,,,,,,,,,,,,,,,,,,,,
23,menl,Ah6meno,cenl,momens,autremenl,enlrer,denle,veemeni,avaienl,condimens,Nl,,,,,,,,,,,,,,,
24,Manerville,serva,Eternel,ner,Nevers,Medilerranee,binel d'Alhert,scne,Rhne,Gouvernement,Nerlve,trne,point deraneer,Lucerne,,,,,,,,,,,,
25,lac des Quatre-Cantons,lac des Quatre-Cantonsa,Quatre-Can-,,,,,,,,,,,,,,,,,,,,,,,
26,Nucingen,Lindulgence,succinet,benu,Nuciogen,Nucingon,cingen,Nucinge,,,,,,,,,,,,,,,,,,
27,Bourg,Bourgeois,Bourse,Strasbourg,,,,,,,,,,,,,,,,,,,,,,
28,tceys,Riceys,Scey,Hiaeys,,,,,,,,,,,,,,,,,,,,,,
29,Les negocians,dranaes,Granet,offtrandes,Granes,Graneey,grandeiur,Graneey-,lesracines,agrafees,Graces,Grandlieu,fronldes grands hommes,,,,,,,,,,,,,
30,iorsl iir,Iir,II,cGGEiiiGG,gPeeggA iiiiiiE.GiGGaiG,"naiia iihi
Iere",wiiiipisd,iiisi iya ns anroci,Gii,iiiiG,viie,suii,Iis,A iiraia-l as ioiiiiiiannioieaiiiraniaiisinisioniALERT,i ii,- Oii,NEE VIIERCAII,iiiia,viiiille,Diion,Iimniiie,,,,,
31,T6,C6t6,,,,,,,,,,,,,,,,,,,,,,,,
32,monie,Mont-Cenis,Moniteur,aroon di nof nis ionii,coniugal,sonnie,reunion,Sidonie,lironie,,,,,,,,,,,,,,,,,
33,z:::t,E,"G1:::,%",,,,,,,,,,,,,,,,,,,,,,,
34,egee e,gggegee,geegggeegee,egee ge btlu los ebz],"ge,;g",exageree,"g.leeggegg,,g,-,g,]L","eeegg,,gg",gteleygee,g2âge,Bugey,gAgegeeg2,,,,,,,,,,,,,,
35,Io,diocbese,Iod,io,sion,Ioeux,Trivualio,"biiou
-",Aiosi,,,,,,,,,,,,,,,,,
36,Parisien,Paris,Parisicns,Parisiennes,jurisprudenee,,,,,,,,,,,,,,,,,,,,,
37,Dilet,Tillet,justile,ti brille,Gentillet,Quillet,sortileges,Tillel,Tilet,Iillet,,,,,,,,,,,,,,,,
38,Gandolphini,gand,Normandie,Qand,giitantBesangan,indiquanlt,Ferdnand,GANCY,Andantsz,dEmanda,,,,,,,,,,,,,,,,
