cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0.0,Ebastantes,casoa de castanh,nntes,,,,,,,,,,,
1.0,Clarn,capcla,olaro,Clara,,,,,,,,,,
2.0,ma intimativa,i mata,neiva,sn intimo,,,,,,,,,,
3.0,covent,Convente,frentc,Entro,"venturus de
qne",,,,,,,,,
4.0,Tenho,Tenha,,,,,,,,,,,,
5.0,tanbem,Tanbem olle,Tanbem,Tunbem,Tamnbem,,,,,,,,,
6.0,murmuron,ribeira mnirmura,volho muro,,,,,,,,,,,
7.0,atordoa,Ordom,,,,,,,,,,,,
8.0,alegre,Alegre,Alemtejo,,,,,,,,,,,
9.0,Porquo,porqus,porquo,quoe,Porque,porqo,porqna,,,,,,,
10.0,kEu heide zmar,lueide,,,,,,,,,,,,
11.0,doeixasse,Doeixar,Socegasse,ass,,,,,,,,,,
12.0,Mlma,Se Mlma,,,,,,,,,,,,
13.0,conts,condusin,Conte-me,"obsossiva idoia pre
jetos som conto",conton,Continuari,contrafszer,,,,,,,
14.0,i cara,ITrocaram-ma,Ccin dos Cardenes,Paraizo,,,,,,,,,,
15.0,Comreendia,doscendia,Candia,Endireitei-mo,,,,,,,,,,
16.0,acdia,aldia,DIAkIO l CHIY1,onedia,perfidia,Podia,"irremediavois
seatracies",,,,,,,
17.0,ACINICID,Inil,Cacilda,Tejo,,,,,,,,,,
18.0,Anda,vianda,randa,Andavs,donda,Finda,Candido Gnarrairo,,,,,,,
19.0,liavia,lavia,,,,,,,,,,,,
20.0,filla,llane,filbo,alla,,,,,,,,,,
21.0,forncira,cstrungcira,,,,,,,,,,,,
22.0,ilusao,desilusoes,,,,,,,,,,,,
23.0,"cat
gne ceu","S


Ce",,,,,,,,,,,,
24.0,diidn qus,Reeolhi,Salhir,recolhidns,colunus,joeundns,,,,,,,,
25.0,cordialmnente,entee,mne,,,,,,,,,,,
26.0,Edara,Cuidaram,Cuidav,,,,,,,,,,,
27.0,Iadamente,Folizmente,Surrateiramente,docididamento,ciments,Verdadeiramente,inconsciontemento,,,,,,,
28.0,rovista,Ista,,,,,,,,,,,,
