cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0,ma intimativa,iltima,"np nmavel dn sim-
patia",sn intimo,,,,,,,,,,,,,,,,,,,
1,Ia,acdia,Olriado,liavia,deseonfianga,aldia,Tnzia,Dizia,MIas,iaiiaas,choia,tnsia,Infias,onedia,aguia,lavia,perfidia,CIA1NA,MIaud,IA,,,
2,murmuron,mulhcr,L,ur,volho muro,,,,,,,,,,,,,,,,,,
3,alegre,Alegre,Tigre,,,,,,,,,,,,,,,,,,,,
4,Eduarda,Eduuarda,Bernardas,Ednarda,luarda,Edusrda,Vardade,,,,,,,,,,,,,,,,
5,Voja,jad,Vou,i igroja,,,,,,,,,,,,,,,,,,,
6,sinha,visinho roino,Minha,Miguelsinho,Tenha,casinha tarrea,"emperga
minhadu",cpunham,Iinha,,,,,,,,,,,,,,
7,cntretida,Id,segida,lueide,bntida,Madrid,solidio,"belo
idoal",Inolvidavel,fidalg,cstidvs,,,,,,,,,,,,
8,Ins,Incte,rosnaninho incensvam,Inzitns,joeundns,Deans,insia,reticencins,Peninsula,instrme9,Nns,,,,,,,,,,,,
9,Lis,Lisboa,LishOs,DLI,,,,,,,,,,,,,,,,,,,
10,Anda,vianda,randa,Andavs,Que grande cnlpa,donda,Candia,Finda,,,,,,,,,,,,,,,
11,fxav,pavr,pa,vr,Papi,Gavny,,,,,,,,,,,,,,,,,
12,Manoola,MInnoola,,,,,,,,,,,,,,,,,,,,,
13,doeixasse,Doeixar,doeuca,,,,,,,,,,,,,,,,,,,,
14,Edara,Cuidaram,ITrocaram-ma,Cuidav,oearamanchio,,,,,,,,,,,,,,,,,,
15,cordialmnente,Iadamente,Folizmente,Surrateiramente,entee,Qudinte,docididamento,"visinho cemiterio grasnaram agoi-
rentamente",ciments,Verdadeiramente,nevada,,,,,,,,,,,,
16,quno fa,unova,nova companhoira,lovar,,,,,,,,,,,,,,,,,,,
17,propriedadcs,piedade,piodade,despedaoar,,,,,,,,,,,,,,,,,,,
18,Ama-Rita,Ama-Rita  Sentia,Ama-Rtita,Adens Ama-Iita,i,,,,,,,,,,,,,,,,,,
19,diidn qus,iim,Iierdudo,Iivro,Ii,siio,baliio,II1I,regiio,,,,,,,,,,,,,,
20,Gertrndos,"Gertrndos
arolha",Dosde,,,,,,,,,,,,,,,,,,,,
21,Mnnoel,Mnnoal,Innoel,,,,,,,,,,,,,,,,,,,,
22,oltei,tei,mnde inteiro2,qte,qtte,arrebatei-lha das maos,Endireitei-mo,Teza,AEI,,,,,,,,,,,,,,
23,Md,terra,Inglaterra,terrn,Iuglaterra,terra auliga,berrari,,,,,,,,,,,,,,,,
24,qno,norvos,igno,qno foera,Qnom,,,,,,,,,,,,,,,,,,
