cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,nenhma,Tenha,nenhm,a9,mns,nonhma,,,,,,,,,,
1,inufancia,mulhcr,repungnanci,"de
criancicc",intancia,brancn,UO,Lanco,,,,,,,,
2,casariio,mo,Sari,Casar,easa,Dispensariam,,,,,,,,,,
3,Atraz,passo atraz,RS Otras,"irremediavois
seatracies",mne,I83,tra,qte,,,,,,,,
4,MIas,Infias,MIaud,sa,,,,,,,,,,,,
5,Nontc do Inferno,Ionta do Iferuo,Oh,Teresita do Iurleiro,Inferne,Fonte do Iwferno,,,,,,,,,,
6,Soror Gortrudes,Soror Gertrudes,Gortrudes,Soror,joeundns,,,,,,,,,,,
7,Innoel,trinnfaute,Mnnoel,MInnoola,Ohl,Mnnoal,Prtsa,,,,,,,,,
8,terra auliga,terra,terrn,So,Iuglaterra,berrari,Inglaterra,,,,,,,,,
9,Surrateiramente,Iadamente,Fugiram,Verdadeiramente,Io,,,,,,,,,,,
10,satisfaia,tisica,Dasatou,satisfoito,,,,,,,,,,,,
11,Sanhora do Castelo,"se-
nhora morgada",Senhora do Castelo,"Senhora de invoea-
cio divexrsa",sc,casoa de castanh,tm,,,,,,,,,
12,Choravam,Cho-,Fechou,choia,filbo,,,,,,,,,,,
13,vorgoha,escrovor,orglhosa,qtte,,,,,,,,,,,,
14,Rezava,ponsava,Teza,,,,,,,,,,,,,
15,Tari,propietario,arrustar,cari,Paris,tardari,Tar0,,,,,,,,,
16,poudo,Iierdudo,"cn 
e eee",Fechaudo,Yi,Sobretudo,vagabuudo mar,,,,,,,,,
17,vontade2,votade,OhI.,Id,cadete,bahs,Easgotado,,,,,,,,,
18,Qnando,qna,nana,abandoo,,,,,,,,,,,,
19,santa oasa,"Santas
Terezas",santa refletia,cantarl,Qnantas,,,,,,,,,,,
20,ravol,miseravol,,,,,,,,,,,,,,
21,"S


Ce","cat
gne ceu",,,,,,,,,,,,,,
22,ass,Socegasse,passadc,fe,patuscadass,,,,,,,,,,,
23,U Raquel,Iaquel,aquelle,Ol,lovantar daquelle,daquello pedaco,Ruuel,Aquella,Aquellas,naquella ocasino,Aquelles,daquelle,,,,
24,Ea,pa,Coimhra,"eryAal
ll",ILra,"Coito
Coimobra",somhra,Coimbra,,,,,,,,
25,feit0r,pnieo,engeitar,IeIt,,,,,,,,,,,,
26,terir,Cederia,Queria,Seri,materialisar,labiosito ainln erianeil,im,,,,,,,,,
27,Eduuarda,Bernardas,Eduarda,Inzitns,Tnzia,Ednarda,Edusrda,luarda,,,,,,,,
28,gauhar,comunidado,S6d,"minhs
idado",gunrdados,brunida,,,,,,,,,,
29,ralle,alle,alla,fllha clle,lle fugirl,H6je,,,,,,,,,,
30,arrebatei-lha das maos,"cenpola da
n DA IA",sino da igraja,"Luisa da
Roda",,,,,,,,,,,,
31,capela da cnsa,Em cnsa,cnsa,tr cnsinado,,,,,,,,,,,,
32,Christinae,Christina,nio desistin,Assistin,hmr,Clristina,Chistina,,,,,,,,,
33,Conselhos,Aconselhava-a,Conseguira,,,,,,,,,,,,,
34,s6va--,Faulava-ms,uiiula Ruuel,Fitava-n,Lembrava-so,,,,,,,,,,,
35,regiio,siio,Depeis,baliio,IIO LA,Ii,,,,,,,,,,
36,grandea do dolito,Que grande cnlpa,Deans,"grande
nogueira",,,,,,,,,,,,
37,Dcecerto,esgueceri,Dcecerto nio,fortaleceru,Desconcertada,Docerto,,,,,,,,,,
38,Ohico,Chica,I500,"AHICA
2s",Chico,DU chICA,,,,,,,,,,
39,llane,pe dolla,aiqolla,io,olla,Serra da lEstrolla,filla,,,,,,,,,
40,Nuncu,nanh,manhai,cpunham,manhi,humane,mania,Espanha,,,,,,,,
41,Tambcm,ambem,tambom,Camboro,,,,,,,,,,,,
42,Agorae,agorn,agorn qne,Iivro,naifrago,,,,,,,,,,,
43,"obsossiva idoia pre
jetos som conto",conts,conton,Conte-me,Continuari,contrafszer,Bam,condusin,,,,,,,,
44,Mloeidada,bntida,chhao,Cuidav,segida,fidalg,Inolvidavel,Lima VIdal,cntretida,,,,,,,
45,sta inocencia,sa iuteligencia,diligencia,ossa consciencia,religino,,,,,,,,,,,
46,hispeda,ispera,"Pros-
pera",esperasso,Prospere,,,,,,,,,,,
47,ur,"belo
idoal",si-,pombel,dnelo,,,,,,,,,,,
48,horrorisado,horror1 Pos,corro,,,,,,,,,,,,,
49,sinha,"emperga
minhadu",Iinha,I00,casinha tarrea,c6ro,Minha,,,,,,,,,
50,estudnr,Im,este9,ests unic,oste,dc,qnestes,,,,,,,,,
51,nuio,It0,Md,uem,sb n,,,,,,,,,,,
52,damasco,Piscoa,pavr,Gvio-Vascos,,,,,,,,,,,,
53,mulheraes,maes,Lniz de Nagahaes,belaes,praes qne,aes,,,,,,,,,,
54,Nio,qe nio,"nio
comprecndernm",Ms,nio,,,,,,,,,,,
55,Ielro Cemn,Menino Jesus do Milagro,Dens do ceo,Dens,Sauades do Cei,endoideccida do con-,tcares do oiro,,,,,,,,,
56,Pois,Ois ds Pohres,Coisas,,,,,,,,,,,,,
57,tndo,mndo,pr,iri lindol,apaixondo,,,,,,,,,,,
58,Deus.-,Adeus,Deusl,,,,,,,,,,,,,
59,morro do saidades,propriedadcs,piedade,piodade,Vardade,"MIHII1
ma saudade",,,,,,,,,,
60,Mlma,Se Mlma,luzcs,,,,,,,,,,,,,
61,Iaoela,Maoela,mao,Mlaneoela,"N01ELAS
MA


L v",,,,,,,,,,,
62,buliosas,rosatd,Atd,Eros,,,,,,,,,,,,
63,donda,Andavs,Anda,Candido Gnarrairo,vianda,randa,duns,DLA,Finda,,,,,,,
64,EITICIR,cstrungcira,A1 ITICIR,Ticn,ITICRIRA,,,,,,,,,,,
65,Llniais,niaia,Lnis,"Pa-
dro Jose
nIAIU L CRIAI",ilusao,vr,,,,,,,,,,
66,Ins,instrme9,insia,vasia,cosia,tnsia,Peninsula,ipocrisia,,,,,,,,
67,Convente,Entro,entee,nntes,cordialmnente,Folizmente,,,,,,,,,,
68,CIA1NA,oonheci,Esouecia,erecia,Desconhecia,,,,,,,,,,,
69,uao,inflnem,Qnem,Qne,qnem,Nemn,qne,Nem,,,,,,,,
70,1E,proxima,Prosporo,i igroja,profundezus,lagrimas,po,"vin-
dima",iltima,,,,,,,
71,Vai-to,sotrer,"fni
i oestrebaria",Estremoz,Estremecia,,,,,,,,,,,
72,U0,Fsplendores do acerdocio,Fsplendores,flores,DLI,violenoia,,,,,,,,,,
73,Cuntos,aftos,mae,Sim,Emqunnto,Nto,,,,,,,,,,
74,Terezinha,pilids Terezinha,Terezinlia,Torezinha,"eston n vera
Terezinha",Pobre Terezinha,"leema da
Terezinha",Tarezinha,,,,,,,,
75,ma intimativa,i mata,sn intimo,Brnnswick,neiva,,,,,,,,,,,
76,coa,dnas,II1I,alnas,es,Apanas,dornas,ji qunasi,,,,,,,,
77,Triste,triste,"tristez da
minha vida",,,,,,,,,,,,,
78,atordoa,Iab6r,Ordom,,,,,,,,,,,,,
79,"taberna
do Goitoso",Gaitoso,Goitoso,,,,,,,,,,,,,
80,qio om breve,rio om folgada,so om,,,,,,,,,,,,,
81,oxpiaco,nacacos,tr,Iacos,lacos tao,,,,,,,,,,,
82,florida:--,lorida,azas:--,,,,,,,,,,,,,
83,N0,sahir,Sahi,Dahi,sahiu,.----,ahi,Sahir,,,,,,,,
84,Acordara,reordacno,aeorda,eoro,Reeordava,gorda,,,,,,,,,,
85,us,Mnria,Olriado,Sofria,ue,CRIAC,sabcdoria,gria,s6,sta momoria,quria,ma crianca,Sorria,ma,Iria,Mariac
86,IxuIsS,mis,osso moio,snbmisso,Dissoram-lhe,,,,,,,,,,,
87,"quasi
odiento",jd,Quasi,Qasi,quas nio,,,,,,,,,,,
88,vao elle,aqelle,aqnelle,Ello,elle,so delle,rua onda elle,IO,volta delle,,,,,,,
89,Alemtejo,7s,Tigre,alegre,Alegre,,,,,,,,,,,
90,nio vissa,cssa,vissa,quc,,,,,,,,,,,,
91,sa pessoa,vera pessia,"dnma pess6a
qno",pes,,,,,,,,,,,,
