cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
0,ma intimativa,iltima,Lima VIdal,tinlam,"np nmavel dn sim-
patia","vin-
dima",sn intimo,Tinlma,"mn
gesto implorativo",,,,,,,,,,,,,,,,,
1,Ia,Iab6r,liavia,aldia,Tnzia,Dizia,Creia,iaiiaas,Veia-lhe,Diabo,tnsia,Eia,Infias,onedia,aguia,Diabso,perfidia,CIA1NA,IA,,,,,,,
2,murmuron,mulhcr,ur,volho muro,,,,,,,,,,,,,,,,,,,,,,
3,Porquo,porqus,porquo,UO,quoe,Porque,porqo,porqna,Quixora,,,,,,,,,,,,,,,,,
4,Eduarda,Edara,L,Eduuarda,Ednarda,luarda,Edusrda,hispeda,,,,,,,,,,,,,,,,,,
5,Voja,jad,Vou,i igroja,0U,Veja-a,,,,,,,,,,,,,,,,,,,,
6,bom do padre,dr,"bom
padre Ze",Padreo Zi,rio om folgada,Zdfa do Padre,Zafa do Patde,,,,,,,,,,,,,,,,,,,
7,Ins,Brnnswick,tr cnsinado,rosnaninho incensvam,Inzitns,joeundns,insia,duns,reticencins,Peninsula,7s,instrme9,,,,,,,,,,,,,,
8,Lis,D1'A,Lisboa,mis,Liro,LishOs,DLI,,,,,,,,,,,,,,,,,,,
9,Anda,vianda,randa,Andavs,Que grande cnlpa,Candia,abandoo,Finda,,,,,,,,,,,,,,,,,,
10,nuio,Io,io,amhnhio,solidio,IO,Cbioo,sibio,Nio,nio,IoCAGE,regiio,,,,,,,,,,,,,,
11,fxav,pavr,pa,vr,Papi,Gavny,,,,,,,,,,,,,,,,,,,,
12,Vivia,vivio,tm,"pas-
sividude",lavia,violenoia,,,,,,,,,,,,,,,,,,,,
13,cordialmnente,Iadamente,Folizmente,entee,1L,"cenpola da
n DA IA",docididamento,"visinho cemiterio grasnaram agoi-
rentamente",ciments,Verdadeiramente,,,,,,,,,,,,,,,,
14,Y-,ITAYI,"d
bonita",Yi,,,,,,,,,,,,,,,,,,,,,,
15,Tambcm,Ama-Rita,Ama-Rita  Sentia,Ama-Rtita,Adens Ama-Iita,,,,,,,,,,,,,,,,,,,,,
16,sinha,visinho roino,Minha,Miguelsinho,"minhs
idado",memina,manhai,minla,"emperga
minhadu",cpunham,Iinha,i,,,,,,,,,,,,,,
17,IIO LA,iim,Iierdudo,Iivro,Ii,siio,baliio,II1I,,,,,,,,,,,,,,,,,,
18,religino,Mnnoel,Ymnos,Mnnoal,Innoel,,,,,,,,,,,,,,,,,,,,,
19,oltei,tei,mnde inteiro2,neiva,qte,qtte,arrebatei-lha das maos,Endireitei-mo,Teza,AEI,Tejo,,,,,,,,,,,,,,,
