cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Portsmouth,Truth,Plymouth,Scotsmen,bDartmoutl,Poets,but1,,,,
1,INDIA,India,Handing,lIndia,FInding,Edinburgh,,,,,
2,ROME,I1coME,Pembroke,moment''-she,,,,,,,
3,Ear,forbearig,"Ne
Year's",Earth,Dcnmark,Library,PEACE,Speak,Hareaurt,,
4,Ilangillan,Llangwillan,Nurse Languor,,,,,,,,
5,niece,deceit,Cecil,,,,,,,,
6,HO3E,Hovard,IIownrd,Ward,,,,,,,
7,Maitland,Mlaitland,MIaitland,Scotland,Atlantic,,,,,,
8,Providence,Prove-,Sweden,Prcsident,,,,,,,
9,Devonshire,Dconshire,Yorkshire,bDevonshire,x--,,,,,,
10,Emotion,MR,"itself,-EMotion",,,,,,,,
11,CoME INFLUEnCE,INFLUeNCE,Tluce,Io INPILCENCE,IN.HENCE,Benevolence,,,,,
12,MIyrvin,Myrvsin,myrtle,,,,,,,,
13,Elizalcthan,Algicrs,al,Salhatl,Wales,Coal,,,,,
14,British America,"South
America",,,,,,,,,
15,lIes,Esq,Essie,,,,,,,,
16,partre,vARIETIs,Dauris,paris,Paris,,,,,,
17,Italy,italy,H0It,,,,,,,,
18,Emmeliue,Fmmeline,Lmmcline,,,,,,,,
19,Given,Lelly,Ellen,Helen,Lascelles,,,,,,
20,Hasty,I1TE,Easter,,,,,,,,
21,Onkwood,Oakwool,Oakwood,Lowood,,,,,,,
22,Flamma,Mlama,Lady,LA,Adelaide,Latin 1',,,,,
23,lLoe,Villa,LL,Ill.,Ill,Seville,Groeville,,,,
24,MElford,North,comfort,MIrth,IVor,fort,New York,Fortcscuc,Oxford,Forteseue,
25,Rose,Seaton,Sea,Swansea,the Sea ucen,"the Sea
Green",,,,,
26,lOndon,LOndon,london,London,,,,,,,
27,Caroline,Cnroline,Curoline,Gaol,,,,,,,
28,Glamorgan,Endure,Old England,Ireland,eNgland,Highland,England,IN1GLANCE,england,Landor,
29,N-7,&c.,c.,no'd,,,,,,,
30,L-l,Cheltenlam,Cheltenham,Cleltenham,,,,,,,
31,Heroes,Perc,Percy,Perry,,,,,,,
32,"childhood,--and",Mloorlnnds,Moorlunds,Moorlands,the Fire Islands,,,,,,
33,Germany,germany,,,,,,,,,
34,MIss,Miss.,,,,,,,,,
35,IInmilton,slc,Smile-,IIamilton,Hamnilton,Harilton,Hauilton,Hamiltaon,Ashburton,Hamiltou,Ilamilton
36,CPTO,Faintness,continued--,To1E,Coins,Torrington,ain,INto,,,
