cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,the Sea ucen,"the Sea
Green",Tluce,,,,,,
1.0,bDartmoutl,Plymouth,Portsmouth,Salhatl,Truth,,,,
2.0,Essie,Faintness,ain,INto,,,,,
3.0,Ilangillan,Nurse Languor,Llangwillan,,,,,,
4.0,LOndon,london,lOndon,London,,,,,
5.0,England,IN1GLANCE,eNgland,New York,Old England,england,,,
6.0,Lmmcline,Caroline,Cnroline,Curoline,,,,,
7.0,IN.HENCE,Benevolence,Io INPILCENCE,,,,,,
8.0,Ill.,Ill,,,,,,,
9.0,MIrth,North,Earth,,,,,,
10.0,Highland,the Fire Islands,Handing,Scotland,Landor,Ireland,"childhood,--and",,
11.0,Oakwood,Oakwool,Onkwood,Lowood,,,,,
12.0,Maitland,Atlantic,MIaitland,Mlaitland,,,,,
13.0,Easter,"itself,-EMotion",Emotion,,,,,,
14.0,Swansea,Seaton,Sea,,,,,,
15.0,Dconshire,Devonshire,bDevonshire,Yorkshire,,,,,
16.0,Emmeliue,Fmmeline,Elizalcthan,,,,,,
17.0,Paris,Dauris,paris,partre,,,,,
18.0,deceit,niece,,,,,,,
19.0,Fortcscuc,Forteseue,fort,comfort,,,,,
20.0,Smile-,Hamnilton,Hamiltou,Hamiltaon,Harilton,IIamilton,IInmilton,Ilamilton,Hauilton
21.0,Mlama,Flamma,Glamorgan,,,,,,
22.0,British America,"South
America",,,,,,,
23.0,moment''-she,Scotsmen,ROME,,,,,,
24.0,Perry,Percy,Perc,,,,,,
25.0,PEACE,Speak,,,,,,,
26.0,MElford,Oxford,,,,,,,
27.0,Germany,germany,,,,,,,
28.0,Edinburgh,Hasty,Torrington,Ashburton,Hareaurt,,,,
29.0,Prcsident,Sweden,Providence,Adelaide,Prove-,,,,
30.0,Ward,Hovard,vARIETIs,,,,,,
31.0,Miss.,MIss,,,,,,,
32.0,FInding,lIndia,INDIA,India,,,,,
33.0,Ellen,Wales,Lascelles,Lelly,,,,,
34.0,Italy,italy,,,,,,,
35.0,Mloorlnnds,Moorlands,Moorlunds,,,,,,
36.0,MIyrvin,myrtle,Myrvsin,,,,,,
37.0,Latin 1',continued--,,,,,,,
38.0,Cleltenham,Cheltenlam,Helen,Cheltenham,,,,,
39.0,I1coME,INFLUeNCE,CoME INFLUEnCE,,,,,,
40.0,forbearig,Ear,"Ne
Year's",,,,,,
41.0,Villa,Seville,Heroes,Groeville,,,,,
