cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Onkwood,Oakwool,British America,Oakwood,Lowood,,,,,
1,CPTO,INDIA,Heroes,India,lIndia,deceit,,,,
2,ROME,I1coME,L-l,LA,moment''-she,Miss.,,,,
3,Ilangillan,Hasty,Llangwillan,Nurse Languor,Latin 1',,,,,
4,niece,Ward,Poets,INto,,,,,,
5,MIss,IIownrd,continued--,lIes,Tluce,,,,,
6,lLoe,,,,,,,,,
7,Germany,LL,Pembroke,Scotsmen,Hareaurt,germany,Gaol,,,
8,Ill.,Salhatl,Ill,,,,,,,
9,Given,Myrvsin,italy,c.,,,,,,
10,Devonshire,Algicrs,Easter,myrtle,Dconshire,Yorkshire,bDevonshire,,,
11,Ear,forbearig,"Ne
Year's",Dcnmark,,,,,,
12,lOndon,Emotion,LOndon,MIyrvin,Endure,london,London,,,
13,IInmilton,Smile-,IIamilton,al,Hamnilton,Harilton,Hauilton,Hamiltaon,Hamiltou,Ilamilton
14,Providence,CoME INFLUEnCE,INFLUeNCE,Library,Esq,Coins,Io INPILCENCE,IN.HENCE,Benevolence,
15,North,N-7,MIrth,Earth,,,,,,
16,Glamorgan,Flamma,Mlama,PEACE,,,,,,
17,Rose,partre,vARIETIs,Dauris,paris,Essie,Speak,Paris,but1,
18,Portsmouth,Truth,Plymouth,"South
America",bDartmoutl,,,,,
19,Maitland,I1TE,Italy,Faintness,Mlaitland,MIaitland,Atlantic,,,
20,MElford,Elizalcthan,Emmeliue,Fmmeline,,,,,,
21,Lelly,Ellen,New York,Helen,Lascelles,,,,,
22,Seaton,Sea,Swansea,Torrington,Ashburton,,,,,
23,Mloorlnnds,Moorlunds,Moorlands,Wales,x--,,,,,
24,comfort,fort,Fortcscuc,Oxford,Forteseue,,,,,
25,Villa,Prove-,slc,H0It,Seville,Groeville,,,,
26,"itself,-EMotion",Handing,FInding,Edinburgh,,,,,,
27,Old England,eNgland,England,IN1GLANCE,england,,,,,
28,"childhood,--and",Ireland,Scotland,Highland,the Fire Islands,Landor,,,,
29,IVor,Cheltenlam,Cheltenham,Cleltenham,,,,,,
30,the Sea ucen,"the Sea
Green",,,,,,,,
31,HO3E,Hovard,Lady,ain,,,,,,
32,MR,Sweden,Prcsident,Adelaide,,,,,,
33,Caroline,Lmmcline,Cnroline,Curoline,Coal,,,,,
34,&c.,To1E,Cecil,no'd,,,,,,
35,Perc,Percy,Perry,,,,,,,
