cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31
-1,Rose,Glamorgan,slc,Nurse Languor,partre,Smile-,Elizalcthan,"childhood,--and",N-7,L-l,Pembroke,continued--,Endure,Dcnmark,Scotsmen,Library,MR,Tluce,Atlantic,Coins,Sweden,Hareaurt,Edinburgh,Prcsident,the Fire Islands,Ashburton,Adelaide,no'd,IN1GLANCE,but1,x--,Gaol
0,&c.,c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Germany,germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MIss,Miss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Emotion,"itself,-EMotion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,IIownrd,Perc,Percy,Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MIyrvin,Myrvsin,myrtle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Given,IVor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Hasty,I1TE,Easter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lOndon,LOndon,london,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Devonshire,Dconshire,bDevonshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,New York,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Poets,PEACE,Speak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Onkwood,Oakwool,Oakwood,Lowood,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Italy,italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Emmeliue,Fmmeline,Lmmcline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Caroline,Cnroline,Curoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Handing,FInding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,INDIA,India,lIndia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,HO3E,Hovard,Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,vARIETIs,Dauris,paris,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Cheltenlam,Cheltenham,Cleltenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Portsmouth,Truth,Plymouth,bDartmoutl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,British America,"South
America",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Hamnilton,Harilton,Hauilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,IInmilton,IIamilton,Ilamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Hamiltaon,Hamiltou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,North,MIrth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Ear,forbearig,"Ne
Year's",Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,comfort,fort,Fortcscuc,Forteseue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MElford,Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Lelly,Ellen,Helen,Lascelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ROME,I1coME,moment''-she,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Ilangillan,Llangwillan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Heroes,the Sea ucen,"the Sea
Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Flamma,Mlama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,lLoe,Villa,LL,Ill.,Ill,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Seville,Groeville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Seaton,Sea,Swansea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,niece,H0It,deceit,Cecil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Algicrs,al,Salhatl,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Lady,LA,Latin 1',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,lIes,Esq,Essie,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Faintness,ain,INto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CPTO,To1E,Torrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Providence,Prove-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CoME INFLUEnCE,INFLUeNCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Io INPILCENCE,IN.HENCE,Benevolence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Old England,eNgland,England,england,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Maitland,Mlaitland,MIaitland,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Ireland,Highland,Landor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Mloorlnnds,Moorlunds,Moorlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
