cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,.L,.l,,,,,,,,,,,,,
1,Marquises,iles Marquises,E,,,,,,,,,,,,
2,Bamba,Bambin,Colombine,,,,,,,,,,,,
3,Ohel,Ohl,Boheme,,,,,,,,,,,,
4,d-4,Grand-Cercle,Petit-Cercle,Grand-Orient,,,,,,,,,,,
5,Sonne,MASoN,chiffonnee,Rhone,iNN,garonne,,,,,,,,,
6,L A,"N

A","P
N .5",,,,,,,,,,,,
7,SAINT-NIzIER,SAINT-NIZIER,Y-N,Saint-Nizier.n,Saint-Nizier,Nizier,,,,,,,,,
8,cong,songeuse,Lyon,Pingl dong Levez-,l1'Odeon,congo,wagon,,,,,,,,
9,Cuba,Cunocepa,cus,vecu,Crusoe,Cudra,,,,,,,,,
10,terrifi,Guerriers,M.Guerriers,Perdu,Chameliers,arriere,gros Guerriers,Grossiers,Serrieresl,equerres,r8 fevrier,,,,
11,x=-,Serves,Cervelle,Ser-,D,enerve,reserve Est,,,,,,,,
12,P,Montparnasse,Gymnase,h Montparnasse,theatre Montparnasse,a Montparnasse,boulevard Montparnasse,,,,,,,,
13,4-,4--,,,,,,,,,,,,,
14,tolocototignan,Tolocototignan l Tolocototignan lYIII,Tolocototignan,,,,,,,,,,,,
15,tE,Vatel,hate,Chute Entends,tete empanachee,Attends,Emporte,hesiter,c6te,tete,Pentecote,Tes,,,
16,hotel,hote,,,,,,,,,,,,,
17,---rciseizzz--,"S
---
e",L----,a----,k--,.--,1---- IL,"Y '
W,--r
7-x
'",A hx--,"S
-
Lui
L---",LA--3,cC`--.--.-  ---:-r--,"C---e
L",--f,"N
-
1--1"
18,reveillee,reveillon,Marseille,REvE,entre-baille,Conseille,,,,,,,,,
19,College,"val
Quand je rentrai au college",Vieux-College,N2,college88,Allez,,,,,,,,,
20,f,mer de Pierrette,mer Le ciel,"XVI
LE COEUR DE",Mlle Pier-,"Vieille
bete de Pierrette",Bernerette,,,,,,,,
21,Garlande,"college de
Garlande","college modele de
Garlande",Sarlande,Bandit,cote de Garlande,chemin de Garlande,Irlandais,college de Garlande,,,,,,
22,Eyssettte,la Meuse,Assiette,Musette,Muse badine,"Musc
severe",,,,,,,,,
23,W,sur18,rez-de-chaussee,sur-le-champ,champagne,Champenoise,R-L,,,,,,,,
24,Rome,Promettez,Comedia pastorale,l1'Epitome,Necro-,trompe-la-mort,,,,,,,,,
25,Pruneaux,Beaux,Beaucaire,bordeaux,Sceaux,,,,,,,,,,
26,Jacques,jacques,mer jacques,mer Jacques,Paques,,,,,,,,,,
27,Grenelle,Rosellen,Rosel,Mademoiselle.6,m-,passerelle,Rose,Le Rosellen,,,,,,,
