cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117
-1,"W

I,5
V. W","Musc
severe",Grenelle,r8 fevrier,"rOle
d'Ocean",".G

-

'",Pingl dong Levez-,T-,Bandit,REvE,Guigne,tete empanachee,du Nord,Malgre,Accoude,Phoebe,MOi,sec.g6,Marsala,"Y '
W,--r
7-x
'",Providence,rY,Desir-de-plaire,F-=,guide-ballon,mefie-toil,FR,Ie,deplume,Grossiers,Port-au-Prince,sur18,Ser-,Y-N,ufs,t-'-,Necro-,ILL',faiblement.z=-,equerres,celebres,a'-a,trompe-la-mort,Vatel,Grillon,x=-,serrure,Bouzanquet,humilie,AVaieNT,cette Bastille,paule,Araign,Pentecote,Palerme,Cunocepa,Comedia pastorale,tapissieres,rien.- A,Saint-Theophile,piece,Gymnase,lilas,cimentier des Papillons,Fanfan-la-Tulipe,Saint-Petersbourg,Cap,theatre,Emporte,"A
-.

yAZ

'LA",Souviens-toi,MASoN,S,A -.s,franais,Pres-Saint-Gervais,LN,Chauve-Souris,entre-baille,passerelle,Fouillant,Rana-Valo,Montmartre,E,La creole,Luxembourg,Source gallica.bnf.fr  Bibliothque nationale de FranceLE,Lamartine d'Elvire,I,l1'Odeon,Muse badine,les Debuts,Muguet,"PAPILLON
Trouves-tu mon Muguet",r6gI,a6,Comedia-Francaise,Bonsoir,Lapin,.f,voila debarbouille,echantillon,onZE PETIT,Saint-Emilion,Soudain,Filet,LA--3,Irlandais,A,punch,Jusque-la,Chameliers,boue de Paris,Mademoiselle.6,Sar-,les86,"PAPILLON
Grimpe","carreau
detroit"
0,P,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,.,11A5,ZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,W1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,a3I,F,M,t,W,e,7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,m-,N2,f,1N,O,J4,IX,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,I54,I59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Je,je39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,t L,16 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tolocototignan l Tolocototignan lYIII,Tolocototignan,tolocototignan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
