cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,Bamba,Y-N,Lombards,,,,,,,,,,
1,Cecilia,humilie,Philistine,Chili,,,,,,,,,
2,baie de Naples,rY,rue de Lille,1N,Y,joufflus de douze,rue des Dames,FR,,,,,
3,CoUCoU-BLANC,"cheresse
Coucou-Blanc","T

.-1coUcoU-BLANC","Coucou-
Blanc",Coucou-bLanc,essouffle.coUcoU-BLANC,lLs-,Coucou-Blanc,Coucou-Blanc Est,c6te,,,
4,d-4,,,,,,,,,,,,
5,r8,Pl,".G

-

'",I.E,--f,,,,,,,,
6,Sonne,chiffonnee,je39,garonne,,,,,,,,,
7,S,Rhone,iNN,,,,,,,,,,
8,Amour,"Y '
W,--r
7-x
'",A hx--,Limoux,Retourne,Luxembourg,,,,,,,
9,captivit,Ma-,Vit,crivit,Cap,,,,,,,,
10,"S
---
e","rs
-","S
-
Lui
L---",.f,,,,,,,,,
11,SAINT-NIzIER,SAINT-NIZIER,a3I,Saint-Nizier.n,Saint-Nizier,Nizier,,,,,,,
12,VOIl,mefie-toil,voila debarbouille,Voil,,,,,,,,,
13,Guerriers,M.Guerriers,arriere,dore,gros Guerriers,Grossiers,Serrieresl,r8 fevrier,,,,,
14,Serves,Cervelle,Ser-,Necro-,Nice,enerve,reserve Est,I47,,,,,
15,valley,t L,Allez,,,,,,,,,,
16,cus,"Bati-
gnolles","a47
Ici",Batignolles,Venol,,,,,,,,
17,Vatel,hotel,Vive,.l,"J

-'
1
x
1",hote,,,,,,,
18,Pier-,piece,Mlle Pier-,,,,,,,,,,
19,la Meuse,songeuse,la manche,A,,,,,,,,,
20,---rciseizzz--,L----,a----,1---- IL,"C---e
L",,,,,,,,
21,reveillee,reveillon,Marseille,REvE,Conseille,,,,,,,,
22,faiblement.z=-,IMt,menton,Comment,Boheme,L'ENCLaVEMENT,"Limoux
Seulement",,,,,,
23,mer de Pierrette,"hM
r
E",Faust,"Vieille
bete de Pierrette",,,,,,,,,
24,"Saint-Germain-des-
Pres",clocher de Saint-Germain,I45,Saint-Germain,Pres-Saint-Gervais,horloge de Saint-Germain,Saint-Germain-des-Pres,Saint-Germain-des-Tres,,,,,
25,Perrache,Perdu,tete empanachee,Pacheco,4--,,,,,,,,
26,"T

.-1coUcoU",Accoude,Coucou,Coucou-,A -.s,,,,,,,,
27,niais,voyais,a6,aimais,sais,,,,,,,,
28,Gymnase,Anastasie,Anastagille,Viva-,I54,,,,,,,,
29,Eyssettte,Assiette,Musette,Promettez,Muse badine,cette Bastille,"Musc
severe",Heinz,Bernerette,,,,
30,C-,rez-de-chaussee,sur-le-champ,champagne,Chameliers,Champenoise,R-L,,,,,,
31,Crophores,ngres du Cap,gres,tapissieres,Malgre,"E
R",,,,,,,
32,Turc,Lyon,"II
hY",-C,,,,,,,,,
33,Grenelle,Rosellen,Rosel,Mademoiselle.6,Rose,Le Rosellen,,,,,,,
34,assis,Passions,Ohl,Expansion,Deja,,,,,,,,
35,f,sec.g6,"A1

 T",ISL5,congo,,,,,,,,
36,l1'Academie,Cadet,1E.,P' -L,wagon,lectrifi,,,,,,,
37,Inde,Rendez,Bhagiratha,saluerentIIIRIAR,Vendredi,,,,,,,,
38,BErGE A BON,BErGE A BON DIEU,O,Dieul,"A
 A

 
I",BETE A BON DIEU,,,,,,,
39,tolocototignan,Tolocototignan l Tolocototignan lYIII,Tolocototignan,N2,"P
L",,,,,,,,
40,Garlande,Sarlande,Bandit,Irlandais,,,,,,,,,
41,ufs,Montparnasse,h Montparnasse,theatre Montparnasse,a Montparnasse,IM,boulevard Montparnasse,,,,,,
