cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,CoUCoU-BLANC,"Coucou-
Blanc",Coucou-bLanc,f,Accoude,"cheresse
Coucou-Blanc","T

.-1coUcoU",essouffle.coUcoU-BLANC,Anjou,Coucou-,Coucou,Coucou-Blanc,Coucou-Blanc Est,"T

.-1coUcoU-BLANC",Bloui,,,
1,crivit,Viva-,captivit,Vit,RIvE,Vive,,,,,,,,,,,,
2,"-
-
-]","N
-
1--1",".'-
-re-c","xl-
-.",".'-
-re","D-
Y',a-","rs
-","A
-.

yAZ

'LA",11A5,,,,,,,,,
3,r8 fevrier,"g.

r.' F",r8,,,,,,,,,,,,,,,
4,Vois,Voil,VOIl,MOi,mefie-toil,Vois-tu,Voyez,Cecilia,toi.n,Il1,voila debarbouille,,,,,,,
5,"Musc
severe",enerve,Serves,Ser-,reserve Est,Cavernes,Desserte,Cervelle,desert,,,,,,,,,
6,cus,Cudra,Cunocepa,r6gI,Crusoe,vecu,,,,,,,,,,,,
7,Theatre-Francais,"Theatre-
Francais",theatre,Comedia-Francaise,"carreau
detroit",,,,,,,,,,,,,
8,MI,le Midi,mitra,humilie,MIami-Pinson,Midi,,,,,,,,,,,,
9,Neuf-des-Papes,nes o,Espa-,"Chateau-
Neuf-des-Papes",F-=,ufs,gardes-du-corps,S-,,,,,,,,,,
10,A1,"A1

 T",,,,,,,,,,,,,,,,
11,d-4,Grand-Cercle,grace,W,Petit-Cercle,Grand-Orient,,,,,,,,,,,,
12,Italie,Italiens,Nathalie,d'Italie,7A,Hospitalier,Italien,l'Italie,A,,,,,,,,,
13,boulevard Montparnasse,Montparnasse,Passions,h Montparnasse,a Montparnasse,theatre Montparnasse,"N
A",,,,,,,,,,,
14,m-,Papillon,PAPILLON,guide-ballon,Pilouittl,"PAPILLON
Est",Grillon,"PAPILLON
Ehl",cimentier des Papillons,"PAPILLON
Trouves-tu mon Muguet",Lapin,echantillon,Pilons,"PAPILLON
Grimpe",,,,
15,Anastasie,assane,N,as4,Gymnase,assis,Anastagille,,,,,,,,,,,
16,t L,16 L,I,,,,,,,,,,,,,,,
17,Rome,Necro-,trompe-la-mort,x=-,Comment,ronfla,Comedia pastorale,l1'Epitome,Promettez,,,,,,,,,
18,mer jacques,jacques,Jacques,mer Jacques,,,,,,,,,,,,,,
19,joufflus de douze,rue des Dames,baie de Naples,ngres du Cap,Dames,porte de la kermesse,les Debuts,victoria de la dame,place d'Armes,,,,,,,,,
20,Prairie,la Prairie,Raspail,Araign,,,,,,,,,,,,,,
21,"J

-'
1
x
1","E
R","W
1P
I
Re","hM
r
E","W
I
2

re","P
L",,,,,,,,,,,,
22,Helas,Ohel,M,Ohl,Helasl,Boheme,,,,,,,,,,,,
23,1N,.--ac-'-,t-'-,a'-a,L.-iw,Y,,,,,,,,,,,,
24,Pingl dong Levez-,congo,cong,wagon,,,,,,,,,,,,,,
25,la-bas,l-bas,lilas,ner la-bas,Bas,,,,,,,,,,,,,
26,J',aJ',J'ai,,,,,,,,,,,,,,,
27,Quartier-Latin,a3I,Quartier Latin,Quartier,"Quartier
LAtin",Moustier,Lamartine d'Elvire,,,,,,,,,,,
28,"place des
Terreaux",Angleterre,D,mer de Pierrette,mer Le ciel,serrure,Bernerette,tapissieres,Nanterre,"Vieille
bete de Pierrette",Mlle Pier-,,,,,,,
29,Saint-,Saint-Benoit,faiblement.z=-,eglise Saint-Pierre,Saint-Esprit,Saint-Germain,Saint-Theophile,Maintenant,Saint-Petersbourg,E,sais,Saint-Pierre,Saint-Emilion,rue Saint-Benoit,Saint-Cloud,Saint-Pierre a Montmartre,,
30,I54,e,I59,,,,,,,,,,,,,,,
31,Vienne,Tiens,Ie,F,AVaieNT,Dieul,piece,Souviens-toi,Comdie,Alsacien,l1'Academie,,,,,,,
32,Daniel,"abb
Germano",MArie-anne,Germanie,crmonie,Permane,Palerme,Angelus,Genies,,,,,,,,,
33,Eh bien,Eh,Bientot,,,,,,,,,,,,,,,
34,deplume,deput,Langlumeau,Pl,,,,,,,,,,,,,,
35,Parfois,J4,Palois,Paris,Paris Ici,Palais-Mazarin,Parisien,Parisiens,boue de Paris,,,,,,,,,
36,SAINT-NIzIER,Y-N,Nizier,Saint-Nizier,Saint-Nizier.n,SAINT-NIZIER,,,,,,,,,,,,
37,".G

-

'","I


-'  t","I

-
i","I -
M","sI. -
I
-
5:
i",S,,,,,,,,,,,,
38,Tolocototignan l Tolocototignan lYIII,Tolocototignan,tolocototignan,,,,,,,,,,,,,,,
39,Roberte,Pierrotte,t,Pierrotte.n,Pier-,"Pierrotte
Pierrotte",,,,,,,,,,,,
40,Malgre,deurope,Malheureux-,Malheureuse-,Eux,Malheur-,guipure,,,,,,,,,,,
41,SAUMON,Saumon,,,,,,,,,,,,,,,,
42,.l,.L,,,,,,,,,,,,,,,,
43,Embrasse,Bravo,Pousse,Embarrasse,,,,,,,,,,,,,,
44,Soubeyrol,Souwaroff,Peyron,,,,,,,,,,,,,,,
45,Boucoyranln,LN,Boucoyran,,,,,,,,,,,,,,,
46,voyais,ecoutais,coutais,aTout,etais,niais,,,,,,,,,,,,
47,Rio,io,lectrifi,ZY,,,,,,,,,,,,,,
48,Palais-Royal,valley,val,Latvala,Rana-Valo,Alsace,,,,,,,,,,,,
49,saluerentIIIRIAR,"II
hY",II,,,,,,,,,,,,,,,
50,c6te,tete empanachee,Chute Entends,hote,bete,tete,Pentecote,Tes,Egypte,hotel,Assiette,discrete,S6et,La Bete,Arretez,Musette,tE,betes
51,Barbette...,Barbette,cette Bastille,Barbettel,Barbetten,,,,,,,,,,,,,
52,du Nord,Or,victoria,dore,Emporte,,,,,,,,,,,,,
53,Chardon,Pardon,Pardonne,,,,,,,,,,,,,,,
54,"a47
Ici",I47,I45,,,,,,,,,,,,,,,
55,caf,Ca,ca,Escargots,Cap,cafe,Carmelites,Cadet,,,,,,,,,,
56,R-L,P' -L,-L,7L-L-L,rAL---LL-LLL-L.L.L-LE,7L-L,,,,,,,,,,,,
57,Laisse,Marquises,sec.g6,ISL5,Champenoise,miserablel,MIse,Prise,Is1,suisse,Pise,Mise,,,,,,
58,T-,Montez,menton,1E.,Mont-,Montmartre,mont-de-piste,,,,,,,,,,,
59,Bambin,N2,Bandit,Lombards,Bamba,Cuba,,,,,,,,,,,,
60,Chose,Choseln,echope,Chose.8,,,,,,,,,,,,,,
61,Grossiers,terrifi,equerres,Perdu,M.Guerriers,arriere,Guerriers,gros Guerriers,rs,Serrieresl,.f,Chameliers,,,,,,
62,"P
N .5",L A,"N

A",,,,,,,,,,,,,,,
63,cC`--.--.-  ---:-r--,"Y '
W,--r
7-x
'",a----,k--,L----,"L--
`-",--f,.--,---rciseizzz--,"S
-
Lui
L---",1---- IL,A hx--,"C---e
L","L--
`",LA--3,"S
---
e",,
64,Beaucaire,Phoebe,Sceaux,Pruneaux,bordeaux,Beaux,,,,,,,,,,,,
65,Quels,mexique,Bouzanquet,Quelque,Quelquefois,Paques,val Quelquefois,laquelle42,Afrique,Jusque-la,,,,,,,,
66,O,Faust,Cristaux,Chauve-Souris,CRISTAUX,,,,,,,,,,,,,
67,"Bati-
gnolles",Batignolles,,,,,,,,,,,,,,,,
