cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0.0,3MICHAEL STrONG,yong,MICHaEL WaITING,Derbsyshiroe-Michael,SOCIAL STrONG,Arntstrong,,,,,,,
1.0,Ilighlandloch,Highland,,,,,,,,,,,
2.0,Augustusis,Austria,,,,,,,,,,,
3.0,Madeira,London Madeira,London,Golconda,,,,,,,,,
4.0,GENEROSITY,pityiag,,,,,,,,,,,
5.0,Linen,pinery,Dowling,Lindens,,,,,,,,,
6.0,MIICIIAEL ARMISTROyG.,MIICIIAEL,IICiAE,Royal,1CHILD A1MISTROMG,,,,,,,,
7.0,DIscnELLE,SELL3,,,,,,,,,,,
8.0,Melford Park,MelFord Park,MElford Park,Melford,,,,,,,,,
9.0,HIowsomever,Rome,,,,,,,,,,,
10.0,North riton,North-country,"smallpox,-short",North bBriton,,,,,,,,,
11.0,Foxglove,thatlittle grove,ATlGUIYG,,,,,,,,,,
12.0,Earth,,,,,,,,,,,,
13.0,Sound Norcal,Sound,BnoruERTo,,,,,,,,,,
14.0,Italy,ITaly,italy,,,,,,,,,,
15.0,Great Britain,Great Marloroug,MIARLOROUGH STREET,morocco,Charlotte,,,,,,,,
16.0,Germany,Kidderminster,cHAPTER XXXIII,,,,,,,,,,
17.0,Spain,Scotch,Westmoreland,Scotland,,,,,,,,,
18.0,Prentice,las Ice,Nice,,,,,,,,,,
19.0,Trembled,Tremlettt,Bless,,,,,,,,,,
20.0,Deep Valley MIll,the Deep Valley,the dEep Valley,Millord,Deep Valley MiLl,the Deep Valley Mill,Ill,Deep Valley MI1,"Deep Valley
Mill",Deep-Valley,Deep Valley,Deep Valley Mill,Deep VAlley
21.0,china,Domenichino,,,,,,,,,,,
22.0,Happened,Turkey,Turned,,,,,,,,,,
23.0,G.C.IN,G.C.B.,G.C.IN.,K.C.,,,,,,,,,
24.0,England,england,,,,,,,,,,,
25.0,woodbine,Crockley,Woodcock,,,,,,,,,,
26.0,Providence,Ore.,France,florence,,,,,,,,,
27.0,Derbyshire,Blankshire,Laueaslire,Yorkshire,,,,,,,,,
28.0,Nlartha,MIrth,Thaddy,Mnrtha,,,,,,,,,
29.0,earth,,,,,,,,,,,,
30.0,unfortunate6,California,Oxford,Bradford,,,,,,,,,
31.0,Dearest Mary,St. Mary's,,,,,,,,,,,
32.0,Inn,inn,,,,,,,,,,,
33.0,WARREN,Warwick,,,,,,,,,,,
34.0,Southern Reg,Bretherton,Gabherly,the1,the Emerald Isle,thereon,,,,,,,
