cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
-1,Africa,California,unfortunate6,MIrth,yong,know-,"smallpox,-short",Deep-Valley,Foxglove,France,ar moon,Oh l,Laueaslire,Great Britain,Thaddy,MR,the Deep Valley Mill
0,K.C.,G.C.IN,K.L.S.,G.C.IN.,G.C.B.,,,,,,,,,,,,
1,Drakes,Trembled,Bless,Lean,Tremlettt,yet2,,,,,,,,,,,
2,Germany,Kidderminster,,,,,,,,,,,,,,,
3,London Madeira,Cologne,Golconda,Madeira,London,,,,,,,,,,,,
4,Louisa,Lodge,,,,,,,,,,,,,,,
5,Turned,Happened,PP,Turkey,,,,,,,,,,,,,
6,inn,Inn,Europe,,,,,,,,,,,,,,
7,ATlGUIYG,thatlittle grove,,,,,,,,,,,,,,,
8,factoriesl,up.to,,,,,,,,,,,,,,,
9,Charlotte,cHAPTER XXXIII,,,,,,,,,,,,,,,
10,MIICIIAEL,1CHILD A1MISTROMG,IICiAE,MIICIIAEL ARMISTROyG.,,,,,,,,,,,,,
11,BnoruERTo,thereon,Bretherton,the Emerald Isle,Southern Reg,Gabherly,the1,,,,,,,,,,
12,Domenichino,china,,,,,,,,,,,,,,,
13,HIowsomever,Rome,,,,,,,,,,,,,,,
14,Arntstrong,3MICHAEL STrONG,SOCIAL STrONG,MICHaEL WaITING,,,,,,,,,,,,,
15,Italy,italy,ITaly,,,,,,,,,,,,,,
16,Augustusis,Venus,Us,Russia,Austria,,,,,,,,,,,,
17,Dearest Mary,St. Mary's,,,,,,,,,,,,,,,
18,MIARLOROUGH STREET,Great Marloroug,,,,,,,,,,,,,,,
19,Blankshire,Yorkshire,,,,,,,,,,,,,,,
20,Derbyshire,Derbsyshiroe-Michael,,,,,,,,,,,,,,,
21,morocco,Crockley,,,,,,,,,,,,,,,
22,al,Royal,,,,,,,,,,,,,,,
23,pAst,Papalny,St,Spain,,,,,,,,,,,,,
24,Millord,LL,Ill,DIscnELLE,ELgI,SELL3,TR0IL01,,,,,,,,,,
25,Warwick,WI,WARREN,,,,,,,,,,,,,,
26,Highland,Ilighlandloch,,,,,,,,,,,,,,,
27,GENEROSITY,it1,pityiag,,,,,,,,,,,,,,
28,Oxford,Bradford,,,,,,,,,,,,,,,
29,Melford,MElford Park,Melford Park,MelFord Park,,,,,,,,,,,,,
30,Sound Norcal,Sound,,,,,,,,,,,,,,,
31,North-country,North bBriton,North riton,,,,,,,,,,,,,,
32,las Ice,Prentice,Nice,,,,,,,,,,,,,,
33,LA,Mlacnab,La,,,,,,,,,,,,,,
34,Providence,florence,Westmoreland,Ore.,,,,,,,,,,,,,
35,woodbine,Woodcock,,,,,,,,,,,,,,,
36,the Deep Valley,the dEep Valley,,,,,,,,,,,,,,,
37,Mnrtha,Nlartha,,,,,,,,,,,,,,,
38,earth,Earth,,,,,,,,,,,,,,,
39,Scotch,Scotland,,,,,,,,,,,,,,,
40,England,england,,,,,,,,,,,,,,,
41,LiE,lI,,,,,,,,,,,,,,,
42,Linen,Lindens,,,,,,,,,,,,,,,
43,Dowling,pinery,,,,,,,,,,,,,,,
44,"Deep Valley
Mill",Deep Valley,Deep VAlley,,,,,,,,,,,,,,
45,Deep Valley MIll,Deep Valley Mill,Deep Valley MI1,Deep Valley MiLl,,,,,,,,,,,,,
