cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31
-1,Oh l,ar moon,Spain,TR0IL01,Africa,Foxglove,yet2,unfortunate6,yong,MIrth,WI,PP,Westmoreland,Thaddy,MR,"smallpox,-short",Europe,SOCIAL STrONG,Mlacnab,California,Louisa,Lean,France,Deep-Valley,Arntstrong,Laueaslire,Lodge,Drakes,know-,Charlotte,ELgI,cHAPTER XXXIII
0,3MICHAEL STrONG,MICHaEL WaITING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Derbyshire,Derbsyshiroe-Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Blankshire,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MIICIIAEL ARMISTROyG.,MIICIIAEL,IICiAE,1CHILD A1MISTROMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,La,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Prentice,las Ice,Nice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WARREN,Warwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Providence,Ore.,florence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Scotch,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,England,england,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ilighlandloch,Highland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,china,Domenichino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,HIowsomever,Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Nlartha,Mnrtha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Earth,earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,North riton,North-country,North bBriton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sound Norcal,Sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Southern Reg,BnoruERTo,Bretherton,Gabherly,the1,the Emerald Isle,thereon,,,,,,,,,,,,,,,,,,,,,,,,,
18,Oxford,Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Melford Park,MelFord Park,MElford Park,Melford,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LL,DIscnELLE,Millord,Ill,SELL3,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Deep Valley
Mill",Deep Valley,Deep VAlley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Deep Valley MIll,Deep Valley MiLl,the Deep Valley Mill,Deep Valley MI1,Deep Valley Mill,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,the Deep Valley,the dEep Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,al,Royal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,St,pAst,Papalny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Augustusis,Russia,Austria,Venus,Us,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Italy,ITaly,italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,GENEROSITY,pityiag,it1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Linen,pinery,Dowling,Lindens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,woodbine,Woodcock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,lI,LiE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Crockley,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Dearest Mary,St. Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Great Britain,Great Marloroug,MIARLOROUGH STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,up.to,factoriesl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,thatlittle grove,ATlGUIYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Inn,inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Happened,Turkey,Turned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Germany,Kidderminster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Madeira,London Madeira,Cologne,London,Golconda,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Trembled,Tremlettt,Bless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,G.C.IN,K.L.S.,G.C.B.,G.C.IN.,K.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,
