cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,Inn,Spain,pinery,inn,,,,,,,
1,St,pAst,St. Mary's,Kidderminster,,,,,,,
2,ITaly,yet2,italy,pityiag,it1,Italy,,,,,
3,Mlacnab,La,las Ice,LA,,,,,,,
4,G.C.IN,G.C.IN.,G.C.B.,K.C.,,,,,,,
5,Deep Valley,the dEep Valley,Deep Valley MiLl,Deep VAlley,Deep Valley MIll,Deep-Valley,the Deep Valley,"Deep Valley
Mill",Deep Valley MI1,the Deep Valley Mill,Deep Valley Mill
6,North-country,North riton,factoriesl,Oh l,North bBriton,up.to,BnoruERTo,,,,
7,MIICIIAEL,IICiAE,ELgI,K.L.S.,cHAPTER XXXIII,MIICIIAEL ARMISTROyG.,,,,,
8,Lindens,lI,LiE,Dowling,Laueaslire,Linen,,,,,
9,Sound,Louisa,unfortunate6,Sound Norcal,,,,,,,
10,Us,Venus,Austria,Augustusis,Russia,,,,,,
11,Mnrtha,MIrth,Nlartha,Earth,earth,Lean,,,,,
12,Great Britain,Great Marloroug,Dearest Mary,MIARLOROUGH STREET,morocco,Charlotte,,,,,
13,Europe,Drakes,Turkey,Turned,,,,,,,
14,woodbine,Woodcock,Scotch,Cologne,Crockley,Lodge,,,,,
15,WARREN,WI,Warwick,Africa,,,,,,,
16,SELL3,LL,Ill,DIscnELLE,TR0IL01,Millord,,,,,
17,Tremlettt,Trembled,Bless,,,,,,,,
18,MR,,,,,,,,,,
19,Westmoreland,Scotland,Germany,Highland,Ilighlandloch,england,England,,,,
20,Foxglove,ATlGUIYG,thatlittle grove,Thaddy,,,,,,,
21,china,HIowsomever,know-,Rome,Domenichino,Nice,,,,,
22,Oxford,MElford Park,Bradford,MelFord Park,Melford Park,Melford,,,,,
23,Ore.,Providence,France,florence,Prentice,,,,,,
24,the1,Southern Reg,Bretherton,Gabherly,the Emerald Isle,thereon,,,,,
25,GENEROSITY,Happened,PP,,,,,,,,
26,Blankshire,Derbyshire,Yorkshire,,,,,,,,
27,Royal,"smallpox,-short",California,al,Papalny,,,,,,
28,London,ar moon,Madeira,Golconda,London Madeira,,,,,,
29,1CHILD A1MISTROMG,MICHaEL WaITING,Derbsyshiroe-Michael,SOCIAL STrONG,yong,Arntstrong,3MICHAEL STrONG,,,,
