cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5
-1,laurel,Lyndhurst,n’t,,,
0,Whitefriars,Whitehall,,,,
1,Saint James’s,Saint James,,,,
2,St. George’s,’s,Trigge,,,
3,Rougemont,Richmond,,,,
4,Old London,London,Old Bailey,,,
5,Southwark,Isle of,Hyde Park,,,
6,Athanor,Watts,Satan,,,
7,England,Cleveland,Scotland,,,
8,France,Fra,Strand,,,
9,Lucca,Isaical,exclaimed—“Yes,scagliola,Flapdragon,Clara
10,Utterly,Rotterdam,,,,
11,Hamburg,Serpentine River,Canterbury,Nottingham,Antverp,
12,Achilles,Millbank,Charles,Damocles,Billinsgit,
13,Ninus,Inn,,,,
14,Spring Gardens,Paston,Kensington,,,
15,nearest kinsman,the Edger Road,Ostend,West End,Zoroaster,
16,Blenheim,Turk,,,,
17,Gracechurch Street,King Street,Havre,Reeks,Curzon Street,
18,Vhere,sepulchre,Queen,Shoreditch,,
