cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,Lucca,Queen,Whitefriars,,,,,
1,Athanor,Shoreditch,,,,,,
2,Rougemont,Richmond,St. George’s,Old London,London,Millbank,,
3,the Edger Road,sepulchre,,,,,,
4,Lyndhurst,France,,,,,,
5,Hamburg,Flapdragon,Scotland,,,,,
6,nearest kinsman,laurel,Isaical,Saint James’s,Trigge,Billinsgit,Saint James,West End
7,Havre,Inn,Paston,Turk,Whitehall,,,
8,Achilles,Charles,’s,Damocles,Clara,Blenheim,Antverp,
9,Isle of,Hyde Park,,,,,,
10,Gracechurch Street,King Street,Reeks,England,Curzon Street,Ostend,Strand,
11,Ninus,scagliola,Canterbury,Fra,Utterly,Rotterdam,Zoroaster,
12,exclaimed—“Yes,n’t,Watts,Cleveland,Old Bailey,,,
13,Vhere,Southwark,Spring Gardens,Serpentine River,Nottingham,Kensington,Satan,
