cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
-1,Billinsgit,Nottingham,Rougemont,Isle of,Vhere,n’t,Reeks,Blenheim,laurel,Turk,Millbank,Richmond,Queen,Hamburg,Lyndhurst,Zoroaster,Havre,the Edger Road
0,Kensington,Paston,Spring Gardens,,,,,,,,,,,,,,,
1,Curzon Street,Gracechurch Street,King Street,,,,,,,,,,,,,,,
2,sepulchre,Shoreditch,,,,,,,,,,,,,,,,
3,West End,Ostend,nearest kinsman,,,,,,,,,,,,,,,
4,Ninus,Inn,,,,,,,,,,,,,,,,
5,Charles,Achilles,Damocles,,,,,,,,,,,,,,,
6,Rotterdam,Utterly,,,,,,,,,,,,,,,,
7,Antverp,Serpentine River,Canterbury,,,,,,,,,,,,,,,
8,Isaical,exclaimed—“Yes,Flapdragon,Lucca,scagliola,Clara,,,,,,,,,,,,
9,England,Cleveland,Scotland,,,,,,,,,,,,,,,
10,Strand,Fra,France,,,,,,,,,,,,,,,
11,Hyde Park,Southwark,,,,,,,,,,,,,,,,
12,Watts,Satan,Athanor,,,,,,,,,,,,,,,
13,Old Bailey,Old London,London,,,,,,,,,,,,,,,
14,Trigge,’s,St. George’s,,,,,,,,,,,,,,,
15,Saint James,Saint James’s,,,,,,,,,,,,,,,,
16,Whitefriars,Whitehall,,,,,,,,,,,,,,,,
