cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5
0,the Edger Road,Vhere,sepulchre,Havre,Shoreditch,Blenheim
1,St. George’s,’s,Trigge,,,
2,Rougemont,Richmond,Old London,London,Paston,Old Bailey
3,Gracechurch Street,King Street,Spring Gardens,Reeks,Curzon Street,
4,Achilles,Isle of,Millbank,Charles,Damocles,Billinsgit
5,n’t,,,,,
6,Ninus,Inn,Kensington,,,
7,Lucca,Flapdragon,France,Fra,Clara,
8,Queen,scagliola,England,Cleveland,Strand,Scotland
9,Utterly,Nottingham,Rotterdam,Zoroaster,,
10,Isaical,exclaimed—“Yes,Saint James’s,Saint James,,
11,nearest kinsman,Lyndhurst,Ostend,West End,,
12,Southwark,laurel,Hamburg,Hyde Park,Turk,
13,Serpentine River,Canterbury,Antverp,,,
14,Whitefriars,Whitehall,,,,
15,Athanor,Watts,Satan,,,
