cluster,elem_0,elem_1,elem_2,elem_3,elem_4
0.0,Kensington,Paston,Spring Gardens,,
1.0,Hyde Park,Southwark,,,
2.0,Rougemont,Richmond,Clara,,
3.0,West End,nearest kinsman,,,
4.0,Antverp,Serpentine River,,,
5.0,Old Bailey,Old London,London,,
6.0,Isaical,Saint James,Saint James’s,,
7.0,Charles,Billinsgit,Millbank,Achilles,Damocles
8.0,Nottingham,Canterbury,Hamburg,,
9.0,Ostend,Zoroaster,the Edger Road,,
10.0,Rotterdam,Utterly,,,
11.0,Strand,Fra,France,,
12.0,Curzon Street,Reeks,Lyndhurst,Gracechurch Street,King Street
13.0,England,Cleveland,exclaimed—“Yes,Scotland,
14.0,Whitefriars,Whitehall,,,
