cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,the Edger Road,Vhere,Lucca,sepulchre,Havre,Shoreditch,Blenheim,,
1,St. George’s,’s,Trigge,,,,,,
2,Rougemont,Richmond,Old London,London,Flapdragon,Paston,,,
3,nearest kinsman,Gracechurch Street,King Street,Ninus,Spring Gardens,Inn,Reeks,Curzon Street,
4,Achilles,Isle of,Millbank,Charles,Damocles,Billinsgit,Old Bailey,Whitehall,
5,n’t,,,,,,,,
6,France,Fra,Whitefriars,Clara,,,,,
7,Queen,scagliola,England,Cleveland,Ostend,Strand,Kensington,West End,Scotland
8,Utterly,Nottingham,Rotterdam,Zoroaster,,,,,
9,Isaical,exclaimed—“Yes,Saint James’s,Saint James,,,,,
10,Southwark,laurel,Lyndhurst,Hamburg,Hyde Park,Turk,,,
11,Serpentine River,Canterbury,Antverp,,,,,,
12,Athanor,Watts,Satan,,,,,,
