cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0.0,Hommes—sans—,"mme""",,,,,,
1.0,Saint—Brunelle,Saint-Brunelle,"cabaretière de Saint—
Brunelle",Saint—Brupçue,Brunelle,"Saint—
Brunelle",,
2.0,Clarisse,"Clarisse

Avant",,,,,,
3.0,muss—,queussî—,,,,,,
4.0,l*épidémjg,démo—,épieière,,,,,
5.0,reve—,Relevez,,,,,,
6.0,"l.

Cinq feuilles",Feuil-,"giroﬂest l.

Cinq feuilles",trav aille1,,,,
7.0,Nom—de—Non,Ordre-de—Non,,,,,,
8.0,".-—-

-, ..",.ç'g5_ { \ ..,- -,".-—-

-,",,,,
9.0,Mai,MAIBESSE,Jamais,Mai—.,,,,
10.0,jusqu’,qu’,j‘_qu’_à,"quoi—

qu’",,,,
11.0,"J 
 AH 
 
 
 
 J 
 
 
 
 
 AH 
 AH","AH 
 AH 
   
   
 X 
 
 
 
 AH 

206 mon","J 
   
 AH 
 
 
 J 

—","AH 
 AH","25

 
 AH 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 J 

—",,,
12.0,———-,l«———a,,,,,,
13.0,Auberge,"vieux ber—
ger",deuxièmemeht,Alger,Vieux,,,
14.0,lise,Vaise,,,,,,
15.0,EST-M,ﬁest—,,,,,,
16.0,du Nord,Nord,Ignore,,,,,
17.0,\.'_'F“'ﬂ,.'_‘heure,Beur,Figurez,,,,
18.0,Moi—,choi—,moi—-,,,,,
19.0,cœur—,m’y endur—,concur—,,,,,
20.0,appe—,pe—,s’appe—,,,,,
21.0,aVez,Avez,,,,,,
22.0,morali—,expli—,Mor—,,,,,
23.0,Céran,Céret,,,,,,
24.0,CBLLIEB,italie,,,,,,
25.0,Rime,M’aimeras,s’ai pAs d,m’as—tu,,,,
26.0,Riez,".'I‘ _‘rien

”153",bien—,Ah_æmvriers,,,,
27.0,beau—,psau—,au—_—,chau—,épau—,,,
28.0,endi—,dandi—,bâton,Armandine,,,,
29.0,"Bpse,{. _ m9il",guérir-a. _,,,,,,
30.0,Parisien,Parisiens,Ïnarié,Paris,,,,
31.0,colonne Vendôme,Donnez,Bonnets,Donc,sonne—,,,
32.0,Désirée,histoire—,sirE,,,,,
33.0,".--,—.",.--,"F.,—.““.—",c-.--,,,,
34.0,veillée,Le soleil,Mole,,,,,
35.0,Nﬁelles,—elle,journelle—,n‘elle,lﬁlle,ﬁelle',Allez,Brünelle
36.0,ANT,siŒotant,mitan,Satané,,,,
37.0,Monte,trente—six,contente—,mentevrai,contribù—,,,
38.0,mAman—,Manot,Maman,,,,,
39.0,VOiS',paRfois,Crois,Sois,,,,
40.0,Voilà,Envoie,Mevoilà,,,,,
