cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75
-1,"AH 
 

-",papa—,W,muss—,ména—,As,MAIBESSE,orga—,colonne Vendôme,Basstnrez,après—,fontaine Sainte—Radegonde,Garde—les,Jæn*—,franciers,—,"extraordi—
naire",I,Bonsoir,s’arra—,"ba- -
*biller ma",gouaillant,queussî—,"Bpse,{. _ m9il",s«—i,An--,Écoutez,Vêndœ,Peut—,Cela—,s’ai pAs d,næûæ,hiçgt,laisser—,".,",I‘::*7,Mæsse,4--_,Figurez,Le curé de,n’,Envoie,bien—,"F.,—.““.—",débat—,tiote,guérir-a. _,la Remy,Lambin,n—,ÎÊ-',en',Bérénice,ca,per labz‘a,Donc,Bemblay,Ë,-4_,juré,Or‘ t“,‘tu,couragement,îÎdÿl{.,Devinez,A,ﬁllettes de Saint—,Ïnarié,trav aille1,tîsserand,chacun—,J,LX,îw- @ \,d—,Îî—“Là- ÇA
0,4',A'1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"M,9_",.,-,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P,f,ﬁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ÏÊ,dﬁ,.»*'3,51,hu-,j-,où-,Ëêü“Wwwr,\,-*m,.1-,"A,“",41—,N,N011,P‘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,®,M{r,S,.*rq,B,<,Sufﬁt,Çä,v-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,II,III 1:5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,t’,T’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,n1,.\,"S
E",D,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Aﬁn,Lﬁnira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,brava—-,brava—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,125,.”sz J,.45-‘14 5 4— j.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A-,D’,d’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SOUHAITS,"SOUHAITS

PÈRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
